sp004-000001_KS_11	अभ्यर्थ्येति
sp004-000113_KS_11	अवगाहे स्नाने सति ततो गङ्गातः कृत्तिकासु च सङ्क्रान्तम् सत् गर्भत्वम् आप्तम् गर्भीभूतम्
sp004-000114_KS_11	अथ च ताभिः कृत्तिकाभिः अमोघम् तदेतच्छरस्तम्बमधि अधिशरस्तम्बम्
sp004-000115_KS_11	अधेः व्यत्ययः प्रामादिक एव
sp004-000116_KS_11	न्यधायि निहितम्
sp004-000117_KS_11	धाञः कर्मणि लुङ्
sp004-000118_KS_11	तत्र शरस्तम्बे अशेषचराचरस्य समस्तस्थावरजङ्गमस्य जगतः अभूतपूर्वः पूर्वम् भूतो भूतपूर्वः
sp004-000119_KS_11	तादृङ् न भवतीति अभूतपूर्वः महोत्सवः महान् उत्सवः अयम् शिशुः बभूव
sp004-000120_KS_11	जन्यजनकयोः अभेदविवक्षया आयुर्घृतम् इतिवत् महोत्सवोऽयम् इति प्रयोगः
sp004-000121_KS_11	अशेषेति
sp004-000122_KS_11	हे प्रिये अशेषविश्वस्य समस्तजगतः प्रियम् प्रीतिकारकम्
sp004-000123_KS_11	इगुपधज्ञ इत्यादिना कः
sp004-000124_KS_11	तथाभूतम् दर्शनम् यस्य तथोक्तेन एतेन
sp004-000125_KS_11	अत्र अन्वादेशे एतच्छब्दस्य नित्यम् एनादेशनियमात् कथम् एनाभावः साधुः
sp004-000126_KS_11	सत्यम्
sp004-000127_KS_11	अत्र अन्वादेश एव नास्ति
sp004-000128_KS_11	तत्र किञ्ञ्चिद्विधानोद्युक्त्या आश्रयीभूतस्य पुनरुपादानाश्रयीभूतस्य च भेदाभाववत्त्वेन विवक्षितत्वात्
sp004-000129_KS_11	प्रकृते तु तदन्यथात्वात् अन्वादेशाभावेन एनादेशाभावसिद्धिः इत्यलम्
sp004-000130_KS_11	त्वम् सुपुत्रिणीनाम् शोभनपुत्रवतीनाम् धुर्या अग्रगण्या
sp004-000131_KS_11	श्रेष्ठतमा इति यावत्
sp004-000132_KS_11	असीति शेषः
sp004-000133_KS_11	हे अचलराजपुत्रि विलम्ब्य विलम्बम् कृत्वा अलम्
sp004-000134_KS_11	विलम्बो न कर्तव्य इत्यर्थः
sp004-000135_KS_11	किन्तु स्वपुत्रम् आत्मतनूजम् उत्सङ्गतले अङ्कतले निधेहि स्थापय
sp004-000136_KS_11	अथेति
sp004-000137_KS_11	किरीटेति
sp004-000138_KS_11	अथ अमृतांशुः चन्द्रः मौलौ यस्य तथाभूते हरे इति पूर्वोक्तप्रकारेण
sp004-000139_KS_11	वादिनि भाषमाणे सति
sp004-000140_KS_11	समस्तस्य सकलस्य चराचरस्य जगतः धात्री परिपोषिका
sp004-000141_KS_11	ऋन्नेभ्यः इति ङीप्
sp004-000142_KS_11	तथा सान्द्रः सघनो यः प्रमोदः आनन्दः तेन सुतराम् पीनम् प्रफुल्लत्वात्
sp004-000143_KS_11	पुष्टम् गात्रम् यस्याः तथाभूता शैलेन्द्रस्य हिमालयस्य पुत्री कन्या पार्वती नभःस्थैः
sp004-000144_KS_11	तत्काले आकाशम् आश्रयद्भिः इत्यर्थः
sp004-000145_KS_11	तथा सत्वरैश्च नाकिलोकैः इन्द्रादिलोकैः किरीटेषु बद्धाः अञ्जलयः
sp004-000146_KS_11	यैस्तथाभूतैः सद्भिः नमस्कृता वन्दिता सती सद्यः रभसेन वेगेन विमानतः विमानात्
sp004-000147_KS_11	पञ्चम्यास्तसिल्
sp004-000148_KS_11	अवातरत् उत्ततार
sp004-000149_KS_11	अथ च तम् आत्मजम् कुमारम् ग्रहीतुम् उत्कण्ठितमानसा च अभूत्
sp004-000150_KS_11	अहमेनम् गृह्णामीति मनसि ऐच्छत् इत्यर्थः
sp004-000151_KS_11	स्वर्गेति
sp004-000152_KS_11	पुत्रोत्सवे उत्सुका उत्कण्ठिता पार्वती
sp004-000153_KS_11	स्वर्गापगा गङ्गा तया सहिता याः पावककृत्तिकाः ताः आदयः येषाम् तान्
sp004-000154_KS_11	अत्र आदिशब्देन इन्द्रादयो ग्राह्याः
sp004-000155_KS_11	स्वर्गापगा च पावकश्च कृत्तिकाश्चेति द्वन्द्वसमासे
sp004-000156_KS_11	अल्पाच्तरत्वात् पावकशब्दस्य पूर्वनिपातः प्रसज्येत इति पूर्वरीतिः आदृता
sp004-000157_KS_11	तान् कृताञ्जलीन् अत एव भूयः अतिशयम् आनमतः नमस्कुर्वतः
sp004-000158_KS_11	अपि हित्वा परित्यज्य तम् सुतम् आससाद प्राप
sp004-000159_KS_11	तथाहि
sp004-000160_KS_11	हर्षात् आनन्दवशात् का न माद्यति उन्मत्ता न भवति
sp004-000161_KS_11	पुत्रोत्सवेन सर्वासाम् उन्मत्तत्वम् भवतीति भावः
sp004-000162_KS_11	प्रमोदेति
sp004-000163_KS_11	सा पार्वती
sp004-000164_KS_11	अग्रतः स्थितमपि तम् पुत्रम् क्षणम् न ददर्श
sp004-000165_KS_11	यतः प्रमोदबाष्पैः आनन्दाश्रुभिः आकुले व्याप्तत्वात् दर्शनाशक्ते लोचने यस्याः
sp004-000166_KS_11	आनन्दाश्रुभिः अन्धीभूतेत्यर्थः
sp004-000167_KS_11	अथ च कर एव कुड्मलम् कलिका तेन परिस्पृशन्ती सती किमपि लोकोत्तरम् अपूर्वम्
sp004-000168_KS_11	अभूतपूर्वमित्यर्थः
sp004-000169_KS_11	शाकपार्थिवादीनाम् उत्तरपदलोपः
sp004-000170_KS_11	सुखान्तरम्
sp004-000171_KS_11	अन्यत् सुखम् इत्यर्थः
sp004-000172_KS_11	अन्तरशब्दः अत्र उपमानाभावद्योतकः
sp004-000173_KS_11	प्राप प्राप्तवती
sp004-000174_KS_11	सुविस्मयेति
sp004-000175_KS_11	शिशुः कर्ता
sp004-000176_KS_11	सुतराम् यौ विस्मयानन्दौ आश्चर्यहर्षौ ताभ्याम् विकस्वरायाः
sp004-000177_KS_11	प्रफुल्लीभूतायाः तथा गलद्बाष्पैः तरङ्गितायाः सञ्जाततरङ्गायाः
sp004-000178_KS_11	तारकादित्वात् इतच्
sp004-000179_KS_11	वपुषि गलद्भिः बाष्पजलैः उद्भूतप्रवाहकल्लोलकलितायाः इत्यर्थः
sp004-000180_KS_11	तथा विवृद्धम् यद्वात्सल्यम् दयावत्त्वम्
sp004-000181_KS_11	पुत्रत्वात् इति भावः
sp004-000182_KS_11	तत्र यो रसः प्रीतिः स उत्तरः प्रधानम् यस्याः
sp004-000183_KS_11	तथाभूतायाः देव्याः पार्वत्याः सम्बन्धिनोः दृशोः विलोचनयोः गोचरताम् विषयताम् जगाम प्राप
sp004-000184_KS_11	बाष्पनिर्मुक्ताभ्याम् लोचनाभ्याम् देवी तम् अपश्यत् इत्यर्थः
sp004-000185_KS_11	तमिति
sp004-000186_KS_11	तम् बालम् क्षणम् ईक्षमाणा अवलोकमाना सा देवी विनिमेषम् निर्गतनिमेषम्
sp004-000187_KS_11	ईक्षणानाम् नेत्राणाम् सहस्रम् आप्तुम् मम सहस्रम् नेत्राणि भवन्तु इत्यैच्छत् इयेष
sp004-000188_KS_11	द्वाभ्याम् विलोचनाभ्याम् आकण्ठदर्शनजननाभावात् इति भावः
sp004-000189_KS_11	तथाहि
sp004-000190_KS_11	नन्दनस्य आलोकनान्येव मङ्गलानि तेषु विषये क्षणम् क्षणम् प्रतिक्षणम् इत्यर्थः
sp004-000191_KS_11	नित्यवीप्सयोः इति वीप्सायाम् द्विर्भावः
sp004-000192_KS_11	कस्य चेतः तृप्यति तृप्तिम् प्राप्नोति
sp004-000193_KS_11	अपि तु न कस्यापीत्यर्थः
sp004-000194_KS_11	विनम्रेति
sp004-000195_KS_11	गौरी पार्वती
sp004-000196_KS_11	षिद्गौरादिभ्यश्च इति ङीष्
sp004-000197_KS_11	नवोदयम् नूतनोद्भवम्
sp004-000198_KS_11	तत्कालजातम् इत्यर्थः
sp004-000199_KS_11	अत एव पार्वणः पर्वणि भवः
sp004-000200_KS_11	तत्र भवः इत्यण्
sp004-000201_KS_11	स चासौ चन्द्रश्च तद्वत् चारु मनोहरम्
sp004-000202_KS_11	चन्द्रोऽपि नवोदय इति ज्ञेयम्
sp004-000203_KS_11	तथाभूतम् तम् तनूजम् पुत्रम् कर्मभूतम् इत्यर्थः
sp004-000204_KS_11	आदाननयने उभे अपि प्रति अस्यकर्मत्वम् विवेचनीयम्
sp004-000205_KS_11	विनम्राः पादप्रणताः ये देवासुराः तेषाम् पृष्ठेषु गच्छतः सञ्चरतः ताभ्याम्
sp004-000206_KS_11	अनेन तेभ्यः अभयदानमुद्रा कृता इति व्यज्यते
sp004-000207_KS_11	पाणिसरुहाभ्याम् करकमलाभ्याम् आदाय गृहीत्वा
sp004-000208_KS_11	स्वम् आत्मीयम् उत्सङ्गतलम् निनाय प्रापयामास
sp004-000209_KS_11	हस्ताभ्याम् उत्थाप्य स्वाङ्के आरोपितवती इत्यर्थः
sp004-000210_KS_11	स्वमिति
sp004-000211_KS_11	इन्दुवक्त्रा चन्द्रमुखी येषा पार्वती
sp004-000212_KS_11	एकम् अद्वितीयम् जगदेकवीरम् जगत्सु एकवीरम् तम् आत्मनः नन्दनम्
sp004-000213_KS_11	पुत्रम् सुधानिधानम् अमृतपात्रमिव स्वम् आत्मीयम् अङ्कम् आरोप्य संस्थाप्य
sp004-000214_KS_11	पुत्रिणीनाम् पुत्रवतीनाम् धुरि अग्रभागे पूज्या पूजयितुम् योग्या बभूव
sp004-000215_KS_11	एतत्पुत्रस्य सर्वासामपि पुत्रेभ्यः अधिकत्वात् अग्रपूज्यत्वम् उचितमेवेति भावः
sp004-000216_KS_11	निसर्गेति
sp004-000217_KS_11	निसर्गेण स्वभावेन
sp004-000218_KS_11	न तु उपाधिना इत्यर्थः
sp004-000219_KS_11	यो वात्सल्यरसो दयावत्त्वरसः तस्य ओघेन सिक्ता प्लाविता
sp004-000220_KS_11	तत्र अतिवात्सल्यवतीत्यर्थः
sp004-000221_KS_11	तथा सान्द्रप्रमोदः अतिशयहर्षः
sp004-000222_KS_11	स एव अमृतम् पीयूषम् तस्य पूरेण प्रवाहेण पूर्णा भृता जगताम् एका अद्वितीया
sp004-000223_KS_11	माता परिपोषिका देवी उत्सङ्गिनम् अधिश्रितोत्सङ्गम् तम् एकपुत्रम् अभिसम्मुखम् प्रस्रविणी दुग्धस्राववती बभूव
sp004-000224_KS_11	पुत्रम् दृष्ट्वा मातुः स्तनाभ्याम् पयः पततीति युक्तम् इति भावः
sp004-000225_KS_11	अशेषेति
sp004-000226_KS_11	षाण्मातुरः षण्णाम् मातॄणाम् अपत्यम् षाण्मातुरः कार्त्तिकेयः
sp004-000227_KS_11	अत्र षण्मातृशब्दात् मातुरुत्सङ्ख्यासम्भद्रपूर्वायाः इत्यादिना अण् मातृश्ब्दस्य उदादेशश्च
sp004-000228_KS_11	षाण्मातुरः शक्तिधरः कुमारः क्रौञ्चदारणः इत्यमरः
sp004-000229_KS_11	सुरस्रवन्त्याः देवनद्याः
sp004-000230_KS_11	गङ्गायाः इत्यर्थः
sp004-000231_KS_11	स्रवन्ती निम्नगापगा इत्यमरः
sp004-000232_KS_11	तथा कृत्तिकाभिश्च सस्पृहम् सेच्छम् यथा तथा
sp004-000233_KS_11	इच्छा काङ्क्षा स्पृहेहा तृट् इत्यमरः
sp004-000234_KS_11	अस्मदीयपयोधरस्रवत् अमृतपाता अयम् इदानीम् एतदीयस्तनपयः पिबन् पुनरपि अस्मदीयपयोधरपयोऽपि स्मरेत् एवम्भूत इच्छासहितम् इत्यर्थः
sp004-000235_KS_11	मुहुर्मुहुः अनुवेलम् ईक्ष्यमाणः अवलोक्यमानः सन् अशेषम् सकलम् यल्लोकत्रयम्
sp004-000236_KS_11	तस्य मातुः पोषिण्याः अस्याः देव्याः स्तन्या स्तने भवा शरीरावयवात् यत् इति यत्
sp004-000237_KS_11	सा चासौ सुधा च ताम् अधासीत्पपौ
sp004-000238_KS_11	धेट् पाने कर्तरि लुङ्
sp004-000239_KS_11	विभाषा घ्राधेड् इति सिज्लुग्न
sp004-000240_KS_11	सुखेति
sp004-000241_KS_11	मृगाङ्कमौलेः हरस्य कलत्रम् भार्या
sp004-000242_KS_11	कलत्रम् श्रोणिभार्ययोः इत्यमरः
sp004-000243_KS_11	एकनाले एककाण्डे उद्गतानि उदितानि यानि पञ्चपद्मानि तेषाम् लक्ष्मीरिव शोभेव लक्ष्मीः शोभा
sp004-000244_KS_11	यस्याः तथाभूताम् तस्य कुमारस्य षण्णाम् वदनानाम् समाहारम् षड्वदनीम्
sp004-000245_KS_11	द्विगोः इति ङीप्
sp004-000246_KS_11	इह सङ्ख्यासादृश्यमन्तरा न विरोधः
sp004-000247_KS_11	सुखाश्रुपूर्णेन आनन्दाश्रुजलपरिपूरितेन एकेन मुखाम्बुजेन वदनकमलेन क्रमात् यथाक्रमम् चुचुम्ब स्पृष्टवती
sp004-000248_KS_11	अतिशयप्रेमवशात् इति भावः
sp004-000249_KS_11	हैमीति
sp004-000250_KS_11	तम् नन्दनम् तनयम् आदधाना सा पार्वती
sp004-000251_KS_11	फलम् दधाना हेमगिरेः सुमेरोः सम्बन्धिनी
sp004-000252_KS_11	तदुत्पन्नेत्यर्थः
sp004-000253_KS_11	हैमी हेमविकारा
sp004-000254_KS_11	विकारार्थके अणि टिढ्ढाणञ् इति ङीप्
sp004-000255_KS_11	लतेव
sp004-000256_KS_11	विकस्वरम् प्रफुल्लम् पद्मम् कमलम् दधाना नाकनदीव गङ्गेव
sp004-000257_KS_11	नूतनम् नवोदयम् इन्दुम् दधाना पूर्वा पूर्वसञ्ज्ञिका दिगिव
sp004-000258_KS_11	आभात् शुशुभे
sp004-000259_KS_11	अत्र मालोपमालङ्कारः
sp004-000260_KS_11	प्रीतेति
sp004-000261_KS_11	कुमारम् पुत्रम् उत्सङ्गतले दधाना बिभ्रती सा देवी
sp004-000262_KS_11	प्रीतात्मना प्रसन्नीभूतमनसा प्रयतेन सावधानेन
sp004-000263_KS_11	न तु सम्भ्रमितेन
sp004-000264_KS_11	नयवर्त्मगाः प्रभवताम् हि धियः इति न्यायात् इति भावः
sp004-000265_KS_11	तथाभूतेन शशिशेखरेण शिवेन दत्तहस्तावलम्बा सती
sp004-000266_KS_11	अत्यतिप्रेमभरात् इति भावः
sp004-000267_KS_11	अभ्रंलिहम् आकाशस्पृक्
sp004-000268_KS_11	वहाभ्रे लिहः इति खश्
sp004-000269_KS_11	विमानम् आरुरोह आरुढा
sp004-000270_KS_11	महेश्वर इति
sp004-000271_KS_11	प्रमदेन आनन्देन प्ररुढा रोमोद्गमा यस्य तथाभूतः महेश्वरोऽपि
sp004-000272_KS_11	आत्मजे पुत्रे वत्सलत्वात् दयावत्त्वाद्धेतोः भूधरनन्दनायाः
sp004-000273_KS_11	पार्वत्याः अङ्कात् उत्सङ्गतः तम् पुत्रम् उपादत्त अग्रहीत्
sp004-000274_KS_11	अथ च तदङ्कतः हरोत्सङ्गात् सा देवी उपादत्त
sp004-000275_KS_11	अथ च सोऽपि हरोऽपि तस्याः देव्याः अङ्कात् उपादत्त
sp004-000276_KS_11	इत्यनुवेलम् अन्योन्यग्रहणम् चक्रतुः इत्यर्थः
sp004-000277_KS_11	दधानया इति
sp004-000278_KS_11	शशिखण्डधारी महेश्वरः
sp004-000279_KS_11	सुधायाः अमृतस्य एकम् केवलम् सत्रम् सदादानम्
sp004-000280_KS_11	सत्रमाच्छादने यज्ञे सदादाने धनेऽपि च इत्यमरः
sp004-000281_KS_11	नेत्रयोः सम्बन्धि सुधैकसत्रम् येन नेत्रयोः अमृतवत् सुखदातारम् इत्यर्थः
sp004-000282_KS_11	तथा पवित्रम् पूतम्
sp004-000283_KS_11	पुवः सञ्ज्ञायाम् इति इत्रप्रत्ययः
sp004-000284_KS_11	तथाभूतम् पुत्रम् सुतम् दधानया बिभ्रत्या तया अद्रेः हिमालयस्य सुतया कन्यया पार्वत्या कर्त्र्या
sp004-000285_KS_11	संश्लिष्यमाणः स्नेहवशात् आलिङ्ग्यमानः सन् विमानस्य वेगेन गृहान् जगाम प्रययौ
sp004-000286_KS_11	गृहाः पुंसि च भूम्न्येव इत्यमरः
sp004-000287_KS_11	अधिष्ठित इति
sp004-000288_KS_11	अथ अनन्तरम् शम्भुः महेश्वरः तुङ्गे उन्नते स्फटिकमयः स्फाटिकः यः शैलः कैलासः तस्य श्रृङ्गे शिखरे
sp004-000289_KS_11	श्रृङ्गम् प्राधान्यसान्वोश्च इत्यमरः
sp004-000290_KS_11	निकामरम्य् अतिमनोहरम् निजम् स्वीयम्
sp004-000291_KS_11	स्वके नित्ये निजम् त्रिषु इत्यमरः
sp004-000292_KS_11	अधिष्ठितः सन्
sp004-000293_KS_11	अधिशीङ् स्थासाम् कर्म इत्यादिना आधारस्य कर्मसञ्ज्ञा
sp004-000294_KS_11	महोत्सवाय महोत्सवम् कर्तुम् तुमर्थाच्च भाव वचनात् इति चतुर्थी
sp004-000295_KS_11	पृथून् महतः प्रमथप्रमुख्यान् प्रमथादीन् गणान् आदिदेश आज्ञापयामास
sp004-000296_KS_11	पृथ्विति
sp004-000297_KS_11	अथ अनन्तरम् पृथुः महान् प्रमोदः हर्षो यस्य
sp004-000298_KS_11	तथा प्रकृष्टाः गुणाः यस्य एवंविधः समग्रः सम्पूर्णः
sp004-000299_KS_11	गणानाम् गणः प्रमथादीनाम् समूहः वृषवाहनस्य महेश्वरस्य गिरीन्द्रपुत्र्याः पार्वत्याश्च
sp004-000300_KS_11	तनयस्य जन्मनि उत्सवम् विधातुम् कर्तुम् संववृते संवृत्तः
sp004-000301_KS_11	उद्युक्त इति यावत्
sp004-000302_KS_11	स्फुरदिति
sp004-000303_KS_11	गणाः प्रमथाः स्फटिकालयेषु स्फटिकगृहेषु स्फुरन्त्यः भासमानाः याः मरीचयः
sp004-000304_KS_11	किरणाः ताभिः छुरितम् मिश्रीकृतम् अम्बरम् यैः तानि
sp004-000305_KS_11	सन्तानशाखिनाम् देववृक्षाणाम् प्रसवानि पत्त्राणि तैः अञ्चितानि निर्मितानि वराणि श्रेष्ठानि
