sp019-000001_lahari_2	भावना कीदृशी तस्य
sp019-000071_lahari_2	सा स्वकार्यनिरता अभवत्
sp019-000072_lahari_2	तस्याः मनः कोपोद्वेगाभ्याम् तरङ्गितमासीत्
sp019-000073_lahari_2	किम् कर्तव्यम् अत्रत्यम् उद्योगम् त्यक्त्वा अन्यत्र क्वापि गमिष्यामि किम्
sp019-000074_lahari_2	कथम् इयम् चित्तहिंसा सोढव्या
sp019-000075_lahari_2	पितरौ एतद्विषये वदिष्यामि किम् इति
sp019-000076_lahari_2	बहुधा व्याकुला कमला कथञ्चित् तद्दिवसस्य कार्यम् पूरयित्वा गृहमगच्छत्
sp019-000077_lahari_2	पुनरेकदा गोपालकृष्णः सेवकम् सम्प्रेष्य कमलाम् स्वकार्यस्थानम् आह्वयत्
sp019-000078_lahari_2	कमलायाः मनसि क्रोधः उत्पन्नः
sp019-000079_lahari_2	यदि अद्य सः किमपि अनुचितम् भाषेत तहि चामुण्डेश्वरी भविष्यामि
sp019-000080_lahari_2	अयम् उद्योगो गच्छतु तिष्ठतु वा
sp019-000081_lahari_2	अविस्मरणीयम् पाठम् बोधयिष्यामीति निश्चित्य सा अगच्छत्
sp019-000082_lahari_2	प्रकोष्ठे प्रविष्टायाम् तस्याम् द्वारम् स्वयम् पिहितमभवत्
sp019-000083_lahari_2	कमलायाः हृदयम् सततम् वेपते स्म
sp019-000084_lahari_2	आगच्छ उपविश इति गोपालकृष्णः अब्रवीत्
sp019-000085_lahari_2	कमला तत्सम्मुखे उपाविशत्
sp019-000086_lahari_2	कमले आत्मीयम् किमपि वक्तुमिच्छामि
sp019-000087_lahari_2	तव रीतिनीत्यादिकम् सर्वम् बहुरोचते
sp019-000088_lahari_2	शृणु मदुक्तिः त्वया अङ्गीकर्तव्या इति निर्बन्धो नास्ति
sp019-000089_lahari_2	तव इच्छा एव अत्र प्रमुखा
sp019-000090_lahari_2	इति गोपालकृष्णः वाचम् आरभत
sp019-000091_lahari_2	सः किम् वदिष्यतीति कातरा कमला सातङ्कम् श्रोतुम् सिद्धा अभवत्
sp019-000092_lahari_2	कमले मम भ्राता कनीयान् अमेरिकादेशे वसति
sp019-000093_lahari_2	सह तत्र उन्नते उद्योगे वर्तते
sp019-000094_lahari_2	तस्य विवाहः कर्तव्यः इति अस्मत् अभिप्रायः वर्तते
sp019-000095_lahari_2	तदनुरूपान् कन्याम् अन्विष्यन् अस्मि
sp019-000096_lahari_2	त्वाम् यदाप्रभृति अपश्यम् तदाप्रभृति वयसा रूपेण संस्कारेण शीलेन गुणेन च त्वम् तस्य अनुरूपा इति मम भाति
sp019-000097_lahari_2	मम भ्राता आगामिनिभानुवासरे आगमिष्यति
sp019-000098_lahari_2	यदि त्वम् अनुमन्यसे तर्हि तव पित्रोः सविधे मदाशाम् निवेद्य कन्यावलोकनादिकम् संविधातुमिच्छामि
sp019-000099_lahari_2	त्वम् नूनम् कन्यारत्नम्
sp019-000100_lahari_2	मम भ्राता काञ्चनायते
sp019-000101_lahari_2	रत्नम् समागच्छतु काञ्चनेन इति वाञ्छामि
sp019-000102_lahari_2	त्वदिच्छाम् प्रकटय
sp019-000103_lahari_2	अहम् अधिकारी इति एतद्विस्मर
sp019-000104_lahari_2	तव भ्रातरम् माम् मत्वा निस्सङ्कोचम् तवाभिप्रायम् प्रकटय इति
sp019-000105_lahari_2	कमलायाः नयने अश्रुपूर्णे अभवताम्
sp019-000106_lahari_2	देवसदृशे अस्मिन् आसुरत्वकल्पना मया कृता
sp019-000107_lahari_2	अहो अपराद्धम् मया इति चिन्तयन्ती सा उत्थाय गोपालकृष्णस्य पादयोः पतिता
sp019-000108_lahari_2	मम पितरम् भवत्सकाशम् प्रेषयिष्यामि
sp019-000109_lahari_2	भवान् तेन सह भाषित्वा निर्णयम् स्वीकरोतु अनुगृहीतास्मि इति उक्त्वा सा ततः निरगच्छत्
sp019-000110_lahari_3	शिकागोनगरे कृतवसतेः रामचन्द्रस्य जीवनम् सुखमयम् आसीत्
sp019-000111_lahari_3	विशालम् सुन्दरम् गृहम् समृद्धम् वेतनम् यथेच्छम् प्रयातुम् यानद्वयम्
sp019-000112_lahari_3	कौशलेन कुटुम्बम् निर्वहन्ती पत्नी सीता
sp019-000113_lahari_3	बुद्धिमान् युवा पुत्रः रूपवती पुत्री मालिनी
sp019-000114_lahari_3	जन्मभूमेः दूरे देशान्तरे वासः इति कदाचित् तस्य मनः खिद्यते स्म
sp019-000115_lahari_3	तथापि अवकाशम् लब्ध्वा सकुटुम्बः सः भारतवर्षम् आगच्छति स्म
sp019-000116_lahari_3	अत्रत्यम् जनजीवनम् तदा तदा अनुभूय तृप्यति स्म च
sp019-000117_lahari_3	धनप्रधानात् अमेरिकाजीवनात् अध्यात्मप्रधानम् भारतजीवनम् श्रेयः इति तस्य दृढः अभिप्रायः आसीत्
sp019-000118_lahari_3	एतद्विषये पत्न्याः सीतायाः अभिप्रायभेदः आसीत्
sp019-000119_lahari_3	किन्तु सा पत्या सह विवादम् कदापि न कृतवती
sp019-000120_lahari_3	यदा मालिनी युवतिः जाता तदा पित्रोः तस्याः विषये चिन्ता समुत्पन्ना
sp019-000121_lahari_3	अमेरिकादेशे युवतयः पुरुषैः निःसङ्कोचम् मिलन्ति
sp019-000122_lahari_3	परिचयम् वर्धयन्ति
sp019-000123_lahari_3	शतशः कन्याः विवाहात् पूर्वमेव यूनाम् सम्पर्कम् कुर्वन्ति
sp019-000124_lahari_3	काश्चन गर्भिण्यः अपि भवन्ति
sp019-000125_lahari_3	विवाहम् विनैव प्रसुवते
sp019-000126_lahari_3	एतत् सर्वम् रामचन्द्रस्य असहनीयम् भाति स्म
sp019-000127_lahari_3	मालिन्याः सखीनाम् यादृशम् स्वातन्त्र्यम् आसीत् तादृशम् तया न लब्धम्
sp019-000128_lahari_3	खिन्ना अपि मालिनी पितरि गौरवम् दर्शयन्ती आत्मानम् नियन्त्रयति स्म
sp019-000129_lahari_3	अमेरिकादेशे स्थिता अपि सा भारतकन्या इव अवर्धत
sp019-000130_lahari_3	वेषभूषणादिषु अपि सा संयमम् रक्षति स्म
sp019-000131_lahari_3	मातुः मार्गम् अनुसरन्ती गृहे देवपूजादिकमपि करोति स्म
sp019-000132_lahari_3	एतेन कारणेन वयस्यानाम् मध्ये सा कदाचित् अपहासस्य परिहासस्य वा पात्रम् भवति स्म
sp019-000133_lahari_3	तथापि पितुः निदेशम् सा सदा अपालयत्
sp019-000134_lahari_3	पुत्र्याः विवाहस्य कालः उपस्थितः इति रामचन्द्रः तद्विषये चिन्तयितुम् आरभत
sp019-000135_lahari_3	स्वदेशम् गत्वा तत्रत्यः कश्चन अनुरूपः वरः अन्वेषणीयः
sp019-000136_lahari_3	तस्मै अमेरिकादेशे प्रवेशावकाशः कल्पनीयः
sp019-000137_lahari_3	उचितः उद्योगश्च दापनीयः
sp019-000138_lahari_3	एवम् पुत्री सुखिनी भविष्यति
sp019-000139_lahari_3	एतदर्थम् धनम् प्रभूतमपि व्ययितम् भवतु इति रामचन्द्रस्य विचारः आसीत्
sp019-000140_lahari_3	सीता तु अवदत् एतावान् श्रमः कुतः
sp019-000141_lahari_3	अत्र एव योग्यम् वरम् यदि लभामहे तर्हि विवाहम् कुर्मः
sp019-000142_lahari_3	अस्मिन् समाजे एधिता कन्या भारतीयेभ्यो न रोचते
sp019-000143_lahari_3	तस्याम् ते सदा दोषमेव आविष्कुर्वन्ति इति
sp019-000144_lahari_3	अत्रत्याः युवानः प्रायशः चारित्रहीनाः
sp019-000145_lahari_3	ते विवाहस्य पवित्रताम् न जानन्ति
sp019-000146_lahari_3	अद्य विवाहः श्वः विच्छेदनम्
sp019-000147_lahari_3	द्विस्त्रिः कृतविवाहाः एव भूयांसः अत्र
sp019-000148_lahari_3	अहम् तु अस्मिन् विषये भारतीयाम् पद्धतिमेव समर्थये
sp019-000149_lahari_3	अतः तत्र गत्वा अस्मत्पद्धत्या वरम् अन्विश्य विवाहम् कारयिष्यामि
sp019-000150_lahari_3	मम पुत्री तथा एव सुखम् अवाप्स्यति इति रामचन्द्रः दृढेन स्वरेण अवदत्
sp019-000151_lahari_3	पत्युः वचनम् आद्र्यमाणा सीता अभ्युपगतवती
sp019-000152_lahari_3	मालिनी च कथञ्चित् अङ्गीकारम् दत्तवती
sp019-000153_lahari_3	रामचन्द्रः सकुटुम्बः अवकाशम् प्राप्य भारत वर्षमागतः
sp019-000154_lahari_3	तस्य जन्मस्थले कल्याणनगरे परिचिताः बहवः आसन्
sp019-000155_lahari_3	तेषाम् सम्पर्कम् साधयित्वा वरान्वेषणाय आगतः अस्मि इति स्वोद्देशम् कथितवान् रामचन्द्रः
sp019-000156_lahari_3	विद्यावान् रूपवान् तरुणः सच्चरित्रः अपेक्षितः इति तस्य वचनम् अनुसरन्तः सुहृदः स्वपरिचितान् तरुणान् असूचयन्
sp019-000157_lahari_3	रामचन्द्रः स्वयम् तान् दृष्ट्वा परीक्षामपि कृतवान्
sp019-000158_lahari_3	प्रायेण सामग्र्यविधौ गुणानाम् पराङ्मुखी विश्वसृजः प्रवृत्तिः इति महाकविना उक्तमेव
sp019-000159_lahari_3	सर्वे गुणाः एकत्र कथम् लभ्येरन्
sp019-000160_lahari_3	तथापि प्रयत्नः न परित्यक्तः
sp019-000161_lahari_3	अन्ततः कश्चन पुरोहितः कञ्चन तरुणम् दर्शितवान्
sp019-000162_lahari_3	तस्य नाम गौतमः इति
sp019-000163_lahari_3	विद्याभ्यासम् पूरयित्वा सम्प्रति कल्याणनगरे अभियन्ता अस्ति
sp019-000164_lahari_3	परदेशम् गत्वा अधिकम् साधनीयमिति आकाङ्क्षा च तस्य वर्तते
sp019-000165_lahari_3	तस्य पितरौ समीपे ग्रामे वसतः इति तद्विषयः सर्वः निवेदितः पुरोहितेन
sp019-000166_lahari_3	गौतमम् स्वनिवासम् आनाय्य रामचन्द्रः सत्कृतवान्
sp019-000167_lahari_3	मालिनी च तम् दृष्ट्वा तस्य रूपेण हृतहृदया अभवत्
sp019-000168_lahari_3	रामचन्द्रस्य पूर्वापरम् विचार्य विदेशगमनाय सौलभ्यम् कल्पनीयम् इति नियमम् विधाय स्वाङ्गीकारम् दत्तवान्
sp019-000169_lahari_3	तस्य पितरौ च सम्मतिम् प्रकटितवन्तौ
sp019-000170_lahari_3	मासाभ्यन्तरे मालिन्याः विवाहः गौतमेन सह सम्पन्नः
sp019-000171_lahari_3	वैभवम् प्रदर्शयितुम् महद्धनम् व्ययितम् रामचन्द्रेण
sp019-000172_lahari_3	बहुसङ्ख्याः सुहृदः बन्धवः परिचिताश्च आगत्य वधूवरौ आशीर्भिः अनुगृहीतवन्तः
sp019-000173_lahari_3	गौतमस्य पितरौ निरीक्षितादपि अधिकम् सम्मानम् प्राप्य हृष्टौ अभूताम्
sp019-000174_lahari_3	कतिचन दिनानि कल्याणनगरे नीत्वा रामचन्द्रः सकुटुम्बः शिकागोनगरम् प्रापत्
sp019-000175_lahari_3	ततः जामातरम् गौतमम् तत्र आनेतुम् प्रयत्नान् प्रारभत
sp019-000176_lahari_3	उन्नताध्ययनाय तत्रत्ये विश्वविद्यानिलये प्रवेशानुमतिम् सम्पाद्य प्रेषितवान् च
sp019-000177_lahari_3	वर्षद्वयम् गौतमस्य निर्वहणम् करिष्यामीति प्रतिज्ञापत्रम् अपि प्रेषितवान्
sp019-000178_lahari_3	विमानप्रयाणाय प्रपत्रमपि क्रीत्वा गौतमनाम्ना प्राहिणोत्
sp019-000179_lahari_3	गौतमः निर्दिष्टे दिने अमिरिकादेशम् प्राप्नोत्
sp019-000180_lahari_3	श्वशुरगृहे आतिथ्यम् प्राप्य ततः विश्वविद्यानिलयम् प्राविशत्
sp019-000181_lahari_3	कतिपयैः एव दिवसैः तत्र प्राध्यापकादीनाम् प्रियः अभवत्
sp019-000182_lahari_3	रामचन्द्रस्य प्रभावेण तत्रैव प्रयोगालये सहायकपदवीम् च प्राप्तवान्
sp019-000183_lahari_3	एवम् तेन धनार्जनमपि आरब्धम्
sp019-000184_lahari_3	मालिनी अमेरिकादेशे एव जाता इति कारणात् सा अमेरिकादेशस्य प्रजा इति गण्यते
sp019-000185_lahari_3	तस्याः पतिः इति कारणात् गौतमेन वर्षद्वये एव विशिष्टम् हरितपत्रम् लब्धम्
sp019-000186_lahari_3	तावता कालेन सः अध्ययनमपि पूरयित्वा पदवीम् तद्देशीयामपि प्राप्तवान्
sp019-000187_lahari_3	तद्बलेन च सः दृढम् नूतनम् उद्योगम् प्राप्तुम् बहुत्र अभ्यर्तनापत्राणि प्रेषितवान्
sp019-000188_lahari_3	टेक्सस् राज्यस्य आस्टन् नगरे अधिकवेतनः उद्योगः तेन लब्धः
sp019-000189_lahari_3	रामचन्द्रः अतीव सन्तुष्टः अभवत्
sp019-000190_lahari_3	जामाता पुत्री च सुखम् वत्स्यतः इति तयोः प्रयाणाय विविधाम् सिद्धताम् कर्तुम् प्रारभत
sp019-000191_lahari_3	किन्तु गौतमस्य प्रवृत्तिः इदानीम् सहसा विभिन्ना आसीत्
sp019-000192_lahari_3	पूर्ववद् विश्वासेन विस्रम्भेन वा सः न वदति स्म
sp019-000193_lahari_3	अहम् एक एव तत्र गमिष्यामि ततः पत्रम् प्रेषयिष्यामि इति गाम्भीर्येण उक्त्वा
sp019-000194_lahari_3	एकाकी प्रयाणसन्नद्धः अभवत्
sp019-000195_lahari_3	मालिन्या सः किमपि न अभाषत
sp019-000196_lahari_3	निःस्नेहेन कटाक्षेण ताम् वीक्ष्य आस्टन् नगरम् प्रति प्रस्थितः
sp019-000197_lahari_3	रामचन्द्रः अचिन्तयत्
sp019-000198_lahari_3	दम्पत्योः अल्पः कलहः जातः
sp019-000199_lahari_3	अतः एव गौतमः एवम् प्रस्थितः
sp019-000200_lahari_3	पञ्चशेषु दिनेषु तस्य कोपः शान्तः भविष्यति
sp019-000201_lahari_3	ततः स पत्न्या सः सस्नेहम् सम्भाषणम् करिष्यति
sp019-000202_lahari_3	तान् नेष्यति च इति
sp019-000203_lahari_3	किन्तु पञ्चदशदिनानि गतानि
sp019-000204_lahari_3	गौतमः एकदा अपि दूरवान्या सम्पर्कम् न अकरोत्
sp019-000205_lahari_3	तेन सम्पर्कम् साधयितुम् रामचन्द्रेण कृताः प्रयत्नाः अपि विफलाः जाताः
sp019-000206_lahari_3	मालिनी नितान्तम् खिन्ना अभवत्
sp019-000207_lahari_3	ततः गौतमस्य पत्रमागतम्
sp019-000208_lahari_3	पत्रमुद्घाट्य मालिनी अपठत्
sp019-000209_lahari_3	नष्टसञ्ज्ञा सा कृत्तमूला लता इव न्यपतत्
sp019-000210_lahari_3	शीतोपचारेन ताम् समाश्वास्य पितरौ स्वयम् पत्रम् अपठताम्
sp019-000211_lahari_3	तस्य मुख्यांशः एवमासीत्
sp019-000212_lahari_3	मालिनी मम त्वयि कदापि प्रेम न आसीत्
sp019-000213_lahari_3	मम प्रेमपात्रीभूता अन्या कन्या
sp019-000214_lahari_3	किन्तु अमेरिकादेशम् गत्वा तत्र सम्पत्समृद्धिः प्राप्तव्या इति मम सदा आकाङ्क्षा प्रबला आसीत्
sp019-000215_lahari_3	तत्र त्वम् साधिनीभूता
sp019-000216_lahari_3	त्वया सः जातः विवाहः केवलम् उपायतया अवलम्बितः मया
sp019-000217_lahari_3	अत एव व्याजैः बहुभिः तव देहसम्पर्कमपि अहम् निवारितवान्
sp019-000218_lahari_3	इदानीम् मम आशा सफला जाता
sp019-000219_lahari_3	अत्र मम दृढः उद्योगः अस्ति माम् विस्मर
sp019-000220_lahari_3	श्वः एव विवाहविच्छेदपत्रम् प्रेषयिष्यामि
sp019-000221_lahari_3	कृपया अनुमन्यस्व
sp019-000222_lahari_3	शासनानुसारेण यद्धनम् मया तुभ्यम् देयम् तद्दास्यामि
sp019-000223_lahari_3	विवाहविच्छेदम् शीघ्रम् प्राप्य अन्यम् कमपि स्वानुरूपम् भर्तारम् लभस्व
sp019-000224_lahari_3	अहमपि भारतवर्षे वर्तमानान् मम प्रियाम् परिणीय सुखी भविष्यामि
sp019-000225_lahari_3	माम् क्षमस्व इति
sp019-000226_lahari_3	पत्रम् पठित्वा ज्ञातसत्यः रामचन्द्रः अतीव कोपनः अभवत्
sp019-000227_lahari_3	गौतमम् हनिष्यामि स्वार्थी सः मम सुतायाः जीवितम् नाशितवान्
sp019-000228_lahari_3	न्यायालये व्यवहारम् कृत्वा तम् देशात् अस्मात् निष्कासयिष्यामि
sp019-000229_lahari_3	वञ्चनायाः फलम् अनुभवतु नरापसदः इत्यादि सः प्रालपत्
sp019-000230_lahari_3	अन्ततः मालिनी अब्रवीत्
sp019-000231_lahari_3	पितः नश्यतु तस्य कथा तम् विस्मरिष्यामि
sp019-000232_lahari_3	विवाहम् दुःस्वप्नम् मत्वा तम् मानसाद् दूरे क्षिपामि
sp019-000233_lahari_3	तस्य भविष्यम् नाशयितुम् न वाञ्छामि
sp019-000234_lahari_3	विवाहविच्छेदनपत्रे मम हस्ताङ्कम् करिष्यामि इति
sp019-000235_lahari_3	किमपि वक्तुम् अशक्तौ मातापितरौ तस्याः मुखम् अवलोकयन्तौ अतिष्ठताम्
sp019-000236_lahari_4	मम मनोरमा
sp019-000237_lahari_4	अहम् महाविद्यालये छात्रः आसम्
sp019-000238_lahari_4	मम कक्ष्यायाम् पञ्चाशत् अधिकाः छात्राः आसन्
sp019-000239_lahari_4	तेषु चत्वारिंशद्बालकाः उपदशाः कन्यकाः
sp019-000240_lahari_4	तासाम् कन्यकानाम् मध्ये काचिद्रूपवती
sp019-000241_lahari_4	नक्षत्राणाम् वृन्दे चन्द्रलेखा इव
sp019-000242_lahari_4	सखीनाम् निकरे राजकुमारी इव सा शोभते स्म
sp019-000243_lahari_4	प्रथमवारम् ताम् दृष्टवतः एव मम हृदये सा महान्तम् प्रभावमकरोत्
sp019-000244_lahari_4	अजानन् अपि तस्याः नाम अहम् तस्याः आराधकः अभवम्
sp019-000245_lahari_4	द्वित्रेषु दिनेषु तस्याः नाम रमा इति मया ज्ञातम्
sp019-000246_lahari_4	रमायाः रूपस्य आराधकाः न केवलमहम्
sp019-000247_lahari_4	अपि तु बहवः आसन्
sp019-000248_lahari_4	तस्याम् कक्ष्याप्रवेशम् कुर्वत्याम् सर्वेषाम् नेत्राणि तत्रैव मग्नानि भवन्ति स्म
sp019-000249_lahari_4	अध्यापकेषु अपि केचित् तान् सादरमेव पश्यन्ति स्म
sp019-000250_lahari_4	सर्वे माम् आराधयन्ति इति सा जानाति स्म
sp019-000251_lahari_4	सगर्वम् साभिमानम् च चरति स्म
sp019-000252_lahari_4	यदा सा कमपि कटाक्षेण अपश्यत्
sp019-000253_lahari_4	तदा तस्य छात्रस्य मुखम् रविकिरणस्पृष्टम् पद्मम् इव विकसति स्म
sp019-000254_lahari_4	एतत्सर्वम् पश्यतः अपि मम आराधकभावे कापि न्यूनता न जाता
sp019-000255_lahari_4	गतेषु कतिपयेषु दिनेषु मया ज्ञातम्
sp019-000256_lahari_4	सा कस्यापि महाधनिकस्य दुहिता इति
sp019-000257_lahari_4	मादृशाः छात्राः पद्भ्याम् विद्यालयमगच्छाम
sp019-000258_lahari_4	अन्ये केचन द्विचक्रिकया आगच्छन्ति
sp019-000259_lahari_4	यन्त्रप्रेर्याणि वाहनानि तदा विरलानि आसन्
sp019-000260_lahari_4	केचन अध्यापकाः एव तादृशानाम् वाहनानाम् स्वामिनः आसन्
sp019-000261_lahari_4	किन्तु रमा कार्यानेन आयाति स्म
sp019-000262_lahari_4	चालकः प्रातः दशवादनवेलायाम् ताम् विद्यालयम् प्रापयति स्म
sp019-000263_lahari_4	विद्यालयसमाप्तिवेलायाम् पुनः आगत्य ताम् गृहम् नयति स्म
sp019-000264_lahari_4	एतत्सर्वम् ज्ञात्वा मम मनः ताम् पूजयितुम् आरभत
sp019-000265_lahari_4	केचन धार्ष्ट्यवन्तः छात्राः तया सह भाषितुम् प्रयतमानाः आसन्
sp019-000266_lahari_4	कदाचित् तस्याः पुस्तकम् पतितम्
sp019-000267_lahari_4	तदुत्थाप्य तस्यै दातुम् पञ्चषाः युगपत् धावन्ति स्म
sp019-000268_lahari_4	तस्याः सेवावसरः भाग्येन लभ्यते इति सर्वेषाम् भावना आसीत् इति स्पष्टमभवत्
sp019-000269_lahari_4	अहम् तु धैर्यहीनः दूरादेव अपश्यम्
sp019-000270_lahari_4	गताः चत्वारः मासाः
sp019-000271_lahari_4	वर्षमध्ये परीक्षाः अभवन्
sp019-000272_lahari_4	ततः आङ्ग्लाध्यापकः कस्मिंश्चिद् दिने उत्तरपत्रिकाः कृतमूल्याङ्कनाः आनीतवान्
