sp002-000001_KS_04	मूर्च्छिता रतिः इत्युक्तम्
sp002-000192_KS_04	अहमिति
sp002-000193_KS_04	अहम् पतङ्गवर्त्मना शलभमार्गेण
sp002-000194_KS_04	अग्निप्रवेशेन इत्यर्थः
sp002-000195_KS_04	पतङ्गः शलभे चाग्नौ मार्जारे अर्के शरे खगे
sp002-000196_KS_04	इति वैजयन्ती
sp002-000197_KS_04	एत्य आगत्य पुनः ते अङ्काश्रयणी उत्सङ्गवर्तिनी भवामि सम्प्रत्येव भविष्यामि
sp002-000198_KS_04	वर्तमानसामीप्ये वर्तमानवद्वा इति लट्
sp002-000199_KS_04	हे प्रिय दिवि स्वर्गे चतुरैः सुरकामिनीजनैः अप्सरोगणैः यावत् न विलोभ्यसे विलोभयिष्यसे
sp002-000200_KS_04	यावत्पुरानिपातयोर्लट् इति लट्
sp002-000201_KS_04	मदनेनेति
sp002-000202_KS_04	हे रमण त्वाम् अनुयामि यद्यपि अनुगमिष्याम्येव
sp002-000203_KS_04	वर्तमानसामीप्ये वर्तमानवद्वा इति लट्
sp002-000204_KS_04	यद्यपि इति अवधारणे इति केशवः
sp002-000205_KS_04	किन्तु रतिः मदनेन विनाकृता
sp002-000206_KS_04	वियोजिता सती इत्यर्थः
sp002-000207_KS_04	सुप्सुपेति समासः
sp002-000208_KS_04	क्षणमात्रम् जीविता किल इति इदम् वचनीयम् निन्दा मे मम व्यवस्थितम् स्थिरमभूत्
sp002-000209_KS_04	क्रियतामिति
sp002-000210_KS_04	परलोके अन्तरितस्य व्यवहितस्य
sp002-000211_KS_04	मृतस्य इत्यर्थः
sp002-000212_KS_04	ते तव मया अन्त्यमण्डनम् कथम् केन प्रकारेण क्रियताम्
sp002-000213_KS_04	क्रियतामित्यत्र कामचारे लोट् बोध्यः
sp002-000214_KS_04	द्रुतदग्धस्य ते यथेच्छमण्डनमपि न सम्भवतीत्यर्थः
sp002-000215_KS_04	कुतः
sp002-000216_KS_04	अङ्गेन च जीवितेन च समम् सहैव अतर्किताम् अविचारिताम् गतिम् गतोऽसि
sp002-000217_KS_04	इह मृतशरीरमपि नास्ति कस्य मण्डनमिति भावः
sp002-000218_KS_04	ऋजुतामिति
sp002-000219_KS_04	शरम् ऋजुताम् आर्जवम् नयतः
sp002-000220_KS_04	उत्सङ्गे निषण्णम् अङ्कगतम् धनुर्यस्य तस्य
sp002-000221_KS_04	धनुषश्च इति अनङादेशः
sp002-000222_KS_04	ते तव मधुना वसन्तेन सह
sp002-000223_KS_04	मधुर्दैत्ये वसन्ते च चैत्रे च इति विश्वः
sp002-000224_KS_04	सस्मिताम् कथाम् आलापम् तथा यत् नयनोपान्तविलोकितम् अपाङ्गवीक्षणम्
sp002-000225_KS_04	ते इति अनुषङ्गः
sp002-000226_KS_04	तच्च स्मरामि
sp002-000227_KS_04	क्वेति
sp002-000228_KS_04	हृदयम् गच्छतीति हृदयङ्गमो हृद्यः
sp002-000229_KS_04	खच्प्रकरणे गमेः सुपि उपसङ्ख्यानम् इति खच्प्रत्ययः
sp002-000230_KS_04	अरुर्द्विषत् अजन्तस्य मुम् इति मुमागमः
sp002-000231_KS_04	ते तव सखा कुसुमैः आयोजितम् आरचितम् कार्मुकम् येन सः
sp002-000232_KS_04	कार्मुकनिर्माता मधुर्वसन्तः क्व नु क्व वा
sp002-000233_KS_04	गत इति शेषः
sp002-000234_KS_04	अथवा सः अपि उग्ररुषा तीव्रकोपेन पिनाकिना ईश्वरेण सुहृदा मदनेन गताम् प्राप्ताम् गतिम्
sp002-000235_KS_04	भस्मताम् इत्यर्थः
sp002-000236_KS_04	न गमितः खलु न प्रापितः किम्
sp002-000237_KS_04	जिज्ञासानुनये खलु इत्यमरः
sp002-000238_KS_04	अथेति
sp002-000239_KS_04	अथ तैः परिदेविताक्षरैः विलापवचनैः हृदये दिग्धशरैः
sp002-000240_KS_04	विषलिप्तमुखैः शरैः इव आहतः सन्
sp002-000241_KS_04	विषाक्ते दिग्धलिप्तकौ इत्यमरः
sp002-000242_KS_04	मधुर्वसन्तः आतुराम् आपन्नाम् रतिम् अभ्युपपत्तुम् अनुग्रहीतुम्
sp002-000243_KS_04	आश्वासयितुम् इत्यर्थः
sp002-000244_KS_04	अभ्युपपत्तिः अनुग्रहः इति अमरः
sp002-000245_KS_04	आत्मानम् पुरः अदर्शयत्
sp002-000246_KS_04	आविरभूत् इत्यर्थः
sp002-000247_KS_04	तमिति
sp002-000248_KS_04	सा रतिः तम् मधुम् अवेक्ष्य दृष्ट्वा भृशम् रुरोद
sp002-000249_KS_04	स्तनौ सम्बाध्य स्तनसम्बाधम्
sp002-000250_KS_04	परिक्लिश्यमाने च इति णमुल्
sp002-000251_KS_04	उरः जघान ताडितवती च
sp002-000252_KS_04	तथाहि
sp002-000253_KS_04	स्वजनस्य अग्रतः दुःखम् विवृतम् अपसारितम् द्वारम् कपाटम् यस्य तदिव
sp002-000254_KS_04	उपजायते आविर्भवति
sp002-000255_KS_04	उच्छृङ्खलम् प्रवर्तते इति उत्प्रेक्षाभिप्रायः
sp002-000256_KS_04	इतीति
sp002-000257_KS_04	दुःखमस्याः सञ्जातम् दुःखिता
sp002-000258_KS_04	सञ्जातदुःखा इत्यर्थः
sp002-000259_KS_04	तारकादित्वात् इतच्
sp002-000260_KS_04	सा रतिः एनम् वसन्तम् इत्युवाच च
sp002-000261_KS_04	चकारः पूर्वोक्तसमुच्चयार्थः
sp002-000262_KS_04	हे वसन्त पश्य सुहृदः
sp002-000263_KS_04	त्वत्सखस्य किम् स्थितम् किम् उपस्थितम् तदिदम् कपोतकर्बुरम् पारावतशबलम्
sp002-000264_KS_04	कणशः चूर्णीभूतम्
sp002-000265_KS_04	अल्पार्थात् छस्प्रत्ययः
sp002-000266_KS_04	भस्म पवनैर्विकीर्यते विक्षिप्यते
sp002-000267_KS_04	पश्य भस्मीभूतस्ते सुहृत् इत्यर्थः
sp002-000268_KS_04	अयीति
sp002-000269_KS_04	अयि स्मर सम्प्रति दर्शनम् देहि
sp002-000270_KS_04	एषः माधवः वसन्तः पर्युत्सुखः त्वद्दर्शनोत्कण्ठितः
sp002-000271_KS_04	त्वाम् अपि अनादृतवतः अस्य कः माधवः इति आशङ्क्य आह
sp002-000272_KS_04	नृणाम् पुरुषाणाम् दयितासु प्रेम अनवस्थितम् अस्थिरम्
sp002-000273_KS_04	चलमित्यर्थः
sp002-000274_KS_04	सुहृज्जने प्रेम तु न चलम् खलु
sp002-000275_KS_04	अमुनेति
sp002-000276_KS_04	ननु मदन पार्श्ववर्तिना सहचरेण अमुना वसन्तेन
sp002-000277_KS_04	ससुरासुरम् सुरासुरसहितम् जगत् विसतन्दुगुणस्य मृणालसूत्रमौर्वीकस्य
sp002-000278_KS_04	पेलवानि कोमलानि पुष्पाण्येव पत्रिणः बाणाः यस्य तस्य तव धनुषः आज्ञाम् कारितम्
sp002-000279_KS_04	जगदाज्ञा कारिता इत्यर्थः
sp002-000280_KS_04	हृक्रोरन्यतरस्यामिति जगतः कर्मत्वम्
sp002-000281_KS_04	गत इति
sp002-000282_KS_04	सः ते सखा अनिलाहतः वायुताडितः दीपः इव गतः एव न निवर्तते
sp002-000283_KS_04	अहम् अस्य दीपायमानस्य दशा वर्तिरिव
sp002-000284_KS_04	तिष्ठामीति शेषः
sp002-000285_KS_04	दशा वर्ताववस्थायाम् वस्त्रान्ते स्युः दशा अपि
sp002-000286_KS_04	इति विश्वः
sp002-000287_KS_04	कुतः
sp002-000288_KS_04	सोढुम् अशक्यदुःखप्रकर्षेण धूमिताम् सञ्जातधूमाम् माम् पश्य
sp002-000289_KS_04	धूमवत्त्वात् नष्टदीपदशासाम्यम् धूमश्च व्यसनमेव इत्यर्थः
sp002-000290_KS_04	वर्तिरपि दीपे नष्टे धूमिता भवति
sp002-000291_KS_04	विधिनेति
sp002-000292_KS_04	ननु वसन्त कामवधे मदनवधे माम् विमुञ्चता वर्जयता
sp002-000293_KS_04	अमारयता इत्यर्थः
sp002-000294_KS_04	विधिना दैवेन
sp002-000295_KS_04	विशसति हिनस्तीति विशसो घातुकः
sp002-000296_KS_04	विशसस्य कर्म वैशसम्
sp002-000297_KS_04	युवादित्वात् अण्प्रत्ययः
sp002-000298_KS_04	अर्धवैशसम् अर्धवधः कृतम्
sp002-000299_KS_04	अर्धो वा एष आत्मनो यत्पत्नी इति श्रुतेः
sp002-000300_KS_04	पत्युः स्वस्य च आश्रयाश्रयिभूतयोः
sp002-000301_KS_04	एकपदार्थत्वाभिप्रायेण अर्धोक्तिः
sp002-000302_KS_04	तथा च एकदेशवधे देशान्तरस्यापि वधनियमनात् मामपि विधिः अघ्नन्नेव हतवान् इति तात्पर्यम्
sp002-000303_KS_04	एतदेव उपपादयति
sp002-000304_KS_04	अनपायिनी अनपायित्वेन विश्वस्ते संश्रयद्रुमे आश्रयवृक्षे गजभग्ने सति वल्लरी लता पतनाय भवतीति शेषः
sp002-000305_KS_04	पतितुमेव सा अलमित्यर्थः
sp002-000306_KS_04	तुमर्थाच्च भाववचनात् इति चतुर्थी
sp002-000307_KS_04	तदिति
sp002-000308_KS_04	तत्तस्मात्कारणात् उक्तप्रकारेण
sp002-000309_KS_04	अन्यथापि मरणस्य अवश्यम्भावात् इत्यर्थः
sp002-000310_KS_04	अनन्तरम् भवता इदम् वक्ष्यमाणम् बन्धुजनप्रयोजनम् बन्धुकृत्यम् क्रियताम्
sp002-000311_KS_04	प्रार्थनायाम् लोट्
sp002-000312_KS_04	तदेव उपदिशति
sp002-000313_KS_04	ननु वसन्त विधुराम् विवशाम् माम् ज्वलनातिसर्जनात् अग्निदानात् पत्युरन्तिकम् प्रापय
sp002-000314_KS_04	अग्निप्रवेशनम् कारया इत्यर्थः
sp002-000315_KS_04	शशिनेति
sp002-000316_KS_04	कौमुदी चन्द्रिका शशिना सह याति
sp002-000317_KS_04	शशिनि अस्तमिते स्वयम् नश्यति इत्यर्थः
sp002-000318_KS_04	तडित्सौदामिनी मेघेन सह प्रलीयते प्रणश्यति
sp002-000319_KS_04	कर्तरि लट्
sp002-000320_KS_04	प्रमदाः स्त्रियः पतिवर्त्मगच्छन्तीति पतिवर्त्मगाः
sp002-000321_KS_04	पतिमार्गानुगामिन्यः इत्येतत् विचेतनैः
sp002-000322_KS_04	अविवेकिभिः अपि इत्यर्थः
sp002-000323_KS_04	नाथस्तु पृथग्जनैः इति पपाठ
sp002-000324_KS_04	प्रतिपन्नम् ज्ञातम्
sp002-000325_KS_04	अलवणा यवागूः अनुदराकन्या इति वत् अल्पत्वाभिप्रायेण विचेतनैरपि इति निर्देशः
sp002-000326_KS_04	पतिवर्त्मगाः इत्यत्र स्मृतिः
sp002-000327_KS_04	आर्ता आर्ते मुदिते हृष्टा प्रोषिते मलिना कृशा
sp002-000328_KS_04	मृते म्रियेत या पत्यौ सा स्त्री ज्ञेया पतिव्रता इति
sp002-000329_KS_04	अमुनेति
sp002-000330_KS_04	अमुना पुरोवर्तिना सुभगेन शोभनेन प्रियगात्रभस्मनैव
sp002-000331_KS_04	एवकारो मण्डनान्तरनिवृत्त्यर्थः
sp002-000332_KS_04	कषायितस्तनी रञ्जितस्तनी
sp002-000333_KS_04	रागे क्वाथे कषायः अस्त्री निर्यासे सौरभे रसे इति वैजयन्ती
sp002-000334_KS_04	नवपल्लवसंस्तरे यथा नवपल्लवतल्पे इव विभावसौ वह्नौ तनुम् शरीरम् रचयिष्यामि
sp002-000335_KS_04	निधास्यामि इत्यर्थः
sp002-000336_KS_04	कुसुमेति
sp002-000337_KS_04	हे सौम्य साधो त्वम् आवयोः रतिपञ्चबाणयोः बहुशः बहुवारम् कुसुमास्तरणे पुष्पशयने सहायताम् गतः
sp002-000338_KS_04	सम्प्रति प्रणिपाताञ्जलिना याचितः
sp002-000339_KS_04	अञ्जलिपूर्वकम् प्रार्थितः सन् इत्यर्थः
sp002-000340_KS_04	आशु मे चिताम् काष्ठचयम् कुरु कुरुष्व
