sp021-000001_01	BaktaH kulaSeKaraH
sp021-000138_04	jalam prati kUrdanam karaRIyam iti ekena saNkalpaH kftaH nanu
sp021-000139_04	ataH dvO SizwO syAtAm
sp021-000140_04	ekaH vA SizwaH syAt
sp021-000141_04	na koऽpi vA SizwaH syAt
sp021-000142_04	trayaH tatra tIre kaTam Bavitum arhanti
sp021-000143_04	tat SrutvA guruH avadat
sp021-000144_04	vatsAH ekena maRqUkena saNkalpaH kftaH iti mayA uktam
sp021-000145_04	na tu jalam prati kUrdanam kftam iti
sp021-000146_04	yaH saNkalpamAtram karoti saH kArye udyataH Bavet iti tu nAsti
sp021-000147_04	yasya saNkalpaH dfQaH saH eva kArye pravfttaH Bavet
sp021-000148_04	saH eva pragatim sADayitum arhet ca
sp021-000149_04	aDyayanam api evameva
sp021-000150_04	tattaddinasya pAWam tattaddine eva yaH paWitvA tasya mananam kuryAt
sp021-000151_04	saH eva pragatim sADayet
sp021-000152_04	anantaradinataH ete SizyAH api aDyayane SradDAm pradarSayantaH
sp021-000153_04	tattaddinasya pAWanam tattaddine eva paWantaH pragatim sADitavantaH
sp021-000154_05	sarvaSrezWA gurudakziRA
sp021-000155_05	aruRakumAraH
sp021-000156_05	kiYcana gurukulam
sp021-000157_05	tatra bahavaH vidyArTinaH paWanti
sp021-000158_05	vidyAByAsam samApya nirgamanasamaye te gurum pfcCanti sma
sp021-000159_05	AcArya gurudakziRArUpeRa kim deyam iti
sp021-000160_05	guruH vadati sma yat aDItam tasya samyak anuzWAnam kriyatAm
sp021-000161_05	svAvalambitayA jIvanam kutvA
sp021-000162_05	varzAByantare yat sampAdyeta tatra kaScana BAgaH dIyatAm iti
sp021-000163_05	vidyArTinaH gfham pratigatya varzAByantare yaTASakti Danam sampAdya
sp021-000164_05	tatra kaYcit BAgam gurave SradDayA samarpayanti sma
sp021-000165_05	kadAcit kaScana tejasvI bAlaH gurukulam AgatavAn
sp021-000166_05	tIkzRamatiH saH alpe eva kAle guroH priyaH aBavat
sp021-000167_05	guruH api tam vAtsalyena apAWayat
sp021-000168_05	vidyAByAsam parisamApya pratigamanasamaye anye SizyAH iva saH api gurum apfcCat
sp021-000169_05	AcAryavarya gurudakziRAtvena mayA kim deyam
sp021-000170_05	guruH yaTApUrvam uttaram ayacCat
sp021-000171_05	SizyaH tataH nirgataH
sp021-000172_05	tataH varzAByantare daSaBiH saha pratyAgatya saH gurum avadat
sp021-000173_05	AcAryavarya mayA gurudakziRAm dAtum Agatam iti
sp021-000174_05	mahataH santozasya vizayaH guruH avadat
sp021-000175_05	ete eva gurudakziRAtvena arpyante mayA SizyaH avadat
sp021-000176_05	kimarTam taTA guruH AScaryeRa apfcCat
sp021-000177_05	guruvarya BavatA yat aDyApitam tat yaTASakti aDyApitam mayA
sp021-000178_05	tasmAt ete BavacCizyArhatAm gatAH santi
sp021-000179_05	itaHparam BavAn etAn aDyApya sanmArgagAminaH kuryAt iti prArTaye
sp021-000180_05	iti vinayena namaskatya avadat SizyaH
sp021-000181_05	tam sABimAnam paSyan guruH avadat
sp021-000182_05	sADu Sizyottama sADu BavatA sarvaSrezWA eva gurudakziRA arpitA
sp021-000183_05	yat mayA aDyApitam tat samyak avagatya yogyena eva krameRa tasya AcaraRamapi tvayA kftam
sp021-000184_05	tava AcaraRam api sarvaSrezWam
sp021-000185_05	ataH eva tvamapi mama Sizyezu sarvaSrezWaH iti
sp021-000186_06	vicintya upadezwavyam
sp021-000187_06	qAkwar ke nArAyaRaBawwaH
sp021-000188_06	tatra mahAvIro nAma narapatiH rAjyam pAlayati sma
sp021-000189_06	saH prajAH putravat pAlayati sma
sp021-000190_06	ekadA tatra atyalpA vfzwiH aBavat
sp021-000191_06	tadA janAH jalakzAmeRa duHKitAH jAtAH
sp021-000192_06	duHKitAn tAn dfzwvA rAjA jalakzAmanivAraRArTam upAyam acintayat
sp021-000193_06	mantriparizadam AhUya saH jalakzAmanivAraRopAyam vyacArayat
sp021-000194_06	tadA mantriRaH avadan praBo tAladvayadaGnam yojana vistIrRam saraH nirmAtavyam
sp021-000195_06	tena jalakzAmasya upaSamanam Bavet iti
sp021-000196_06	tat SrutvA rAjA taTEva saraH kAritavAn
sp021-000197_06	varzAkAle samAgate vipulA vfzwiH aBavat
sp021-000198_06	taTApi tat saraH tu Suzkam eva avartata
sp021-000199_06	na tatra kiYcidapi jalam atizWat
sp021-000200_06	tat avalokya rAjA kimasya kAraRam
sp021-000201_06	etannivAraRe kim vA karaRIyam iti acintayat
sp021-000202_06	kaScana fziH tasya sarasaH samIpam AgataH
sp021-000203_06	rAjA tam praRamya PalAdiBiH apUjayat
sp021-000204_06	tena santuzwaH tapasvI rAjAnam apfcCat
sp021-000205_06	rAjan tvam duHKitaH iva dfSyase kim asya kAraRam iti
sp021-000206_06	tadA rAjA avadat
sp021-000207_06	Bagavan prajAnAm duHKam apAkartum mahAntam Danavyayam kftvA etat saraH mayA kAritam
sp021-000208_06	tatra tu jalam bindumAtreRApi na tizWati
sp021-000209_06	ataH aham duHKitaH asmi
sp021-000210_06	BavAn etam pratyavAyam svatapaHpraBAveRa yadi nivArayet
sp021-000211_06	tarhi mahAn anugrahaH kftaH Bavet iti
sp021-000212_06	tat SrutvA fziH avadat
sp021-000213_06	rAjan atra mahAn pratyavAyaH vidyate
sp021-000214_06	sarovarasya samIpe mAtuH durgAyAH mandiram vidyate
sp021-000215_06	tasyE viSizwaH upahAraH deyaH
sp021-000216_06	vikramOdAryAdiviSizwaguRopetasya rAjYaH sakalABiH yogaSaktiBiH sampannasya kasyacit fzeH vA
sp021-000217_06	kaRWaruDireRa miSritam annam tasyE arpaRIyam
sp021-000218_06	taTA kftam cet asmin sarasi jalam na Suzyet iti
sp021-000219_06	fzeH vacanam SrutvA rAjA kzaRam yAvat acintayat
sp021-000220_06	vikramOdAryAdiguREH sampannaH rAjA sudurlaBaH
sp021-000221_06	tAdfSEH guREH yuktaH fziH api kva prApyeta iti
sp021-000222_06	tAvatA tasya manasi nUtanaH vicAraH asPurat
sp021-000223_06	fziH ayam yogaSaktisampannaH asti eva
sp021-000224_06	tayA SaktyA eva pratyavAyam jYAtvA parihAram uktavAn asti ayam
sp021-000225_06	ataH imameva fzim balim karomi iti niScitya
sp021-000226_06	koSAt Kaqgam Akfzya saH fzeH kaRWam CittvA
sp021-000227_06	tadraktena miSritam annam durgAyE samArpayat
sp021-000228_06	tataH vfzweH jalam sarasi atizWat
sp021-000229_06	sarovaraSca samudravat aBAsata
sp021-000230_06	evam yaH parihArasya upadezwA AsIt saH eva maraRam prApnot
sp021-000231_06	ataH vivekiBiH ucyate
sp021-000232_06	kAlam avekzya eva nfpajanAn hitam ahitam vA upadezwavyam
sp021-000233_06	anyaTA upadezwFRAm eva apAyaH samBavet iti
sp021-000234_07	mahAmeDAvI rAmAnujaH
sp021-000235_07	jarmandeSe grAmapradeSe kaScana prATamikaH vidyAlayaH
sp021-000236_07	antimAvaDO aDyApakaH na AsIt kasyAYcit kakzyAyAm
sp021-000237_07	ataH sarve CAtrAH mahAntam kolAhalam kurvantaH Asan
sp021-000238_07	ataH muKyADyApakaH daRqam gfhItvA kakzyAm prAviSat
sp021-000239_07	tasya darSanena sarve CAtrAH tUzRIm aBavan
sp021-000240_07	praDAnADyApakaH CAtrAn daRqayitum EcCat
sp021-000241_07	ataH saH CAtrAn AdizwavAn
sp021-000242_07	BoH sarvEH ekataH Sataparyantam leKanIyam
sp021-000243_07	tataH sarvezAm saNkalanam kftvA yogaH leKanIyaH
sp021-000244_07	tadanantarameva BavantaH gfham gantum arhanti
sp021-000245_07	yaH SIGram liKet saH SIGrameva gantum arhati iti
sp021-000246_07	sarve CAtrAH Jawiti leKane udyatAH aBavan
sp021-000247_07	sarvezAmapi mahatI cintA
sp021-000248_07	na jYAyate etadarTam kiyAn samayaH apekzyeta iti iti
sp021-000249_07	kintu tezu ekaH CAtraH leKanAramBam akftvA
sp021-000250_07	vAtAyane dfzwim niDAya cintane magnaH aBavat
sp021-000251_07	nimezadvayAByantare tatra netre santozeRa viSAle jAte
sp021-000252_07	saH dakziRahastam unnIya apfcCat
sp021-000253_07	AcAryavarya uttaram yadi ucyeta tarhi kimaham gfham gantum SaknuyAm
sp021-000254_07	niScayena kintu saNkalanam kim tvayA kftam
sp021-000255_07	Am uttaramapi sidDam asti
sp021-000256_07	darSyatAm uttaram
sp021-000257_07	mayA na liKitam
sp021-000258_07	manasi eva saNkalanam kftam
sp021-000259_07	ataH aham uttaram vadAmi CAtraH avadat
sp021-000260_07	astu atra matsamIpam Agatya vada
sp021-000261_07	CAtraH guroH karRe uttaram avadat
sp021-000262_07	sADu iti guruH yAvat avadat tAvatA CAtraH syUtam unnIya tataH nirgataH AsIt
sp021-000263_07	anye CAtrAH dIrGakAlam yAvat Sramam kftavantaH
sp021-000264_07	taTApi yogyam uttaram liKitum tEH na Saktam
sp021-000265_07	ante guruH eva karuRayA tAn gfham prati prezitavAn
sp021-000266_07	anantaradine saH tam CAtram AhUya apfcCat
sp021-000267_07	BoH tAvatA SEWyeRa tvayA kaTam saNkalanam kftam
sp021-000268_07	tadA saH CAtraH samandahAsam avadat
sp021-000269_07	guruvarya SataparyantAnAm saNKyAnAm saNkalanam karaRIyam nanu
sp021-000270_07	AdO mayA praTamAntimayoH yojanam kftam
sp021-000271_07	tataH dvitIyopAntyayoH yojanam kftam
sp021-000272_07	anantaram tftIyAyAH antyAt pUrvasyAH pUrvasyAH ca yojanam kftam
sp021-000273_07	etasmAt paYcASat yugalAni prAptAni
sp021-000274_07	sarvezAm yugalAnAm saNkalanam tu ekADika ekaSatam
sp021-000275_07	ataH paYcASataH yugalAnAm saNkalanam tu
sp021-000276_07	etatsarvam mayA manasi eva kftam
sp021-000277_07	CAtrasya budDimattAm dfzwvA hfzwaH aDyApakaH avadat
sp021-000278_07	vatsa mahAmeDAvI asi
sp021-000279_07	tvam agre niScayena mahatIm kIrtim prApsyasi
sp021-000280_07	saH eva bAlaH BAvini kAle mahABOtavijYAnitvena KyAtaH aBavat
sp021-000281_07	tasya nAma kArla Peqarik gAs iti
sp021-000282_08	dAnam
sp021-000283_08	kaScana rAjA svasya guroH mAhAtmyam SlAGamAnaH saharza gurave dukUlavastrARi upAyanatvena samarpitavAn
sp021-000284_08	anena pramuditaH guruH tAni vastrARi parigfhya gfham prati prasTitavAn
sp021-000285_08	maDye mArgam tena kaScana BikzukaH dfzwaH
sp021-000286_08	tasya nirgatikAvasTAyAH darSanAt guroH manasi mahatI karuRA utpannA
sp021-000287_08	ataH saH svanikawe sTitAni rAjYA dattAni vastrARi tasmE dattvA agre gatavAn
sp021-000288_08	pare dyavi tenEva mArgeRa gacCan rAjA gurave upAyanIkftAni dukUlavastrARi BikzukeRa pariDftAni dfzwavAn
sp021-000289_08	mayA yat gurave dattam tat Bikzukasya SarIre dfSyate
sp021-000290_08	etasya tAtparyam yat mayA dattam guruH BikzukAya dattavAn iti
sp021-000291_08	etena guruH mama apamAnam kftavAn iva
sp021-000292_08	iti cintayan saH atIva krudDaH saYjAtaH
sp021-000293_08	katipayadinAnAm anantaram rAjA gurave upAyanatvena suvarRakaNkaRam pradattavAn
sp021-000294_08	guruH tat suvarRam kaNkaRam svIkftya AsTAnAt tu nirgataH
sp021-000295_08	tena jYAtam yat rAjAsTAnasya udyogI kaScit putryAH vivAham kartum kleSam anuBavati iti
sp021-000296_08	ataH saH tat suvarRakaNkaRam rAjAsTAnasya udyogine ayacCat
sp021-000297_08	etam vizayam jYAtvA rAjA gurum AhUya avadat
sp021-000298_08	BavadvizayiRyA gOravaBAvanayA mayA Bavate upAyanAni dattAni
sp021-000299_08	kintu BavAn tAni yaTezwam anyeByaH vitaran asti
sp021-000300_08	kim etat ucitam iti
sp021-000301_08	tadA guruH avadat
sp021-000302_08	rAjan dAnam nAma pradattasya vastunaH Danasya vA sampUrRatayA svAmitvatyAgasya aNgIkAraH
sp021-000303_08	parantu ADunApi kftasya dAnasya vizayam smaran BavAn tadvizaye mAm pfcCannasti
sp021-000304_08	ityasya ayameva arTaH yat
sp021-000305_08	idAnImapi tadvastu AtmanaH eva iti BavAn BAvayan asti iti
sp021-000306_08	evam tarhi BavAn dAnaPalam na prApsyati
sp021-000307_08	astu tAvat BavAn pfcCannasti ityataH vadAmi
sp021-000308_08	vastutaH BavatA mahyam pradattAnAm vastUnAm AvaSyakatA mama yAvat syAt
sp021-000309_08	tatoऽpi aDikam tezAm eva asti
sp021-000310_08	ataH eva aham tAni vastUni teByaH dattavAn asmi
sp021-000311_08	anena Bavantam prati DikkAraH prakawanIyaH iti tu mama uddeSaH nAsti iti
sp021-000312_08	guroH praBAvajanakavacoBiH rAjA svadozam vijYAya gurum kzamA prArTayata
sp021-000313_08	dAnasya mahattAm ca ajAnAt
sp021-000314_09	Bavet ko muktidAyakaH
sp021-000315_09	ma vi kolhawakaraH
sp021-000316_09	AsIt kaScana nfpatiH
sp021-000317_09	nItisampannAH upadeSAH kaTAH ca SrutAH cet mama pragatiH avaSyam Bavet iti vicintya
sp021-000318_09	tena kaScana paRqitaH niyuktaH
sp021-000319_09	paRqitaH pratidinam GaRwAm yAvat upadeSakaTAdikam SrAvayati sma
sp021-000320_09	etadarTam nfpatiH paRqitAya pratimAsam paYcasahasram rUpyakARi vetanarUpeRa yacCati sma
sp021-000321_09	ezaH upakramaH paYcavarzARi yAvat prAcalat
sp021-000322_09	ekasmin dine nfpatiH paRqitam avadat
sp021-000323_09	paRqitavarya A paYcaByaH varzeByaH BavAn pratidinam rucirAH kaTAH utkfzwAn upadeSAn ca SrAvayati
sp021-000324_09	taTApi mayi kApi pragatiH na jAtA
sp021-000325_09	mama kroDaSIlatAdayaH na apagatAH manassaMyamaH vA na prAptaH
sp021-000326_09	ataH mama praSnaH etasya upakramasya anuvartanam karaRIyam kim iti
sp021-000327_09	BavAna mAsAByantare asya upakramasya saPalatAvizaye mAm avagamayet
sp021-000328_09	anyaTA BavAn sevAmuktaH karizyate mayA
sp021-000329_09	etasya SravaRAt paRqitaH cintAkrAntaH aBavat
sp021-000330_09	agre mama kuwumbasya kA gatiH Bavet iti
sp021-000331_09	BfSam cintayitvA api paRqitaH kamapi parihAram na prApnot
sp021-000332_09	tezu eva dinezu kaScana sADumahArAjaH tam grAmam AgataH
sp021-000333_09	paRqitaH tam dfzwvA svasya vyaTAm akaTayat
sp021-000334_09	sADumahASayaH avadat
sp021-000335_09	kiYcitkAlam yAvat tvam mAm svaSizyam manyasva
sp021-000336_09	tataH nfpatim upasarpya vada
sp021-000337_09	mama SizyaH BavataH praSnasya yogyam uttaram yacCati iti
sp021-000338_09	agre yaTocitam aham karizyAmi iti
sp021-000339_09	paRqitaH etat aNgIkftya SizyeRa saha rAjamandiram agacCat
sp021-000340_09	SizyaH nfpati praRamya avadat
sp021-000341_09	mahArAja aham BavataH praSnasya yaTocitam uttaram dAsyAmi
sp021-000342_09	tadarTam GaRwAm yAvat nfpatipadam mahyam dIyatAm
sp021-000343_09	nfpatiH etat aNgyakarot siMhAsanAt avAtarat ca
sp021-000344_09	siMhAsane upavizwavAn SizyaH BawAn AjYApitavAn
sp021-000345_09	AnIyatAm dfQam rajjudvayam
sp021-000346_09	ekayA rajjvA paRqitasya hastapAdam samagram SarIram ca dfQatayA baDyatAm
sp021-000347_09	anyayA rajjvA nfpatiH api taTEva baDyatAm
sp021-000348_09	mahat AScaryam anuBavantaH api BawAH siMhAsane upavizwavataH AdeSam yaTAvat pAlitavantaH
sp021-000349_09	paScAt SizyaH paRqitam avadat
sp021-000350_09	paRqitavareRya nfpatim banDamuktam kuru
sp021-000351_09	paRqitaH avadat kaTam mocayeyam aham svayam badDaH
sp021-000352_09	badDaH aham kaTam anyam banDanAt mocayeyam
sp021-000353_09	paScAt SizyaH nfpatim avadat
sp021-000354_09	mocaya paRqitavareRyam
sp021-000355_09	nfpatiH api avadat
sp021-000356_09	badDaH aham kaTam anyam mocayitum SaknuyAm
sp021-000357_09	tadA SizyaH avadat
sp021-000358_09	satyam svayam muktaH eva badDam mocayitum SaknuyAt
sp021-000359_09	paRqitavareRyaH svayam na DanamuktaH kroDamuktaH kAmanAmuktaH vA
sp021-000360_09	evam sTite varAkaH saH nfpatim kaTam mocayitum SaknuyAt
sp021-000361_09	lajjitaH KinnaH ca paRqitaH AtmAnam banDamuktam kartum sADanAm prAraBata
sp021-000362_10	mEtryAH sImA
sp021-000363_10	jYAnaSeKaraH
sp021-000364_10	devadattaH nAma rAjA pUrvam AsIt
sp021-000365_10	tasya Bavanasya vAwikAyAm kAcit cawakA nivasati sma
sp021-000366_10	rAjA devadattaH pakziRAm BAzAm jAnAti
sp021-000367_10	ataH saH cawakayA saha samBAzaRam karoti
sp021-000368_10	ekasmin dine rAjakumAreRa saha rAjA vAwikAm gatvA
sp021-000369_10	cawakayA saha samBAzaRam kftavAn
sp021-000370_10	tadA cawakA mayA putraH prAptaH asti iti uktvA svaSAvakam rAjYe adarSayat
sp021-000371_10	rAjA tam SAvakam dfzwvA nitarAm santuzwaH aBavat
sp021-000372_10	cawakAyAH rAjakumArasya ca mEtrI pravfdDA
sp021-000373_10	cawakA rAjakumAram prItyA eva paSyati sma
sp021-000374_10	sA AhArArTam gatvA pratyAgamanasamaye Paladvayam AnIya
sp021-000375_10	ekam rAjakumArAya anyat svaSAvakAya ca dadAti sma
sp021-000376_10	ekasmin dine prAtaH cawakA AhArArTam gatA AsIt
sp021-000377_10	tadA rAjakumAraH cawakAyAH nIqasya samIpam AgatavAn
sp021-000378_10	rAjakumArasya manasi durvicAraH AvizwaH
