sp015-000001_001	upAyena Sakyam sarvam
sp015-000031_001	ataH praTamam Bavantam KAditvA anantaram sarvam mfgakulameva nASayAmi iti
sp015-000032_001	tadA SaSakaH vinayena uktavAn
sp015-000033_001	svAmin mayA aparADaH na kftaH
sp015-000034_001	BavataH samIpam samaye Agantavyam ityeva aham prasTitaH
sp015-000035_001	parantu mArge anyaH ekaH siMhaH AsIt
sp015-000036_001	saH mAm dfzwvA pfzwavAn
sp015-000037_001	BavAn kutra gacCati iti
sp015-000038_001	aham BAsurakasya AhArArTam gacCAmi iti uktavAn
sp015-000039_001	tadA saH uktavAn etat mama araRyam
sp015-000040_001	atra sarve api mfgAH mama AjYAm pAlayeyuH
sp015-000041_001	BAsurakaH kutra asti saH corasiMhaH syAt
sp015-000042_001	BavAn tam atra Anayatu
sp015-000043_001	AvayoH maDye yudDam Bavatu
sp015-000044_001	yudDe yaH jayati saH eva Bavantam KAdatu iti
sp015-000045_001	tasya sUcanAnusAram aham atra AgatavAn
sp015-000046_001	ataH eva vilambaH jAtaH iti
sp015-000047_001	evam vA tarhi tam siMham idAnIm eva mArayAmi
sp015-000048_001	saH kutra asti pradarSayatu iti BAsurakaH uktavAn
sp015-000049_001	SaSakaH tam kUpasamIpam nItavAn kUpam pradarSitavAn ca
sp015-000050_001	BAsurakaH tatra jale svasya pratibimbam dfzwavAn
sp015-000051_001	kroDena garjanam kftavAn
sp015-000052_001	kUpataH itoऽpi uccEH pratiDvaniH AgataH
sp015-000053_001	BAsurakaH tam pratibimbameva svasya pratisparDinam matvA
sp015-000054_001	tam mArayitum tasya upari AkramaRam kftavAn
sp015-000055_001	kUpamaDye patitaH saH jale nimagnaH mftaH ca
sp015-000056_002	vaYcakaH bakaH
sp015-000057_002	kutracit araRya pradeSe ekaH sarovaraH AsIt
sp015-000058_002	tatra bahavaH jalacarAH Asan
sp015-000059_002	kaScana bakaH api tatra bahukAlataH vasati sma
sp015-000060_002	kAlAntare saH bakaH vfdDaH aBavat
sp015-000061_002	vArDakya saH matsyAn grahItum api asamarTaH aBavat
sp015-000062_002	idAnIm kaTam AhAraH sampAdanIyaH
sp015-000063_002	iti cintayan saH ekam upAyam anvizwavAn
sp015-000064_002	sarovarasya tIre sTitvA aSrURi muYcan saH rodanam ArabDavAn
sp015-000065_002	tadA kaScana karkawakaH tasya samIpam Agatya pfzwavAn
sp015-000066_002	mAma kimarTam BavAn rodanam karoti iti
sp015-000067_002	tadA bakaH uktavAn adya dEvajYa muKataH aham ekAm durvArtAm SrutavAn
sp015-000068_002	itaH param dvAdaSa varza paryantam atra anAvfzwiH Bavizyati iti
sp015-000069_002	asmAkam sarovare kiYcit eva jalam asti
sp015-000070_002	SIGram eva tat api Suzkam Bavizyati
sp015-000071_002	tadA mama bAnDavAH BavantaH sarve api mftAH Bavizyanti kila
sp015-000072_002	iti mama atIva duHKam iti
sp015-000073_002	tat SrutvA karkawakaH tAm vArtAm anya jalacarAn niveditavAn
sp015-000074_002	te sarve api BItAH santaH bakasya samIpam AgatavantaH
sp015-000075_002	vinayena tam pfzwavantaH
sp015-000076_002	mAma asmAkam prARarakzaRArTam koऽpi upAyaH astivA iti
sp015-000077_002	tadA bakaH uktavAn
sp015-000078_002	itaH kiYcit dUre anyat ekam sarovaram asti
sp015-000079_002	tatra praBUtam jalamasti
sp015-000080_002	tat kadApi Suzkam na Bavizyati
sp015-000081_002	yadi BavantaH mama pfzWam Arohanti
sp015-000082_002	tarhi aham BavataH sarvAn tatra nayAmi iti
sp015-000083_002	tadA te jalacarAH mahatA utsAhena tam paritaH sTitavantaH
sp015-000084_002	bakaH tAn pfzWe Aropya tataH prasTitavAn
sp015-000085_002	kiYcit dUre ekA SilA AsIt
sp015-000086_002	tatra tAn sTApayitvA saH santozeRa KAditavAn
sp015-000087_002	evam eva saH bahUn jalacarAn KAditavAn
sp015-000088_002	ekasmin dine karkawakaH uktavAn
sp015-000089_002	mAma adya mAm nayatu iti
sp015-000090_002	astu adya karkawakasya mAMsam KAdAmi iti cintayitvA bakaH tam pfzWe AropitavAn
sp015-000091_002	vaDya SilAm prati gatavAn ca
sp015-000092_002	karkawakaH dUrAt eva SilAyAm patitAni asTIni dfzwvA
sp015-000093_002	bakasya durAlocanAm jYAtavAn
sp015-000094_002	ataH sa svadanta dvayena bakasya kaRWam dfQam gfhItavAn
sp015-000095_002	vedanayA rodanam kurvan saH vaYcakaH bakaH mftaH
sp015-000096_003	nazwaH pizwaGawaH
sp015-000097_003	kasmiMScit nagare kaScana daridraH brAhmaRaH vasati sma
sp015-000098_003	saH BikzAwanena jIvanam karoti sma
sp015-000099_003	kadAcit saH pizwena pUrRam ekam Gawam prAptavAn
sp015-000100_003	tam Gawam nAgadante avalambya tasya aDaH upaviSya
sp015-000101_003	saH ekadfzwyA Gawameva paSyati sma
sp015-000102_003	ekadA rAtrO saH cintitavAn
sp015-000103_003	yadi deSe durBikzaH Bavet
sp015-000104_003	tarhi etasya SatarUpyakARAm mUlyam Bavet
sp015-000105_003	tadA aham etat vikrIya tena Danena ajadvayam krezyAmi
sp015-000106_003	kAlAntare tena ajasamahaH Bavizyati
sp015-000107_003	anantaram ajasamUham vikrIya DenUH krezyAmi
sp015-000108_003	anantaram tAH vikrIya mahizIH tAH vikrIya aSvAn ca fzyAmi
sp015-000109_003	tAn api vikrIya yaTezwam Danam sampAdayizyAmi
sp015-000110_003	bfhat gfham nirmApayizyAmi
sp015-000111_003	tadA kaScit brAhmaRaH Agatya rUpavatIm svakanyAm mahyam dAsyati
sp015-000112_003	anantaram mama putraH janizyati
sp015-000113_003	devaSarmA iti tasya nAmakaraRam karizyAmi
sp015-000114_003	yadA saH jAnuByAm calitum samarTaH Bavizyati
sp015-000115_003	tadA aham aSvaSAlAyAm pustakam paWizyAmi
sp015-000116_003	tadA devaSarmA jAnuByAm calan mama samIpam Agantum udyuktaH Bavizyati
sp015-000117_003	tadA tam bAlam grahItum tasya mAtaram AjYApayizyAmi
sp015-000118_003	yadA sA mama vacanam na Srozyati
sp015-000119_003	tadA aham kopena pAdaprahAreRa tAm daRqayizyAmi
sp015-000120_003	iti evam cintayan saH pAdaprahAram kftavAn eva
sp015-000121_003	pizwena pUrRaH Gawa patitaH BagnaH ca
sp015-000122_004	kAkasya upAyaH
sp015-000123_004	kaScana mahAvfkzaH AsIt
sp015-000124_004	tatra ekaH kAkaH patnyA saha vasati sma
sp015-000125_004	tasya eva vfkzasya koware ekaH kfzRasarpaH api vasati sma
sp015-000126_004	yadA kAkI prasUtA Bavati tadA kfzRasarpaH tasyAH SAvakAn KAdati sma
sp015-000127_004	etena kAkaH kAkI ca mahat duHKam anuBavataH sma
sp015-000128_004	ataH ekadA kAkaH svamitrasya SfgAlasya samIpam gatvA uktavAn
sp015-000129_004	BoH mitra saH kfzRasarpaH kaTaYcit mAraRIyaH
sp015-000130_004	upAyam sUcayatu iti
sp015-000131_004	SfgAlaH ekam upAyam sUcitavAn
sp015-000132_004	tat SrutvA kAkaH bahu santuzwaH
sp015-000133_004	tadanantaram kAkaH uqqayanam kurvan nagaram AgatavAn
sp015-000134_004	tatra mahArAjasya prAsAdasya sarovare antaHpurastriyaH jalakrIqAyAm magnAH Asan
sp015-000135_004	tAsAm vastrARi ABaraRAni ca sarovarasya sopAnezu sTApitAni Asan
sp015-000136_004	kAkaH tatra gatavAn
sp015-000137_004	ekam suvarRahAram svIkftya araRyABimuKam prasTitavAn
sp015-000138_004	tat dfzwvA rAjaBawAH kAkam anusftavantaH
sp015-000139_004	kAkaH araRyam Agatya mahAvfkzasya koware tam hAram pAtitavAn
sp015-000140_004	svayam dUram gatavAn ca
sp015-000141_004	rAjaBawAH tatra AgatavantaH
sp015-000142_004	koware hAram dfzwavantaH
sp015-000143_004	tadA tatra sTitaH kfzRasarpaH kopena bahiH AgatavAn
sp015-000144_004	rAjaBawAH daRqaprahAreRa tam mAritavantaH
sp015-000145_004	hAram ca nItavantaH
sp015-000146_004	tadanantaram kAkaH svapatnyA saha suKena jIvitavAn
sp015-000147_005	BAraTagOravagATA
sp015-000148_005	premRaH vijayaH mftyoSca parAjayaH
sp015-000149_005	tacca sandIpasya janmadinam
sp015-000150_005	ataH sAyam tasya gfham prati daSadvAdaSasuhfdaH AgatAH Asan
sp015-000151_005	utsavAcaraRasamApteH anantaram te gfhasya purataH sTitasya kasyacit vfkzasya aDaH sammilitAH
sp015-000152_005	tAta gItaSravaRam BavataH priyam kAryam Kalu
sp015-000153_005	mama saKIzu uBe samyak gAyataH
sp015-000154_005	tayoH gAnam Srutam cet BavAn niScayena santuzwaH Bavet iti devanATavaryam uktavatI SyAmalA
sp015-000155_005	evam tarhi avaSyam SfRumaH vayam iti vadan devanATavaryaH SyAmalAm anusftavAn
sp015-000156_005	tasya prAptitaH pUrvam eva bAlAH vfkzasya aDaH tasya upavezaRArTam AsandAdivyavasTAm kftavantaH Asan
sp015-000157_005	upasTitam tam sarve bAlAH namaskftavantaH
sp015-000158_005	tasya upaveSanAnantaram sarve te tfRAnAm upari upavizwavantaH
sp015-000159_005	SyAmalAyAH uBe saKyO jaya jaya janayitrI ityetadgItam sumaDurakaRWena SrAvitavatyO
sp015-000160_005	gItam SrutvA devanATavaryaH santozam prakawayan uktavAn
sp015-000161_005	gAnam uttamamAsIt
sp015-000162_005	tat etAvat sumaDuram Bavet iti mayA na cintitam AsIt iti
sp015-000163_005	AvAm gItam SrAvitavatyO
sp015-000164_005	etadarTam kimupAyanam dIyate AvayoH kfte
sp015-000165_005	iti pfzwavatyO te bAlike
sp015-000166_005	tasya praSnasya samarTanArTam anye sarve karatAqanam kftatantaH
sp015-000167_005	kimicCataH BavatyO
sp015-000168_005	kim cAkaleham uta payohimam
sp015-000169_005	utAho anyat kimapi vadatAm
sp015-000170_005	AnAyya dAsyAmi
sp015-000171_005	iti uktavAn devanATaH vAtsalyarUpeRa
sp015-000172_005	te sarve sadyaH eva KAditAH asmABiH
sp015-000173_005	ataH te na AvaSyakAH asmAkam kfte iti uktavatyO bAlike
sp015-000174_005	kim anyat AvaSyakam pfzwavAn devanATavaryaH
sp015-000175_005	yat fte BavattaH anyaH koऽpi dAtum na Saknoti tat AvaSyakam iti uktavantaH sarve bAlAH
sp015-000176_005	tAdfSam tat kim iti AScaryeRa apfcCan devanATaryaH
sp015-000177_005	vayam kaTAH Srotum icCAmaH
sp015-000178_005	BAratasaMskftisambanDAH kaTAH SrAvaRIyAH BavatA iti sarve ekasvareRa uktavantaH
sp015-000179_005	devanATaH mandahAsam prakawayan sarvAn sakft dfzwavAn
sp015-000180_005	tAta parahyaH BavAn mArkaRqeyasya kaTAm SrAvitavAn
sp015-000181_005	BavatA uktam AsIt yat mftyum jitavatsu mArkaRqeyaH api anyatamaH iti
sp015-000182_005	mftyum jitavantaH anye ke santi ityapi BavatA uktam AsIt
sp015-000183_005	ataH tAdfSasya kasyacit kaTASrAvaRIyA BavatA iti prArTitavantaH bAlAH
sp015-000184_005	astu tAvat iti uktvA devanATavaryaH kaTAm ArabDavAn
sp015-000185_005	araRyasamIpe sTite kasmiMScit ASrame kaScana taruRaH nivasati sma
sp015-000186_005	tasya nAma AsIt ruruH iti
sp015-000187_005	munInAm sevAm kurvan saH teByaH sarvAH vidyAH aDItavAn
sp015-000188_005	sarvARi SAstrARyapi tena aDItAni
sp015-000189_005	sundaraH taruRaH saH sarvezAm praSaMsApAtram AsIt
sp015-000190_005	tasmin eva ASramaparisare pramadvarA nAma kanyakA api nivasati sma
sp015-000191_005	sA api suSIlA sundarI ca
sp015-000192_005	rurupramadvarayoH parasparAnurAgaH utpannaH
sp015-000193_005	tO saNkalpitavantO yat jyezWAnAm anujYAm prApya AvAm vivAhitO BavAva iti
sp015-000194_005	BAvinyAH patnyAH kfte samarpayitum puzpamAlAm apekzamARaH ruruH kadAcit prAtaHkAle puzpARi Ahartum araRyam gatavAn
sp015-000195_005	prakftyA vikasitAni puzpARi tezu dinezu ABUzaReByaH api SrezWAni iti parigaRyante sma
sp015-000196_005	snAnArTam nadIm prati prasTitA pramadvarA ruroH kuwIre dfzwim pAtitavatI
sp015-000197_005	ruruH tatra na AsIt
sp015-000198_005	saha araRyam gatavAn syAt iti tayA cintitam
sp015-000199_005	ataH tam anvizyantI sA araRyam prati prasTitavatI
sp015-000200_005	sUryodayAt pUrvam araRyam pratigamanam na ucitam
sp015-000201_005	yataH tatkAle krUrajantavaH saYcarantaH Bavanti iti sA rurum sUcitavatI AsIt
sp015-000202_005	taTApi uzasi eva araRyam gatavataH ruroH vizaye asantozam prakawayantI sA araRyam pravizwavatI
sp015-000203_005	dUre puzpARi avacinvan ruruH tayA dfzwaH
sp015-000204_005	vawavfkzasya jawAm avalambya sTitA pramadvarA dUrataH ruruRA api dfzwA
sp015-000205_005	taTApi saH tasyAH samIpam na AgataH
sp015-000206_005	etasmAt pramadvarA kupitA
sp015-000207_005	ruruH jAnAti sma yat
sp015-000208_005	kaRWe puzpamAlAyAH arpaRena pramadvarAyAH kopaH pUrRataH upaSAntaH Bavizyati iti
sp015-000209_005	ataH saH mAlAracanam anuvartitavAn
sp015-000210_005	kintu atrAntare ekA durGawanA GawitA
sp015-000211_005	kaScana jantuH pramadvarAyAH samIpam AgataH
sp015-000212_005	BItA pramadvarA AkroSanam kftavatI
sp015-000213_005	anantarakzaRe eva BUmO patitA ca
sp015-000214_005	etad dfzwvA ruruH DAvan tatra gataH
sp015-000215_005	kintu tAvatA pramadvarA gataprARA jAtA AsIt
sp015-000216_005	kaScana GoraH vizasarpaH tAm dazwvA gatavAn AsIt
sp015-000217_005	tat samanantaram eva prahadvarAyAH prARAH SarIrAt nirgatAH
sp015-000218_005	ruruH tasyAH SiraH unnIya aNke sTApayitvA samBAzaRam kartum prayatnam kftavAn
sp015-000219_005	kintu prARahInam SarIram kaTam vA samBAzeta
sp015-000220_005	pramadvarAm prAREH viviktAm dfzwvA ruruH kzaRakAlam digBrAntaH
sp015-000221_005	kiYcitkAlAnantaram tena vastusTitiH avagatA
sp015-000222_005	saH saNkalpitavAn yatkaTamapi priyAyAH rakzaRam karaRIyam iti
sp015-000223_005	samagram dinam tatrEva upaviSya saH devadevatAH priyAyAH prARadAnam bahuDA prArTitavAn
sp015-000224_005	maDyarAtrasamaye divyatejasA yuktaH kAmadevaH tasya purataH pratyakzaH jAtaH
sp015-000225_005	akasmAt jAtAt priyAmaraRAt ruruH kiyatIm vedanAm prApnuvan asti ityetat kAmadevena aviditam na AsIt
sp015-000226_005	ataH ruruvizaye tasmin sahAnuBUtiH utpannA
sp015-000227_005	mftyulokam gattvA pramadvarAyAH AtmA ruruRA drazwum yaTA Sakyeta taTA varam dattavAn saH
sp015-000228_005	ruruH mftyulokam gatvA pramadvarAyAH AtmAnam aBijYAtavAn
sp015-000229_005	kintu yamaBawAH tena AtmanA saha samBAzaRArTam anumatiH asti iti uktavantaH
sp015-000230_005	ruruH etadvizaye yamaBawEH saha bahuDA carcAm kftavAn
sp015-000231_005	ante santuzwaH yamaH pramadvarAyAH ujjIvanam anumatavAn
sp015-000232_005	kintu tena ekaH niyamaH vihitaH
sp015-000233_005	pramadvarAyAH AyuH samAptam asti
sp015-000234_005	ataH yadi BavAn svasya AyuzaH arDaBAgam dadyAt tarhi pramadvarA ujjIvitA Bavet
sp015-000235_005	iti yamaH uktavAn
sp015-000236_005	yamasya etam prastAvam saharzam aNgIkurvan ruruH svasya AyuzaH arDam pramadvarAyE dattavAn
sp015-000237_005	anantarakzaRe eva pramadvarA utTitavatI
sp015-000238_005	tataH tO ASramam pratyAgatavantO
sp015-000239_005	sarvezAm sammuKe tayoH vivAhaH yaTAviDi sampannaH
sp015-000240_005	tataH tO suKena dAmpatyajIvanam kftavantO
sp015-000241_005	amarapremitvena tO viKyAtO jAtO
sp015-000242_005	evam kaTAm SrAvayitvA devanATavaryaH pfzwavAn etasyAH kaTAyAH Antaryam kim
sp015-000243_005	etasyAH kaTAyAH sandeSaH kaH
sp015-000244_005	iti kim BavantaH vaktum Saknuvanti iti
sp015-000245_005	kaTA tu asmABiH avagatA kintu iti vadantaH bAlaH mOnam ASritavantaH
sp015-000246_005	vayam prAyaH BAvayAmaH
sp015-000247_005	yad janmamaraRayoH parasparaviroDaH iti
sp015-000248_005	vastutaH tu maraRamapi jIvanasya ekam aNgam
sp015-000249_005	asmAsu paSyatsu eva jIvanam kadAcit adfSyatAm gacCati
sp015-000250_005	maraRam jIvanam samApayitum SaknuyAt na tu premaBAvam
sp015-000251_005	yadA kaScit maraRam prApnoti tadA tadvizaye asmAkam yAvat prema tAvat vizAdam anuBavAmaH vayam
sp015-000252_005	premRaH svarUpum eva vilakzaRam
sp015-000253_005	tat na mriyate amaram tat
sp015-000254_005	tyAgaH eva tasya prARAH
sp015-000255_005	purARasTA aparA api kaTA etadeva tattvam smArayati
sp015-000256_005	sA kaTA kA iti kim Bavatsu koऽpi jAnAti iti pfzwavAn devanATavaryaH
sp015-000257_005	sAvitrIsatyavatoH kaTA etat eva tattvam pratipAdayati nanu
sp015-000258_005	iti uktavAn kaScana bAlakaH
sp015-000259_005	Am kim ezA kaTA mahABArate paWitA BavatA
sp015-000260_005	iti pfzwavAn devanATaH
sp015-000261_005	na tAta yoginA araviRdavaryeRa racitam sAvitrInAmakam mahAkAvyam mama mAtA pratidinam paWati
sp015-000262_005	tataH Srutam mayA iti uktavAn saH bAlakaH
sp015-000263_005	yogivaryeRa mahAkavinA aravindavaryeRa ramaRIyatayA racite etasmin mahAkAvye bahUni tattvAni kaTAmADyamena pratipAditAni santi
sp015-000264_005	BavantaH sarve sAvitrIkaTAm SrutavantaH syuH
sp015-000265_005	ataH tasyAH SrAvaRam na AvaSyakam iti aham BAvayAmi
sp015-000266_005	devanATavaryaH avadat
sp015-000267_005	na tAta asmAsu bahavaH sAvitryAH kaTAm na SrutavantaH eva
sp015-000268_005	aravindavaryasya kAvyam tu sarvaTA aSrutapUrvam
sp015-000269_005	bAlAH avadan
sp015-000270_005	evam tarhi tAm kaTAm aham avaSyam SrAvayAmi
sp015-000271_005	kintu tat na adya
sp015-000272_005	api tu punaH kadAcit
sp015-000273_005	idAnIm BavantaH paWanaleKanAdikam kurvantu
sp015-000274_005	iti uktvA AsanAt utTitavAn devanATavaryaH
sp015-000275_006	nAsikA nAsABaraRam ca
sp015-000276_006	sanDyAsamayaH
sp015-000277_006	grAmasya maDye racitAyAm vedikAyAm upaviSya
sp015-000278_006	suprasidDaH kaviH BaktaH tulasIdAsaH AtmanA racitam rAmacaritamAnasam maDureRa svareRa paWan
sp015-000279_006	arTam vivfRvan AsIt
sp015-000280_006	SrotAraH SradDayA tacCfRvantaH Asan
sp015-000281_006	tulasIdAsaH sItAparityAgaBAgam manomohakaSElyA varRayan AsIt
sp015-000282_006	dvitrA GaRwAH yAvat kAvyapaWanam pravfttam
sp015-000283_006	kAryakramasamApteH anantaram kecana nirgatAH
sp015-000284_006	punaH kecana tulasIdAsena vArtAlApam kurvantaH sTitavantaH
sp015-000285_006	anye kecana tulasIdAsam namaskurvanti sma
sp015-000286_006	tulasIdAsaH rAmanAma uccArayan ASIrvAdam kurvan AsIt
sp015-000287_006	tasmin dine tulasIdAsasya vAsaH kasyacit sajjanasya gfhe niScitaH AsIt
sp015-000288_006	saH gfhasvAmI Agatya smAritavAn
sp015-000289_006	SrIman snAtvA pUjAm kftvA Kalu BavAnAhAram sevate
sp015-000290_006	ataH itaH SIGram prasTAnam varam iti
sp015-000291_006	tulasIdAsaH aNgIkArapUrvakam SiraH cAlitavAn
sp015-000292_006	atrAntare vedikAtaH anatidUre sTitA gfhiRI kAcittena dfzwA
sp015-000293_006	darSanAt eva aBAsata yat
sp015-000294_006	ezA mayA melitum icCati
sp015-000295_006	kintu saNkocavaSAt dUre tizWati iti
sp015-000296_006	ataH saH snehapUrRasvareRa tAm apfcCat
sp015-000297_006	kim BavatI mayA melitumicCati iti
sp015-000298_006	sA mahatA santozeRa agre Agatya tulasIdAsasya pAdO spfzwvA namaskftavatI
sp015-000299_006	tulasIdAsaH ASIrvAdena tAm anugfhItavAn
sp015-000300_006	sA utTAya mandahAsam prakawayantI mOnena sTitavatI
sp015-000301_006	putri kim kimapi vaktumicCati BavatI
sp015-000302_006	iti apfcCat tulasIdAsaH mfdusvareRa
sp015-000303_006	sA itastataH paSyantI pfzwavatI
sp015-000304_006	mahAtman kim mama muKamaRqale kApi apUrvatA dfSyate iti
sp015-000305_006	mugDasya SiSoH iva BavatyAH muKamaRqalam api nirmalam nizkalmazam ca iti avadat tulasIdAsaH
sp015-000306_006	kim mama maKe SoBamAnam nAsABaraRam lakzitam BavatA iti sA punaH apfcCat
sp015-000307_006	Am nitarAm SoBate tat iti avadat tulasIdAsaH
sp015-000308_006	anyasya manasaH avagamane tulasIdAsasya viSezasAmarTyam AsIt
sp015-000309_006	sarve mama nAsABaraRasya praSaMSAm kuryuH
sp015-000310_006	anye iva ayam mahAtmA api tasya praSaMsAm kuryAt iti ezA icCati iti avagatam tena
sp015-000311_006	sA gfhiRI uktavatI
sp015-000312_006	sarve mama nAsABaraRasya praSaMsAm kurvanti
sp015-000313_006	mahatA mUlyena mama AryaputreRa mannimittam etat krItam
sp015-000314_006	mayA niziDyamAnaH api saH aDikamUlyena etat krItvA mahyam dattavAn
sp015-000315_006	etasmAt spazwam yat mayi tasya anurAgaH kiyAn iti
sp015-000316_006	etadBavate api arocata nanu iti
sp015-000317_006	Am vatse apUrvam etat sundare muKe sundaratayA virAjate
sp015-000318_006	etasya sOndaryam niScayena praSaMsAtItam
sp015-000319_006	patiH BavatyAm viSezAnurAgavAn iti etasmAt siDyati ityapi satyam
sp015-000320_006	Bavadvizayakapatiprema niScayena stutyarhaH
sp015-000321_006	yaH BavatyE amUlyam ABaraRam krItvA dattavAn tadvizaye kftajYatAprakawanam api yuktameva
sp015-000322_006	kintu Bavati tasmE Bagavate kim kftajYatAm samarpitavatI
sp015-000323_006	yaSca BavatyE etAdfSIm sundarIm nAsikAm dattavAn
sp015-000324_006	vastutaH tu BagavatA dattA sundarI nAsikA
sp015-000325_006	sundaram muKamaRqalam ca yadi na syAt
sp015-000326_006	tarhi kim sundarasya nAsABaraRasya prAptyA
sp015-000327_006	ataH BagavataH kfpA eva Kalu sarvasya kAraRam
sp015-000328_006	saH BagavAn eva Kalu smartavyaH sadA kftajYatABAvena
sp015-000329_006	BagavataH smaraRAt eva jIvane kalyARam prApyate iti boDitavAn tulasIdAsaH
sp015-000330_006	astu taTEva AcarAmi SrIman iti vandantI tataH gatavatI sA gfhiRI
sp015-000331_007	govindasya syUtaH
sp015-000332_007	viSAlapure govindanAmakaH kaScana AQyaH vasati sma
sp015-000333_007	tasya apArA sampattiH AsIt
sp015-000334_007	sAmAnyAm GawanAm api apUrvatayA varRayitum samarTaH AsIt saH
sp015-000335_007	ataH janAnAm AkarzaRakendram jAtaH saH
sp015-000336_007	kadAcit keSavanAmakaH kaScit udyogam anvizyan viSAlapuram AgatavAn
sp015-000337_007	yatkimapi kAryam kartum sidDaH AsIt saH
sp015-000338_007	sarvatra anvizya ante padmanABasya gfhe kAryam prAptavAn
sp015-000339_007	padmanABaH zazwivarzIyaH
sp015-000340_007	tasya Arogyam uttamam na AsIt
sp015-000341_007	svaputreRa snuzayA saha ca saH sarvadA kalaham karoti sma
sp015-000342_007	ante ekadA saH putram snuzAm gfhAt bahiH prezitavAn
sp015-000343_007	tasya patnI sItA api kalahaSIlA eva
sp015-000344_007	ataH gfhe sarvadA tayoH kalahaH pracalati sma
sp015-000345_007	kAryam kartum yaH tadgfham AgacCati saH alpe eva kAle tataH palAyate sma
sp015-000346_007	ataH tayoH kfte ekasya sevakasya mahati AvaSyakatA AsIt
sp015-000347_007	ataH keSavaH tatra udyogam prAptavAn
sp015-000348_007	keSavaH vyavahAre atyantam nipuRaH
sp015-000349_007	uttamEH vacanEH janAnAm hfdayasya jaye api saH nipuRaH AsIt
sp015-000350_007	keSavasya vacanEH sItApadmanABO praBAvitO
sp015-000351_007	tayoH samaYjanapravfttiH pravfdDA
sp015-000352_007	tayoH putraH snuzA ca gfham pratyAgatavantO
sp015-000353_007	tO mAtApitfByAm saha vAsamapi ArabDavantO
sp015-000354_007	sarvam jYAtvA janAH kaTanam ArabDavantaH
sp015-000355_007	yat keSavasya vacanam ye SfRvanti tezAm gfhe kalahaH na Bavizyati iti
sp015-000356_007	nirDanasya keSavasya praSaMsA govindAya na arocata
sp015-000357_007	asUyayA pIqitaH saH keSavasya avamAnanam kartum avasarasya pratIkzAm ArabDavAn
sp015-000358_007	kadAcit SivanAmakaH kaScit govindasya sakASAt fRam svIkartum AgatavAnva
sp015-000359_007	saH kaScit nirDanaH kfzikaH
sp015-000360_007	tasya putrI padmA
sp015-000361_007	sA prAptavayaskA
sp015-000362_007	ratnavaRijaH putraH BadraH tAm pariRetum icCati sma
sp015-000363_007	vivAhavizaye Sivasya aNgIkAraH AsIt
sp015-000364_007	kintu Badrasya pitA varadakziRArUpeRa paYcasahasram rUpyakARi icCati sma
sp015-000365_007	BadraH cintayati sma yat pituH aNgIkAraH asti cedeva vivAhaH iti
sp015-000366_007	ananyagatikatayA SivaH fRaprAptyarTam govindasya samIpam AgatavAn
sp015-000367_007	etasya avasarasya lABam svIkartum icCan govindaH
sp015-000368_007	etAvadDanam fRarUpeRa svIkaroti cet BavataH vinASaH niScitaH
sp015-000369_007	atra parihAramArgam prAyaSaH keSavaH eva vaktum samarTaH
