sp025-000001_001	ftuH parivartate
sp025-000233_002	vyApAraH api pUrvApekzayA aDikAH saralaH saMvfttAH
sp025-000234_002	sarvADikam mahattvapUrRantu idameva yat vyApArizu grAhakARAm viSvAsaH satatam vivarDate
sp025-000235_002	nAticirameva avalokayan Asam yat parivahana samBAra tantra kzetre jI es wI ityasya kiyAn praBAvaH jAtaH
sp025-000236_002	aDunA BAravAhi yAnAnAm gamanAgamanam kiyat eDitam
sp025-000237_002	dUratvam pUrayitum kena prakAreRa nyUnataraH kAlaH lagati
sp025-000238_002	rAjamArgAH sAmpratam yAnEH sammarda muktAH saYjAtAH
sp025-000239_002	BAravAhi yAnAnAm gati varDana kAraRAt pradUzaRam api apacitam
sp025-000240_002	BAra sAmagrI api satvaram gantavya sTalAni prApyante
sp025-000241_002	etat sOviDyam tu astyeva paraYca yugapadeva ArTika gatirapi anena balavattarA Bavati
sp025-000242_002	prAk pfTak pfTak karaviDAna kAraRAt parivahana samBAra tantra praBAgasya samaDikAni saMsADanAni AleKana patrARAm sanDAraRe eva vyApftAni Bavanti sma
sp025-000243_002	api ca tena pratyekamapi rAjye svIyAH navInAH paRya BUmayaH nirmeyAH Bavanti sma
sp025-000244_002	satyameva amunA asmadIyAyAm arTa vyavasTAyAm upari ati nyUnAvaDO eva BUriSaH sakAratmakaH praBAvaH vihitaH
sp025-000245_002	eBiH aSeza deSe aBinavaH viSvAsaH samvarDitaH
sp025-000246_002	api ca kadAcit arTa vyavasTAyAH viSezajYAH prabanDana paRqitAH praviDi pravIRAH ca BAratasya jI es wI prayogasya anusanDAnam kftvA jagataH sammuKam AdarSa padDati rUpeRa avaSyameva sTApayizyanti
sp025-000247_002	karADAnamidam viSvasya viSvavidyAlayAnAm kfte viSizwa prakaraRADyayanatvena BavitA
sp025-000248_002	yato hi etAvatA bfhat stareRa etAvat bfhattamam parivartanam taTA ca tAvati viSAle rAzwre kowi kowi janAnAm sampfkti purassaram jI es wI pravartanam karaRIyam
sp025-000249_002	tacca saPalatA pUrvakam agresAraRIyam etadasti svayamBUH bfhattamam sAPalya sopAnam
sp025-000250_002	kadAcit jagadidam nUnam etad vizaye aDyezyati
sp025-000251_002	jI es wI pravartane sarvezAmapi rAjyAnAm sahaBAgitvam vartate niKilAnAm rAjyAnAm cAtra dAyitvamapi vartate
sp025-000252_002	sarveऽpi nirRayAH rAjyEH kendreRa ca samBUya sarva sammatyA vihitAH santi
sp025-000253_002	ata eva pariRAmatvena pratyekamapi sarvakArasya ekA eva prATamikatA avartata yat jI es wI kAraRAt nirDanopari na kiYcidapi ApIqaH Bavet
sp025-000254_002	nUtanAyAm ca parisTitO kiyanti mUlyAni BavitAraH etat sarvamapi vivaraRam BavatAm jaNgama dUraBAzeRa upalabDum Sakyate
sp025-000255_002	ekam rAzwram ekam karADAnam
sp025-000256_002	kiyat bfhattamam svapnam pUrRam aBavat
sp025-000257_002	jI es wI vizaye mayA anuBUtam yat upa janapadataH BAratIya praSAsanasya aDikAriBiH samarpaRa BAvena yAvAn pariSramaH vihitaH
sp025-000258_002	api ca amunA vyAjena sarvakArasya vyApAriRAm ca maDye sarvakArasya grAhakARAm ca maDye yaH sOhArda pariveSaH samajani tena pArasparika viSvAsam vivarDayitum mahatI nAma BUmikA nirvyUQA
sp025-000259_002	kAryeऽsmin saMlagneByaH sarveByaH mantrAlayeByaH sarveByaH viBAgeByaH kendrasya rAjya praSAsanAnAm ca sarveByaH karmakareByaH hfdayena BUriSaH varDApanAni vitarAmi
sp025-000260_002	jI es wI karADAnam hi BAratasya sAmUhika SakteH saPalatAyAH anyatamam uttamam ca udAharaRam vartate
sp025-000261_002	ezA nAma EtihAsikI upalabDiH
sp025-000262_002	na ca ezA kevalam kara parizkAra padDatiH
sp025-000263_002	ezAsti prAmARikatA pUrRAyAH saMskfteH balapradAtrI kAcit nUtanA arTavyavasTA
sp025-000264_002	prakArAntareRa sAmAjika parizkArasya aBiyAnamapi idamasti
sp025-000265_002	punarekavAram aham saPalatA purassaram etAvantam bfhattamam prayAsam saPalIkartum kowi kowiByaH rAzwravAsiByaH kowi kowi vandanAni arpayAmi
sp025-000266_002	mama priyAH deSavAsinaH agasta mAsaH krAnteH mAsatvena viKyAtaH
sp025-000267_002	asya kAraRam sahajatayA vayam bAlyakAlAt SfRvantaH AsmaH yat vigata SatAbde viMSatitame varze agastamAse praTame dine asahayogAndolanam AraBata
sp025-000268_002	vigata SatAbde dvicatvArinSattame varze agastamAse navama dine BAratam tyaja iti Andolanam prAraBata
sp025-000269_002	yadDi agasta krAnti rUpeRa aBijYAyate
sp025-000270_002	api ca vigata SatAbde sapta catvArinSattame varze agastamAse paYcadaSe dinANke deSoऽyam svatantraH aBavat
sp025-000271_002	prakArAntareRa agastamAse GawitAH anekAH GawanAH svatantratA dinANkEH sAkam viSezatayA sampfktAH santi
sp025-000272_002	paraYca nyUnAH eva janAH taTyamidam jAnanti yat BAratam tyaje ti AGozaH qAkwar yUsuP mahar alI varyeRa pradattaH AsIt
sp025-000273_002	asmadIyAH navInA vaMSAvalI nUnam avagatA syAt yadvavigate SatAbde dvicatvArinSattame varze agastamAse navama dine kim aBavat
sp025-000274_002	azwAdaSaSatAbde sapta paYcASattama varzataH vigata SatAbde dvicatvArinSattama varzam yAvat yena svAtantrya saNkalpena saha deSavAsinaH samavetAH aBUvan saNGarzaratAH saMvfttAH kazwAni soQavantaH ceti itihAsasya pfzWAni nUnam Bavya BArata nirmARArTam asmadIya preraRA srotAnsi santi
sp025-000275_002	asmadIyAH svatantratA vIrAH tyAga tapasyA balidAnAni arpitavantaH eteByo aDikatarA preraRA kA nAma anyA syAt
sp025-000276_002	BAratam tyajeti Andolanam hi BAratIya svatantratAndolanasya mahattvADAyI saNGarzaH AsIt
sp025-000277_002	amunA Andolanena hi briwena deSIya SAsanAt muktim aDigantum aSezamapi rAzwram saNkalpitam vihitam
sp025-000278_002	ayam hi saH kAlaH AsIt yadA ANgla SAsanasya virudDam deSasya pratyekamapi koRe BAratIya jana mAnasam ekIBUtam
sp025-000279_002	Bavatu nAma saH grAmaH vA puram Bavantu nAma te nirakzarAH vA sAkzarAH janAH santu nAma te nirDanAH vA DaninaH pratyekamapi janaH samBUya BAratam tyajeti Andolanasya sahaBAgI jAtaH
sp025-000280_002	janAkroSaH carama sImAnam atikrAntaH
sp025-000281_002	mahAtmanaH gAnDinaH AhvAnam aBilakzya lakzaSo BAratavAsinaH kAryam sADayeyam deham vA pAtayeyam iti samarpaRa mantreRa saha svIya jIvanAni svADInatA saNGarzArTam arpayantaH Asan
sp025-000282_002	deSasya lakza lakzADikAH yuvAnaH nijADyayana kramam tyaktvA pustakAni vihAya ca svatantratAyAH dunduBi svareRa preritAH santaH prayARa niratAH saYjAtAH
sp025-000283_002	agasta mAse navame dine BAratam tyajeti Andolanasya kfte mahAtmanA gAnDinA AhUtam paraYca sarveऽpi varizWAH netAraH ANgla sarvakAreRa DftvA kArAsu nigaqitAH
sp025-000284_002	idam tat kAlaKaRqamAsIt yadA qAkwar lohiyA jayaprakASa nArAyaRa sadfSEH dvitIya vanSIyEH mahApuruzEH agrimA BUmikA nirvyUQA
sp025-000285_002	vigata SatAbde vinSatitame varze asahayogAndolanam vigate SatAbde dvicatvArinSattame varze ca BAratam tyajeti Andolanam atra mahAtma gAnDinaH pfTak pfTak rUpa dvayam dfggocarIBavati
sp025-000286_002	api ca dvicatvArinSattame varze sTitiH tAvatI tIvratarA aBavat yan mahAtmagAnDi sadfSEH mahApuruzEH kAryam sADayatu vA prARAn tyajatu iti mantraH pradattaH
sp025-000287_002	jana samarTanam jana sAmarTyam jana saNkalpaH jana saNGarzaH cAsan asyAH samagrAyAH saPalatAyAH pfzWaBUmO
sp025-000288_002	kftsnoऽpi deSaH ekIBUya saNGarza nirataH avartata
sp025-000289_002	kadAcidaham cintayAmi yad itihAsasya pfzWAni kiYcit sametya yadi vayam avalokayAmaScet idam suniScitam yat BAratasya prapraTamaH svatantratA saNgrAmaH azwAdaSe SatAbde saptapancASattame varze ArabDaH
sp025-000290_002	asmAt saMvatsarAt ArabDaH svatantratA saNgrAmaH vigate SatAbde dvicatvArinSattama varza paryantam pratyekamapi kzaRe deSasya yasmin kasminnapi koRe sutarAm prAvartata
sp025-000291_002	amunA dIrGa kAla KaRqena deSavAsinAm hfdayezu svADInatAyAH tIvratarA lAlasA janitA
sp025-000292_002	pratyekamapi kiYcidapi kartum tatparaH pratibadDaSSca AsIt
sp025-000293_002	kAlakrameRa vanSAH vyatItAH param saNkalpeऽsmin kimapi nEyUnyam nEva jAtam
sp025-000294_002	janAH samavetAH Bavanti sma saMyuktAH aBUvan prayAtAH santaH avartanta nUtanAH janAH AgatAH navInAH samavetAH taTA ca ANgla praSAsanam unmUlayitum deSaH pratipalam prayatate sma
sp025-000295_002	azwAdaSe SatAbde sapta pancASattama varzataH vigata SatAbde dvicatvArinSattama varza paryantam saYjAta saNGarzeRa AndolanAya tAdfSI sTitiH nirmitA yat dvicatvArinSattama varzam atra carama sImatvena sidDam
sp025-000296_002	taTA ca BAratam tyajeti tAdfSa dunduBi raveRa paYca varzAByantare eva arTAt vigata SatAbde sapta catvArinSattama varze ANglAH BAratam tyaktum vivaSIBUtAH
sp025-000297_002	vigate SatAbde dvicatvArinSattama varzataH sapta catvArinSattama varzam yAvat paYca varzAvaDO tAdfSam jana mAnasam sajjIBUtam yat saNkalpataH sidDi paryantam paYca nirRAyaka saMvatsaratvena avaDirayam saPalatA purassaram deSasya svAtantrya pradAyi kAraRarUpeRa pariRataH
sp025-000298_002	etAni paYca nirRAyaka varzARi Avartanta
sp025-000299_002	sAmpratamaham amunA gaRitena sAkam BavataH saMyojayitum samIhe
sp025-000300_002	vigate SatAbde saptacatvArinSattame varze vayam svatantrAH aBavAma
sp025-000301_002	aDunA vinSaSatAbdasya sapta daSam varzam pravartate
sp025-000302_002	prAyeRa saptatiH varzARi vyatItAni
sp025-000303_002	nAnA praSAsanAni AgatAni gatAni ca
sp025-000304_002	vyavasTAH prakalpitAH parivartitAH pravarDitAH agresAritAH ca
sp025-000305_002	deSam samasyA muktam viDAtum pratyekamapi sva sva rItyA prAyatata
sp025-000306_002	deSe vfttitAm varDayitum nirDanatAm dUrIkartum vikAsam vitAnayitum ca prayatnAH aBUvan
sp025-000307_002	sva sva rItyA pariSramaH vihitaH
sp025-000308_002	saPalatA avAptA apekzA ca jAgaritA
sp025-000309_002	yaTA vigate SatAbde dvicatvArinSattama varzataH sapta catvArinSattama varzam yAvat saNkalpataH sidDeH nirRAyakatvena paYcavarzARi Asan taTEva aham pariSIlayAmi yat saptadaSataH AgAmi dvAviMSatitama varzam hi saNkalpataH sidDeH yAvat aparaH paYca varzAtmakaH kAla KaRqaH asmAkam sammuKam samupasTitoऽsti
sp025-000310_002	EzamaH agastamAsIyaH paYcadaSa divasam vayam saNkalpa parva tvena AyojayAmaH
sp025-000311_002	taTA ca AgAmi dvAviMSatitama varze yadA svatantratA prApteH paYca saptati varzARi BavitAraH tadA vayam nUnam tam saNkalpam sidDitvena eva parivartitAraH
sp025-000312_002	sapAda Sata kowi mitAH deSavAsinaH agasta mAsIyam navamam krAnti dinam smftvA EzamaH agastamAsIye paYcadaSa dine saNkalpayanti yat vyaktiSaH vA nAgarikarUpeRa aham deSahitArTam etAvattu nUnam karizyAmi
sp025-000313_002	kuwumbarUpeRa vA samAjarUpeRa idam AcarizyAmi
sp025-000314_002	grAma rUpeRa vA nagara rUpeRa etat viDAsyAmi SAsakIya viBAga rUpeRa etat karizyAmi
sp025-000315_002	praSAsana rUpeRa idam vA anuzWAsyAmi
sp025-000316_002	kowi kowi mitAH saNkalpAH BaveyuH
sp025-000317_002	etezAm saNkalpAnAm paripUrRatAyE prayatnAH syuH
sp025-000318_002	evam jAte sati vigate SatAbde dvicatvArinSattama varzataH sapta catvArinSattama varzam yAvat deSasya svADInatAyE saNkalpataH sidDeH nirRAyakatvena paYcavarzARi Asan
sp025-000319_002	taTEva etat saptadaSataH dvAviMSati tama varza paryantam paYcavarzARi BAratasya Bavizyatkfteऽpi nirRAyakatvena Bavitum Saknuvanti taTA ca asmABiH nUnamidam karaRIyam
sp025-000320_002	paYca varzARAm anantaram yadA vayam deSasya svatantratAyAH paYca saptati varza pUrtim AyojayizyAmaH
sp025-000321_002	ataH asmABiH sarvEH dfQatayA adya saNkalpanIyam etat saptadaSa mitam varzam asmAkam saNkalpa varzatvena karaRIyam
sp025-000322_002	asvacCate BAratam tyaja nirDanate BAratam tyaja jAtivAda BAratam tyaja sampradAyavAda BAratam tyaja etat saNkalpam nUnam sADayizyAmaH
sp025-000323_002	adya AvaSyakamasti yannUtana BAratasya saNkalpena saha saMyojanam syAt
sp025-000324_002	AgacCantu EzamaH agasta mAsIye navama dinANke saNkalpataH sidDi paryantam ekam mahABiyAnam pravartayema
sp025-000325_002	pratyekamapi BAratavAsI sAmAjika saMsTAH sTAnIyAH nikAyAH tezAm cEkAnSAH vidyAlayAH mahAvidyAlayAH viBinnAni saNGawanAni ca aBinava BAratasya kfte pratyekamapi kiYcit kiYcit saNkalpam vidaDyuH
sp025-000326_002	tAdfSaH saNkalpaH yam vayam AgAmizu paYca varzezu pUrRatAm nezyAmaH sidDaYca karizyAmaH
sp025-000327_002	yuva saNGawanAni CAtra saNGawanAni svayaMsevisaNGawanAni cetyAdayaH sAmUhika carcAm Ayojayitum Saknuvanti
sp025-000328_002	nava navInAn vicArAn prastotum arhanti
sp025-000329_002	eka rAzwratvena asmABiH kim prAptavyam
sp025-000330_002	vyakti rUpeRa tadarTam mayA kinnAma yogadAnam kartum Sakyate
sp025-000331_002	AgacCantu asmin saNkalpaparvaRi vayam samavetAH Bavema
sp025-000332_002	viSezeRa mama yuva sahayoginaH mama yuvamitrARi cAmantrayAmi yat te nUtana BAratasya nirmARArTam nava navonmeza rItyA sahayoktum yogadAnaYca viDAtum agre AyAntu
sp025-000333_002	aBiyAnamidam janAndolanatvena pravartitam syAt
sp025-000334_002	praSna sparDA ezA yuvajanAn deSasya gOrava pUrRena itihAsena sAkam saMyojayitum svatantratA saNgrAmasya nAyakAnAm vizaye ca tAn avagatAn viDAtum prayAsarUpA asti
sp025-000335_002	Aminomi yat BavantaH avaSyameva etad vizaye vyApakam pracAram prasAraYca kuryuH
sp025-000336_002	mama priyAH deSavAsinaH agasta mAsIye paYcadaSa dinANke rAzwrasya pramuKa sevakatvena aham raktadurgasya prAcIreByaH aSeza deSena samBAzitum avasaram prApnomi
sp025-000337_002	ahantu nimitta mAtramevAsmi
sp025-000338_002	tatra saH ekaH kaScana janaH nEva aBiBAzate
sp025-000339_002	tataH sapAda Sata kowi deSa vAsinAm ninAdAnuguYjanam Bavati
sp025-000340_002	tezAm svapnAni Sabda badDAni kartum prayatyate
sp025-000341_002	nUnamaham prasIdAmi yat vigata varza trayAt anAratam agastamAsIya paYcadaSa dinasya vyAjena deSasya viviDa koReByaH parAmarSAn aDigacCAmi
sp025-000342_002	yadetasmin dine kim kim vaktavyamiti
sp025-000343_002	ke ke vizayAH uttTApanIyAH iti
sp025-000344_002	sampratyapi parAmarSa pradAnArTam aham BavataH AmantrayAmi
sp025-000345_002	svayamaham tAn vicArAn paWAmi api ca paYcadaSa dine yAvAn kAlaH mama pArSve asti tasminnavaDO tAn prakawayitum prayatitAsmi
sp025-000346_002	vigatasya aBiBAzaRa trayasya vizaye paridevanam etat satatam avAptam yanmamABiBAzaRam kiYcit dIrGam BavatIti
sp025-000347_002	etasmin krame mayA vicAritam yat laGu eva aBiBAzizye
sp025-000348_002	catvArinSattaH paYcASat miniw paryantam pUrRatAm nayAmi
sp025-000349_002	na jAne kartum pArayizyAmi vA na vA param prayatnam nUnam karizyAmi
sp025-000350_002	mama deSavAsinaH ekam aparam vizayamapi prastotum vAYCAmi
sp025-000351_002	BAratI arTa vyavasTAyAm sAmAjikam arTaSAstram sannihitam vartate
sp025-000352_002	nEtacca manAgapi avahelanIyam
sp025-000353_002	asmadIyAH utsavAH na kevalam Amoda pramodArTam parigaRanIyAH
sp025-000354_002	asmAkam parvARi asmadIyAH utsavAH ca sAmAjika parizkArasya aBiyAna rUpAH santi
sp025-000355_002	taTA ca yugapadeva asmdIyAH ete utsavAH nirDanatamasya ArTika jIvanena sAkzAt sampfktAH vartante
sp025-000356_002	katipaya dinAnAm anantaram rakzAbanDanam janmAzwamI tataH param gaReSotsavaH tataH param cOT candraH ananta caturdaSI durgApUjA dIpAvalIti ekasmAd anupadam aparaH utsavaH samApatsyate
sp025-000357_002	ayamevAvasaraH yadA nirDanaH ArTikopArjanam kartum avasaram laBate
sp025-000358_002	taTA ca etEH utsavEH sAkam sahajaH AnandaH api saMyujyate
sp025-000359_002	utsavAH sambanDezu mADuryam kuwumbe sneham samAje ca banDutvam hi vivarDayanti
sp025-000360_002	ete samAjena sAkam vyaktim saMyojayanti
sp025-000361_002	vyaktitaH samazwi paryantam ekA svABAvikI yAtrA pracalati
sp025-000362_002	aham taH vayam ityevam prati gamanasya mahAn avasaraH laByate
sp025-000363_002	arTavyavasTA vizaye tu etad vicArayitum Sakyate yat rakzAbanDana parvaRaH AgamanAt prAk nEka mAseByaH SataSaH kuwumbAni laGu laGu gfhodyogezu rakzA sUtrARi vinirmAtum AraBante
sp025-000364_002	KAdI kOSeya sUtrEH na jAne kativiDAni rakzAsUtrARi vinirmIyante
sp025-000365_002	rakzAsUtrARAm nirmAtAraH vikretAraH ca mizwAnna vikretAraH praBftInAm lakzaSo janAnAm vyavasAyaH utsavEH saMyukto Bavati
sp025-000366_002	asmAkam nirDanAnAm BrAtf BaginInAm kuwumbAni evam rItyA jIvikAm pracAlayanti
sp025-000367_002	dIpAvalyAH avasare vayam dIpAn prajvAlayAmaH
sp025-000368_002	tadeva prakASaparva iti nEva asya parvaRaH sAkzAt sambanDaH laGu laGUnAm mfttikA dIpAnAm nirmAtfBiH nirDana kuwumbEH sAkamapi vartate
sp025-000369_002	evam utsava sandarBe aham paryAvaraRa vizayeऽpi kimapi vaktum samIhe
sp025-000370_002	kadAcidaham cintayAmi yat mamApekzayA deSavAsinaH samaDikAH jAgarukAH santi
sp025-000371_002	vigata mAsAt anAratam paryAvaraRa jAgarukEH nAgarikEH mAm prati anekAni patrARi prezitAni
sp025-000372_002	sarva praTamam etezAm jAgaruka nAgarikARAm kfte kArtajYyamAvahAmi
sp025-000373_002	sAmpratike kAle gaReSotsavasya viSizwam mahatvam vartate
sp025-000374_002	lokamAnya tilaka varyeRa mahatI ezA paramparA pravartitA
sp025-000375_002	saMvatsaroऽyam sArvajanikasya gaReSotsavasya sapAda Sata varzam vartate
sp025-000376_002	sapAda Satam varzARi sapAda Sata kowimitAH deSavAsinaH
sp025-000377_002	lokamAnya tilaka varyeRa yAm mUla BAvanAmADftya samAjasya ekatAyE jAgarukatAyE ca sAmUhikatAyAH saMskArArTam ca sArvajanikasya gaReSotsavasya SuBAramBaH vihitaH AsIt tadADftya vayam punarekavAram gaReSotsavIye varzeऽsmin nibanDa sparDAH Ayojayema
sp025-000378_002	carcA saBAH karAvAma lokamAnya tilaka varyasya yogadAnaYca smarAma
sp025-000379_002	tAm BAvanAm punaH prabalAm viDAya vayam paryAvaraRAnukUlAnAm mfttikA nirmitAnAm gaReSa pratimAnAm svIkaraRam karavAma
sp025-000380_002	viSvasimi yadBavantaH sarveऽpi mayA sArDam saMyojitAH Bavizyanti
sp025-000381_002	asmadIyAH ye nirDanAH SilpinaH mUrti nirmAtAraH santi te AjIvikAm prApsyanti
sp025-000382_002	AgacCantu vayam sarve asmadIyAn samutsavAn nirDanEH sAkam saMyojayema
sp025-000383_002	nirDanasya arTavyavasTayA saMyojayema
sp025-000384_002	asmadIya samutsavasya AnandaH nirDanasya gfhasya ArTikotsavaH Bavet ArTikAnandaH samBavet
sp025-000385_002	ayameva asmAkInaH sArvajanInaH prayAsaH syAt
sp025-000386_002	BAvinAm nAnAsamutsavAnAm kfte aham sarveByaH deSavAsiByaH BUri BUri maNgalakAmanAH vitarAmi
sp025-000387_002	mama priyAH deSavAsinaH vayam satatam anuBavAmaH yadBavatu nAma SikzAkzetram vA ArTika kzetram syAd vA sAmAjikam vA krIqA kzetram asmadIyAH bAlikAH rAzwrasya yaSovarDanam kurvantyaH aBinavAH upalabDIH aDigacCanti
sp025-000388_002	vayam sarve deSavAsinaH asmadIyAnAm AsAm bAlikAnAm kfte atitarAm gOravam anuBavAmaH
sp025-000389_002	nAticiram asmAkam etAH bAlikAH mahilA krikew viSva cazak sparDAyAm utkfzwam pradarSanam vihitavatyaH
sp025-000390_002	asminneva saptAhe etABiH krIqikABiH sArDam sammelanasya avasaram labDavAn
sp025-000391_002	tABiH sAkam samBAzaRam kftvA sOKyam anuBUtam
sp025-000392_002	aham cintayanAsam yadviSva cazak sparDA nEva vijitA iti kftvA tAH ApIqam anuBavanti iti pratIyate sma
sp025-000393_002	mayA uktam yadetad vizaye mama pfTak mUlyANkanam vartate
sp025-000394_002	adyatve saYcAra mADyamAni balavattarARi santi
sp025-000395_002	etEH apekzAH vivarDyante tAH pUrRAH nEva Bavanti cet AkroSaH eDate eva
sp025-000396_002	BAratIyAH krIqakAH yadi viPalAH Bavanti cet deSasya kroDaH tezu eva prakawIkriyate
sp025-000397_002	paraYca praTamavArameva etat saYjAtam yat asmadIyAH etAH bAlikAH viSva cazaka sparDAyAm asaPalAH jAtAH tadApi sapAda kowi deSavAsinaH tam parAjayam Atmani svIkftavantaH
sp025-000398_002	kiYcidapi parAjaya pIqAm tAH nAnuBaveyuH iti viSezeRa sarvEH avaDattam
sp025-000399_002	etAvadeva nEva etABiH yatkimapi kftam tatsarvam subahu praSaMsitam
sp025-000400_002	idam hi suKadam parivartanam iti pariBAvayAmi
sp025-000401_002	mayA tAH bAlikAH uktAH yadetAdfSam sOBAgyam kevalam yuzmABireva avAptam
sp025-000402_002	satyameva asmadIyA ezA yuva santatiH assmadIyAH etAH bAlikAH deSasya yaSovarDanArTam subahu prayatante
sp025-000403_002	punarekavAram aham deSasya yuva janeByaH viSezeRa ca asmadIyAByaH bAlikAByaH ca hfdayena BUri BUri varDApanAni vyAharAmi
sp025-000404_002	maNgala kAmanAH ca vitarAmi
sp025-000405_002	mama priyAH deSavAsinaH punarekavAram smArayAmi agast krAntim
sp025-000406_002	punarekavAram smArayAmi agastamAsIyam navama dinANkam punarekavAram smArayAmi agasta mAsIyam paYcadaSa dinam punarekavAram ca smArayAmi AgAmi dvAviSantitamam varzam svatantratA prApteH paYca saptati varzARi
sp025-000407_002	pratyekamapi deSavAsI saNkalpam sidDIkartum paYcavarzAtmikAm yojanAm viracayet
sp025-000408_002	vayam sarveऽpi samBUya deSam nUtanopalabDi samanvitam karavAma
sp025-000409_002	satataYca agresarema rAzwram ucCritatame SiKare sannayema
sp025-000410_002	AgacCantu vayam saNgacCema
sp025-000411_002	kiYcit kiYcidapi kAryAnvayanam anutizWema
sp025-000412_002	deSasya BAgyam Bavizyat ca uttamottamam nUnam Bavizyati
sp025-000413_002	amunA viSvAsena sAkameva agresarema
sp025-000414_002	BUriSo maNgala kAmanAH
sp025-000415_002	DanyavAdaH
sp025-000416_003	ekataH deSaH utsavezu vyApftaH asti aparataSca hindusTAnasya kasmAdapi koRAt yadA hiMsA vArtA AyAti tadA deSasya cintA svABAvikI eva
sp025-000417_003	asmadIyaH deSaH ayam budDa gAnDinoH deSaH vartate
sp025-000418_003	asmadIyezu antarmanassu etat samBftam vartate
sp025-000419_003	ahiMsA paramo DarmaH sUtramidam vayam bAlyakAlAdeva SfRvantaH kaTayantaSca smaH
sp025-000420_003	Bavatu nAma sA sAmpradAyikI AsTA vA rAjanItika vicAraDArAm pratyAsTA vA Bavatu nAma vyakti viSezam pratyAsTA utAho syAd vA paramparAH pratyAsTA
sp025-000421_003	AsTA vyAjena na kaScana viDim svayattIkartum aDikftaH asti
sp025-000422_003	qa kwar bAbA sAheb ambeqakaraH asmaByam saMviDAnam prAdAt etasmin sarvoऽpi janaH nyAyam prApnuyAditi sarvaprakAreRa vyavasTApitamasti
sp025-000423_003	aham deSavAsinaH viSvAsayitum vAYCAmi yat viDim svAyatIkartum prayatamAnaH vA hiMsA mArga nirataH damanaSIlaH na kaScana api Bavatu nAma vyaktiviSezaH vA samUhaH nAyam deSaH tam sahizyate na ca kaScana sarvakAraH
sp025-000424_003	pratyekamapi viDeH samakzam natamastakaH syAt
sp025-000425_003	taTA ca doziRo nUnam daRqayizyante
sp025-000426_003	mama priyAH deSavAsinaH asmAkam deSaH viviDatABiH samBaritaH asti etAH viviDatAH pAnASanayoH vAsAvAsayoH pariDAnAdizu eva sImitAH nEva vartante
sp025-000427_003	jIvanasya pratyekamapi vyavahAre vEviDyamidam drazwum Sakyate
sp025-000428_003	etAvadeva nEva asmadIyAH utsavAH api vEviDya pUrRAH vartante
sp025-000429_003	sahasreByaH api varzeByaH prAcInamasmadIyam sAMskftikam rikTam ataH paSyantu nAma etAH sAMskftika paramparAH vA sAmAjika paramparAH avalokayantu vA EtihAsika GawanAH
sp025-000430_003	Avarzam syAd kaScana eva divasaH avaSizwaH yo hi asmadIyena utsavena sampfkto nAsti
sp025-000431_003	BavantaH etadapi jAnanti eva yadasmadIyAH sarveऽpi utsavAH sarvARi api parvARi prakfteH samaya patrakam anusaranti
sp025-000432_003	prakftyA sAkzAt sambadDAni santi
sp025-000433_003	etezu aDisaNKyantu sAkzAt kfzakEH SramikEH matsyajIviBiH ca sampfktAni santi
sp025-000434_003	adyAham yadA utsava vizaye manogatam prakawayAmi tadA sarva praTamam BavataH sarvAn micCAmi dukkaqam vaktumicCAmi
sp025-000435_003	jEna samAje SvaH samvatsarIyam parva Ayojayizyate
sp025-000436_003	jEna samAjaH BAdra mAse paryuzaRa parva Aminoti
sp025-000437_003	paryuzaRa parvaRaH antime dine saMvatsarIyaH divaso Bavati
sp025-000438_003	ezA nAma adButA svayamBUH paramparA
sp025-000439_003	saMvatsarIyam parva kzamAyAH ahiMsAyAH mitratAyAH ca pratIka rUpam
sp025-000440_003	kzamA vARI parveti aparanAmnA api etat nigadyate
sp025-000441_003	asmin dine janAH parasparam micCAmi dukkaqam iti vadanti ityezAsti asmadIyA paramparA
sp025-000442_003	asmadIyezu SAstrezu tu uktameva kzamA vIrasya BUzaRam
sp025-000443_003	kzamASIlaH vIro Bavati
sp025-000444_003	mama priyAH deSavAsinaH sAmpratam hindusTAnasya pratyekamapi koRe gaReSa caturTI samutsavasya pragAQotsAhaH darIdfSyate
sp025-000445_003	yadA ca gaReSa caturTI sandarByate tadA sArvajanikasya gaReSotsavasya carcA svABAvikI
sp025-000446_003	daSa divasAtmakam gaReSa caturTI mahAparva ekatAyAH samatAyAH SucitAyAH ca pratIkam iti nigadyate
sp025-000447_003	sarveByoऽpi deSavAsiByaH gaReSotsavasya BUriSaH maNgala kAmanAH
sp025-000448_003	samprati keraLa rAjye oRam utsavaH AmAnyate
sp025-000449_003	BAratasya bahuviDezu vArRikezu pramuKezu utsavezu oRam hi keraLasya anyatamaH samutsavaH
sp025-000450_003	parvedam svasya sAmAjikasya sAMskftikasya ca mahatvasya kfte suKyAtam
sp025-000451_003	etacca samAje prema sOhArdayoH sandeSa pradAnena saha janAnAm manassu navInam utsAham nUtanAm ASAm aBinavaYca viSvAsam jAgarayati
sp025-000452_003	api ca adyatve tu asmadIyAH ime utsavAH paryawakARAm api AkarzaRa kAraRAni jAyante
sp025-000453_003	asyAm diSi vayam kim kim kartum praBavAmaH iti nUnam cintanIyam
sp025-000454_003	utsavAH nAma asmAkam kfte AsTA viSvAsayoH pratIkatvena tu vartanta eva nUtane BArate asmABiH ete utsavAH svacCatAyAH pratIka rUpAH api karaRIyAH santi
