sp019-000001_lahari_2	BAvanA kIdfSI tasya
sp019-000071_lahari_2	sA svakAryaniratA aBavat
sp019-000072_lahari_2	tasyAH manaH kopodvegAByAm taraNgitamAsIt
sp019-000073_lahari_2	kim kartavyam atratyam udyogam tyaktvA anyatra kvApi gamizyAmi kim
sp019-000074_lahari_2	kaTam iyam cittahiMsA soQavyA
sp019-000075_lahari_2	pitarO etadvizaye vadizyAmi kim iti
sp019-000076_lahari_2	bahuDA vyAkulA kamalA kaTaYcit taddivasasya kAryam pUrayitvA gfhamagacCat
sp019-000077_lahari_2	punarekadA gopAlakfzRaH sevakam samprezya kamalAm svakAryasTAnam Ahvayat
sp019-000078_lahari_2	kamalAyAH manasi kroDaH utpannaH
sp019-000079_lahari_2	yadi adya saH kimapi anucitam BAzeta tahi cAmuRqeSvarI BavizyAmi
sp019-000080_lahari_2	ayam udyogo gacCatu tizWatu vA
sp019-000081_lahari_2	avismaraRIyam pAWam boDayizyAmIti niScitya sA agacCat
sp019-000082_lahari_2	prakozWe pravizwAyAm tasyAm dvAram svayam pihitamaBavat
sp019-000083_lahari_2	kamalAyAH hfdayam satatam vepate sma
sp019-000084_lahari_2	AgacCa upaviSa iti gopAlakfzRaH abravIt
sp019-000085_lahari_2	kamalA tatsammuKe upAviSat
sp019-000086_lahari_2	kamale AtmIyam kimapi vaktumicCAmi
sp019-000087_lahari_2	tava rItinItyAdikam sarvam bahurocate
sp019-000088_lahari_2	SfRu maduktiH tvayA aNgIkartavyA iti nirbanDo nAsti
sp019-000089_lahari_2	tava icCA eva atra pramuKA
sp019-000090_lahari_2	iti gopAlakfzRaH vAcam AraBata
sp019-000091_lahari_2	saH kim vadizyatIti kAtarA kamalA sAtaNkam Srotum sidDA aBavat
sp019-000092_lahari_2	kamale mama BrAtA kanIyAn amerikAdeSe vasati
sp019-000093_lahari_2	saha tatra unnate udyoge vartate
sp019-000094_lahari_2	tasya vivAhaH kartavyaH iti asmat aBiprAyaH vartate
sp019-000095_lahari_2	tadanurUpAn kanyAm anvizyan asmi
sp019-000096_lahari_2	tvAm yadApraBfti apaSyam tadApraBfti vayasA rUpeRa saMskAreRa SIlena guRena ca tvam tasya anurUpA iti mama BAti
sp019-000097_lahari_2	mama BrAtA AgAminiBAnuvAsare Agamizyati
sp019-000098_lahari_2	yadi tvam anumanyase tarhi tava pitroH saviDe madASAm nivedya kanyAvalokanAdikam saMviDAtumicCAmi
sp019-000099_lahari_2	tvam nUnam kanyAratnam
sp019-000100_lahari_2	mama BrAtA kAYcanAyate
sp019-000101_lahari_2	ratnam samAgacCatu kAYcanena iti vAYCAmi
sp019-000102_lahari_2	tvadicCAm prakawaya
sp019-000103_lahari_2	aham aDikArI iti etadvismara
sp019-000104_lahari_2	tava BrAtaram mAm matvA nissaNkocam tavABiprAyam prakawaya iti
sp019-000105_lahari_2	kamalAyAH nayane aSrupUrRe aBavatAm
sp019-000106_lahari_2	devasadfSe asmin AsuratvakalpanA mayA kftA
sp019-000107_lahari_2	aho aparAdDam mayA iti cintayantI sA utTAya gopAlakfzRasya pAdayoH patitA
sp019-000108_lahari_2	mama pitaram BavatsakASam prezayizyAmi
sp019-000109_lahari_2	BavAn tena saha BAzitvA nirRayam svIkarotu anugfhItAsmi iti uktvA sA tataH niragacCat
sp019-000110_lahari_3	SikAgonagare kftavasateH rAmacandrasya jIvanam suKamayam AsIt
sp019-000111_lahari_3	viSAlam sundaram gfham samfdDam vetanam yaTecCam prayAtum yAnadvayam
sp019-000112_lahari_3	kOSalena kuwumbam nirvahantI patnI sItA
sp019-000113_lahari_3	budDimAn yuvA putraH rUpavatI putrI mAlinI
sp019-000114_lahari_3	janmaBUmeH dUre deSAntare vAsaH iti kadAcit tasya manaH Kidyate sma
sp019-000115_lahari_3	taTApi avakASam labDvA sakuwumbaH saH BAratavarzam AgacCati sma
sp019-000116_lahari_3	atratyam janajIvanam tadA tadA anuBUya tfpyati sma ca
sp019-000117_lahari_3	DanapraDAnAt amerikAjIvanAt aDyAtmapraDAnam BAratajIvanam SreyaH iti tasya dfQaH aBiprAyaH AsIt
sp019-000118_lahari_3	etadvizaye patnyAH sItAyAH aBiprAyaBedaH AsIt
sp019-000119_lahari_3	kintu sA patyA saha vivAdam kadApi na kftavatI
sp019-000120_lahari_3	yadA mAlinI yuvatiH jAtA tadA pitroH tasyAH vizaye cintA samutpannA
sp019-000121_lahari_3	amerikAdeSe yuvatayaH puruzEH niHsaNkocam milanti
sp019-000122_lahari_3	paricayam varDayanti
sp019-000123_lahari_3	SataSaH kanyAH vivAhAt pUrvameva yUnAm samparkam kurvanti
sp019-000124_lahari_3	kAScana garBiRyaH api Bavanti
sp019-000125_lahari_3	vivAham vinEva prasuvate
sp019-000126_lahari_3	etat sarvam rAmacandrasya asahanIyam BAti sma
sp019-000127_lahari_3	mAlinyAH saKInAm yAdfSam svAtantryam AsIt tAdfSam tayA na labDam
sp019-000128_lahari_3	KinnA api mAlinI pitari gOravam darSayantI AtmAnam niyantrayati sma
sp019-000129_lahari_3	amerikAdeSe sTitA api sA BAratakanyA iva avarData
sp019-000130_lahari_3	vezaBUzaRAdizu api sA saMyamam rakzati sma
sp019-000131_lahari_3	mAtuH mArgam anusarantI gfhe devapUjAdikamapi karoti sma
sp019-000132_lahari_3	etena kAraRena vayasyAnAm maDye sA kadAcit apahAsasya parihAsasya vA pAtram Bavati sma
sp019-000133_lahari_3	taTApi pituH nideSam sA sadA apAlayat
sp019-000134_lahari_3	putryAH vivAhasya kAlaH upasTitaH iti rAmacandraH tadvizaye cintayitum AraBata
sp019-000135_lahari_3	svadeSam gatvA tatratyaH kaScana anurUpaH varaH anvezaRIyaH
sp019-000136_lahari_3	tasmE amerikAdeSe praveSAvakASaH kalpanIyaH
sp019-000137_lahari_3	ucitaH udyogaSca dApanIyaH
sp019-000138_lahari_3	evam putrI suKinI Bavizyati
sp019-000139_lahari_3	etadarTam Danam praBUtamapi vyayitam Bavatu iti rAmacandrasya vicAraH AsIt
sp019-000140_lahari_3	sItA tu avadat etAvAn SramaH kutaH
sp019-000141_lahari_3	atra eva yogyam varam yadi laBAmahe tarhi vivAham kurmaH
sp019-000142_lahari_3	asmin samAje eDitA kanyA BAratIyeByo na rocate
sp019-000143_lahari_3	tasyAm te sadA dozameva Avizkurvanti iti
sp019-000144_lahari_3	atratyAH yuvAnaH prAyaSaH cAritrahInAH
sp019-000145_lahari_3	te vivAhasya pavitratAm na jAnanti
sp019-000146_lahari_3	adya vivAhaH SvaH vicCedanam
sp019-000147_lahari_3	dvistriH kftavivAhAH eva BUyAMsaH atra
sp019-000148_lahari_3	aham tu asmin vizaye BAratIyAm padDatimeva samarTaye
sp019-000149_lahari_3	ataH tatra gatvA asmatpadDatyA varam anviSya vivAham kArayizyAmi
sp019-000150_lahari_3	mama putrI taTA eva suKam avApsyati iti rAmacandraH dfQena svareRa avadat
sp019-000151_lahari_3	patyuH vacanam AdryamARA sItA aByupagatavatI
sp019-000152_lahari_3	mAlinI ca kaTaYcit aNgIkAram dattavatI
sp019-000153_lahari_3	rAmacandraH sakuwumbaH avakASam prApya BArata varzamAgataH
sp019-000154_lahari_3	tasya janmasTale kalyARanagare paricitAH bahavaH Asan
sp019-000155_lahari_3	tezAm samparkam sADayitvA varAnvezaRAya AgataH asmi iti svoddeSam kaTitavAn rAmacandraH
sp019-000156_lahari_3	vidyAvAn rUpavAn taruRaH saccaritraH apekzitaH iti tasya vacanam anusarantaH suhfdaH svaparicitAn taruRAn asUcayan
sp019-000157_lahari_3	rAmacandraH svayam tAn dfzwvA parIkzAmapi kftavAn
sp019-000158_lahari_3	prAyeRa sAmagryaviDO guRAnAm parANmuKI viSvasfjaH pravfttiH iti mahAkavinA uktameva
sp019-000159_lahari_3	sarve guRAH ekatra kaTam laByeran
sp019-000160_lahari_3	taTApi prayatnaH na parityaktaH
sp019-000161_lahari_3	antataH kaScana purohitaH kaYcana taruRam darSitavAn
sp019-000162_lahari_3	tasya nAma gOtamaH iti
sp019-000163_lahari_3	vidyAByAsam pUrayitvA samprati kalyARanagare aBiyantA asti
sp019-000164_lahari_3	paradeSam gatvA aDikam sADanIyamiti AkANkzA ca tasya vartate
sp019-000165_lahari_3	tasya pitarO samIpe grAme vasataH iti tadvizayaH sarvaH niveditaH purohitena
sp019-000166_lahari_3	gOtamam svanivAsam AnAyya rAmacandraH satkftavAn
sp019-000167_lahari_3	mAlinI ca tam dfzwvA tasya rUpeRa hftahfdayA aBavat
sp019-000168_lahari_3	rAmacandrasya pUrvAparam vicArya videSagamanAya sOlaByam kalpanIyam iti niyamam viDAya svANgIkAram dattavAn
sp019-000169_lahari_3	tasya pitarO ca sammatim prakawitavantO
sp019-000170_lahari_3	mAsAByantare mAlinyAH vivAhaH gOtamena saha sampannaH
sp019-000171_lahari_3	vEBavam pradarSayitum mahadDanam vyayitam rAmacandreRa
sp019-000172_lahari_3	bahusaNKyAH suhfdaH banDavaH paricitASca Agatya vaDUvarO ASIrBiH anugfhItavantaH
sp019-000173_lahari_3	gOtamasya pitarO nirIkzitAdapi aDikam sammAnam prApya hfzwO aBUtAm
sp019-000174_lahari_3	katicana dinAni kalyARanagare nItvA rAmacandraH sakuwumbaH SikAgonagaram prApat
sp019-000175_lahari_3	tataH jAmAtaram gOtamam tatra Anetum prayatnAn prAraBata
sp019-000176_lahari_3	unnatADyayanAya tatratye viSvavidyAnilaye praveSAnumatim sampAdya prezitavAn ca
sp019-000177_lahari_3	varzadvayam gOtamasya nirvahaRam karizyAmIti pratijYApatram api prezitavAn
sp019-000178_lahari_3	vimAnaprayARAya prapatramapi krItvA gOtamanAmnA prAhiRot
sp019-000179_lahari_3	gOtamaH nirdizwe dine amirikAdeSam prApnot
sp019-000180_lahari_3	SvaSuragfhe AtiTyam prApya tataH viSvavidyAnilayam prAviSat
sp019-000181_lahari_3	katipayEH eva divasEH tatra prADyApakAdInAm priyaH aBavat
sp019-000182_lahari_3	rAmacandrasya praBAveRa tatrEva prayogAlaye sahAyakapadavIm ca prAptavAn
sp019-000183_lahari_3	evam tena DanArjanamapi ArabDam
sp019-000184_lahari_3	mAlinI amerikAdeSe eva jAtA iti kAraRAt sA amerikAdeSasya prajA iti gaRyate
sp019-000185_lahari_3	tasyAH patiH iti kAraRAt gOtamena varzadvaye eva viSizwam haritapatram labDam
sp019-000186_lahari_3	tAvatA kAlena saH aDyayanamapi pUrayitvA padavIm taddeSIyAmapi prAptavAn
sp019-000187_lahari_3	tadbalena ca saH dfQam nUtanam udyogam prAptum bahutra aByartanApatrARi prezitavAn
sp019-000188_lahari_3	weksas rAjyasya Aswan nagare aDikavetanaH udyogaH tena labDaH
sp019-000189_lahari_3	rAmacandraH atIva santuzwaH aBavat
sp019-000190_lahari_3	jAmAtA putrI ca suKam vatsyataH iti tayoH prayARAya viviDAm sidDatAm kartum prAraBata
sp019-000191_lahari_3	kintu gOtamasya pravfttiH idAnIm sahasA viBinnA AsIt
sp019-000192_lahari_3	pUrvavad viSvAsena visramBena vA saH na vadati sma
sp019-000193_lahari_3	aham eka eva tatra gamizyAmi tataH patram prezayizyAmi iti gAmBIryeRa uktvA
sp019-000194_lahari_3	ekAkI prayARasannadDaH aBavat
sp019-000195_lahari_3	mAlinyA saH kimapi na aBAzata
sp019-000196_lahari_3	niHsnehena kawAkzeRa tAm vIkzya Aswan nagaram prati prasTitaH
sp019-000197_lahari_3	rAmacandraH acintayat
sp019-000198_lahari_3	dampatyoH alpaH kalahaH jAtaH
sp019-000199_lahari_3	ataH eva gOtamaH evam prasTitaH
sp019-000200_lahari_3	paYcaSezu dinezu tasya kopaH SAntaH Bavizyati
sp019-000201_lahari_3	tataH sa patnyA saH sasneham samBAzaRam karizyati
sp019-000202_lahari_3	tAn nezyati ca iti
sp019-000203_lahari_3	kintu paYcadaSadinAni gatAni
sp019-000204_lahari_3	gOtamaH ekadA api dUravAnyA samparkam na akarot
sp019-000205_lahari_3	tena samparkam sADayitum rAmacandreRa kftAH prayatnAH api viPalAH jAtAH
sp019-000206_lahari_3	mAlinI nitAntam KinnA aBavat
sp019-000207_lahari_3	tataH gOtamasya patramAgatam
sp019-000208_lahari_3	patramudGAwya mAlinI apaWat
sp019-000209_lahari_3	nazwasaYjYA sA kfttamUlA latA iva nyapatat
sp019-000210_lahari_3	SItopacArena tAm samASvAsya pitarO svayam patram apaWatAm
sp019-000211_lahari_3	tasya muKyAMSaH evamAsIt
sp019-000212_lahari_3	mAlinI mama tvayi kadApi prema na AsIt
sp019-000213_lahari_3	mama premapAtrIBUtA anyA kanyA
sp019-000214_lahari_3	kintu amerikAdeSam gatvA tatra sampatsamfdDiH prAptavyA iti mama sadA AkANkzA prabalA AsIt
sp019-000215_lahari_3	tatra tvam sADinIBUtA
sp019-000216_lahari_3	tvayA saH jAtaH vivAhaH kevalam upAyatayA avalambitaH mayA
sp019-000217_lahari_3	ata eva vyAjEH bahuBiH tava dehasamparkamapi aham nivAritavAn
sp019-000218_lahari_3	idAnIm mama ASA saPalA jAtA
sp019-000219_lahari_3	atra mama dfQaH udyogaH asti mAm vismara
sp019-000220_lahari_3	SvaH eva vivAhavicCedapatram prezayizyAmi
sp019-000221_lahari_3	kfpayA anumanyasva
sp019-000222_lahari_3	SAsanAnusAreRa yadDanam mayA tuByam deyam taddAsyAmi
sp019-000223_lahari_3	vivAhavicCedam SIGram prApya anyam kamapi svAnurUpam BartAram laBasva
sp019-000224_lahari_3	ahamapi BAratavarze vartamAnAn mama priyAm pariRIya suKI BavizyAmi
sp019-000225_lahari_3	mAm kzamasva iti
sp019-000226_lahari_3	patram paWitvA jYAtasatyaH rAmacandraH atIva kopanaH aBavat
sp019-000227_lahari_3	gOtamam hanizyAmi svArTI saH mama sutAyAH jIvitam nASitavAn
sp019-000228_lahari_3	nyAyAlaye vyavahAram kftvA tam deSAt asmAt nizkAsayizyAmi
sp019-000229_lahari_3	vaYcanAyAH Palam anuBavatu narApasadaH ityAdi saH prAlapat
sp019-000230_lahari_3	antataH mAlinI abravIt
sp019-000231_lahari_3	pitaH naSyatu tasya kaTA tam vismarizyAmi
sp019-000232_lahari_3	vivAham duHsvapnam matvA tam mAnasAd dUre kzipAmi
sp019-000233_lahari_3	tasya Bavizyam nASayitum na vAYCAmi
sp019-000234_lahari_3	vivAhavicCedanapatre mama hastANkam karizyAmi iti
sp019-000235_lahari_3	kimapi vaktum aSaktO mAtApitarO tasyAH muKam avalokayantO atizWatAm
sp019-000236_lahari_4	mama manoramA
sp019-000237_lahari_4	aham mahAvidyAlaye CAtraH Asam
sp019-000238_lahari_4	mama kakzyAyAm paYcASat aDikAH CAtrAH Asan
sp019-000239_lahari_4	tezu catvAriMSadbAlakAH upadaSAH kanyakAH
sp019-000240_lahari_4	tAsAm kanyakAnAm maDye kAcidrUpavatI
sp019-000241_lahari_4	nakzatrARAm vfnde candraleKA iva
sp019-000242_lahari_4	saKInAm nikare rAjakumArI iva sA SoBate sma
sp019-000243_lahari_4	praTamavAram tAm dfzwavataH eva mama hfdaye sA mahAntam praBAvamakarot
sp019-000244_lahari_4	ajAnan api tasyAH nAma aham tasyAH ArADakaH aBavam
sp019-000245_lahari_4	dvitrezu dinezu tasyAH nAma ramA iti mayA jYAtam
sp019-000246_lahari_4	ramAyAH rUpasya ArADakAH na kevalamaham
sp019-000247_lahari_4	api tu bahavaH Asan
sp019-000248_lahari_4	tasyAm kakzyApraveSam kurvatyAm sarvezAm netrARi tatrEva magnAni Bavanti sma
sp019-000249_lahari_4	aDyApakezu api kecit tAn sAdarameva paSyanti sma
sp019-000250_lahari_4	sarve mAm ArADayanti iti sA jAnAti sma
sp019-000251_lahari_4	sagarvam sABimAnam ca carati sma
sp019-000252_lahari_4	yadA sA kamapi kawAkzeRa apaSyat
sp019-000253_lahari_4	tadA tasya CAtrasya muKam ravikiraRaspfzwam padmam iva vikasati sma
sp019-000254_lahari_4	etatsarvam paSyataH api mama ArADakaBAve kApi nyUnatA na jAtA
sp019-000255_lahari_4	gatezu katipayezu dinezu mayA jYAtam
sp019-000256_lahari_4	sA kasyApi mahADanikasya duhitA iti
sp019-000257_lahari_4	mAdfSAH CAtrAH padByAm vidyAlayamagacCAma
sp019-000258_lahari_4	anye kecana dvicakrikayA AgacCanti
sp019-000259_lahari_4	yantrapreryARi vAhanAni tadA viralAni Asan
sp019-000260_lahari_4	kecana aDyApakAH eva tAdfSAnAm vAhanAnAm svAminaH Asan
sp019-000261_lahari_4	kintu ramA kAryAnena AyAti sma
sp019-000262_lahari_4	cAlakaH prAtaH daSavAdanavelAyAm tAm vidyAlayam prApayati sma
sp019-000263_lahari_4	vidyAlayasamAptivelAyAm punaH Agatya tAm gfham nayati sma
sp019-000264_lahari_4	etatsarvam jYAtvA mama manaH tAm pUjayitum AraBata
sp019-000265_lahari_4	kecana DArzwyavantaH CAtrAH tayA saha BAzitum prayatamAnAH Asan
sp019-000266_lahari_4	kadAcit tasyAH pustakam patitam
sp019-000267_lahari_4	tadutTApya tasyE dAtum paYcazAH yugapat DAvanti sma
sp019-000268_lahari_4	tasyAH sevAvasaraH BAgyena laByate iti sarvezAm BAvanA AsIt iti spazwamaBavat
sp019-000269_lahari_4	aham tu DEryahInaH dUrAdeva apaSyam
sp019-000270_lahari_4	gatAH catvAraH mAsAH
sp019-000271_lahari_4	varzamaDye parIkzAH aBavan
sp019-000272_lahari_4	tataH ANglADyApakaH kasmiMScid dine uttarapatrikAH kftamUlyANkanAH AnItavAn
sp019-000273_lahari_4	sarvezAmapi CAtrARAm hfdayAni kampitum AraBanta
sp019-000274_lahari_4	saH aDyApakaH aNkAnAm dAne atIva kfpaRaH dozAnvezI ca
sp019-000275_lahari_4	saH kim vadizyati kEH vacanEH asmAn nindizyatIti sarve kAtarAH Asan
sp019-000276_lahari_4	sa ekAm patrikAm hastena gfhItvA mama nAma tatra liKitam paWitvA etannAmakaH CAtraH uttizWatu iti gamBIram avadat
sp019-000277_lahari_4	mama tu tadA prAREH utkrAntamiva
sp019-000278_lahari_4	prakampamAnagAtraH svinnamuKaH aham kaTaYcit utTitavAn
sp019-000279_lahari_4	kakzyAyAH sarvezAm CAtrARAm nayanAni ca mayi lagnAni
sp019-000280_lahari_4	ramA ca prAyaH praTamavAram mAm apaSyat
sp019-000281_lahari_4	aDyApakaH avadat tvadIyAni uttarARi sarvARi samIcInAni
sp019-000282_lahari_4	BAzA ca nirdozA
sp019-000283_lahari_4	leKanam ca sPuwAkzaram
sp019-000284_lahari_4	mama sevAvaDO kadAcideva etAdfSI uttarapattrikA dfzwA
sp019-000285_lahari_4	itaHparam suzWutaram aByasyatAm
sp019-000286_lahari_4	yadi pAWavizaye koऽpi sandehaH kApi samasyA vA Bavet AgacCa mama samIpam
sp019-000287_lahari_4	EzamaH asmAkam vidyAlayasya nAma tvayA ujvalIkaraRIyam
sp019-000288_lahari_4	evamuktvA aDyApakaH uttarapatrikAm mahyam adadAt
sp019-000289_lahari_4	vismayapraharzAByAm aham mUkaH aBavam
sp019-000290_lahari_4	tataH aDyApakaH anyAnuddiSya abravIt
sp019-000291_lahari_4	anyaH koऽpi CAtraH SudDayA BAzayA uttarARi na liKitavAn
sp019-000292_lahari_4	vidyArTinInAmapi sTitiH na uttamA
sp019-000293_lahari_4	sarvEH itaHparam sAvaDAnam aByasanam kAryam
sp019-000294_lahari_4	anyaTA varzAntaparIkzAyAm PalitAMSaH tozadaH na Bavet
sp019-000295_lahari_4	itTamuktvA aDyApakaH sarveByaH uttarapatrikAH vitIrRavAn
sp019-000296_lahari_4	mayA azwASItiH aNkAH prAptAH Asan
sp019-000297_lahari_4	na koऽpi anyaH zazweH sImAmapi atikrAntavAn AsIt
sp019-000298_lahari_4	evam dinatraye anyezAmapi vizayARAm aDyApakAH uttarapatrikAH vitIrRavantaH
sp019-000299_lahari_4	gaRitam vinA anyatra ahameva kakzyAyAm praTamaH Asam
sp019-000300_lahari_4	tataH AraBya aDyApakAH mama vizaye AdaraviSezam darSayanti sma
sp019-000301_lahari_4	kakzAyAm CAtrAH sAsUyam mAm drazwum AraBanta
sp019-000302_lahari_4	kecittu kaTam aByAsaH kartavyaH
sp019-000303_lahari_4	ke granTAH avalokanIyAH iti mAm apfcCan
sp019-000304_lahari_4	pare dyuH mayi vidyAlayAt nivartamAne koऽpi maDuraH svaraH mama nAma sAdaram udacArayat
sp019-000305_lahari_4	aham paScAt apaSyam ramA sA mama nAma uccAritavatI
sp019-000306_lahari_4	iti jYAtvA svapnoऽnu mAyAnu matiBramoऽnu iti kavivAkyam mayA Srutam
sp019-000307_lahari_4	yAm drazwum sarve CAtrAH AkANkzanti
sp019-000308_lahari_4	yasyAH smitamAtram anugraham manyante
sp019-000309_lahari_4	sA ramA svayam mAm BAzitavatI
sp019-000310_lahari_4	aham mugDaH iva mUkaH iva tAm kevalam IkzamARaH atizWam
sp019-000311_lahari_4	sA avadat ANglaBAzAyAm atyaDikAn aNkAn prAptavantam Bavantam aBinandAmi
sp019-000312_lahari_4	mayA anyezu vizayezu paryaptAH aNkAH labDAH
sp019-000313_lahari_4	kintu BAzAvizaye ahamatIva durbalA
sp019-000314_lahari_4	BavAn yadi kfpayA mama kiYcit sAhAyyam karizyati tarhi parIkzAm uttarizyAmi
sp019-000315_lahari_4	mama Anandasya tadA sImA eva nAsIt
sp019-000316_lahari_4	avadam mahatA santozeRa kimapi karomi
sp019-000317_lahari_4	kaTyatAm kim karavARi iti
sp019-000318_lahari_4	mama gfhamAgacCatu BavAn mama mAtApitarO paricAyayizyAmi
sp019-000319_lahari_4	tataH virAmadinezu mAm kiYcit ANglaBAzAm aDyApayatu iti ramA abravIt
sp019-000320_lahari_4	taTAstu iti aham sotsAhamavadam
