sp022-000001_001	SrI paramAtmane namaH
sp022-000060_003	kintu vAstavikArTaprakASakaH kaH api ekaH api granTaH sahasrADikawIkAnAm maDye cet saMsTApitaH Bavet
sp022-000061_003	tadA tezu wIkAgranTezu yaTArTaprakASakaH granTaH kaH asti
sp022-000062_003	nirRayaH ayam kaWinataraH Bavati
sp022-000063_003	vartamAnakAle gItAyAH samupalaByante bahusaNKyAkAzwIkAH
sp022-000064_003	sarvASca tAzwIkAH svakIyam svakIyam eva satyam udGozayanti
sp022-000065_003	kintu tAH sarvAH wIkAH gItAyAH SudDArTataH bahudUram dfzwipaTAyante
sp022-000066_003	niHsandeham katipayamahApuruzAH satyasya sparSam kftavantaH
sp022-000067_003	kintu kAraRabAhulyAt te satyAm amftakalpam gItAyAH yaTArTam arTam samAjasya purataH prastotum na aSaknuvan
sp022-000068_003	gItAyAm SrIkfzRasya mUlASayasya hfdayaNgamakaraRe viPalatAyAH pramuKam kAraRam etadasti
sp022-000069_003	yat SrIkfzRaH paramayogISvaraH AsIt
sp022-000070_003	SrIkfzRaH yasya starasya vArtAm AraBate
sp022-000071_003	tasyAm vArtAyAm anusyUtam taTyam prakASayitum yadA kaScana mahApuruzaH sopAnabadDakrameRa SrIkfzRasya staram Aruhya eva
sp022-000072_003	gItAyAH pratipAdyam akzaraSaH prakASayitum kAmayizyate
sp022-000073_003	tadA sa eva mahApuruzaH saPalo Bavizyati gItAyAH yaTArTa rahasyodGAwane
sp022-000074_003	senayoruBayormaDye pArTamupadiSataH kfzRasya manoBAvAH kIdfSAH Asan
sp022-000075_003	te sarve manoBAvAH sAmAnyEH janEH vaktum na Sakyante
sp022-000076_003	astu tadAnIntanAH kecana BAvA prakASanArhAH
sp022-000077_003	kecana BAvAH BAvaBaNgimayA prakASyante SezASca BAvAH kriyAm ASrayante
sp022-000078_003	tadBAvam kaScidgItABAvajijYAsuH gItAgItapaTapaTika eva jYAtum Saknoti
sp022-000079_004	SrIkfzRaH yasyAm sTitO vidyamAnaH AsIt
sp022-000080_004	tAmeva sTitim samprApya kaScinmahApuruzaH eva jAnAti yat gItA kim kaTayati
sp022-000081_004	sa gItAyAH SlokAneva na aByasati pratyuta tezAm BAvam AtmasAtkftya lokahitAya prakASayati
sp022-000082_004	kuto hi yadfSyam kfzRasya samakzam AsIt tadeva dfSyam gItAttaTyajYamahApuruzasya api samakzam narInftyate
sp022-000083_004	ataH asO paSyati drakzyati darSayizyati Bavatsu jAgarayizyati ca tasmin paTi calitum prerayizyati ca
sp022-000084_004	pUjyAH SrImantaH svanAmaDanyAH prAtaHsmaraRIyAH SrIparamahaMsa mahArAjAH api SrIkfzRastarIyAH mahApuruzAH Asan
sp022-000085_004	tezAm pravacanopadeSAt taTA antaHkaraRapreraRAtaH yo hyarTo mayAjYAtaH tasyEva saNkalanam yaTArTa gItA asti
sp022-000086_004	atra madIyam kimapi nAऽsti
sp022-000087_004	idam kriyAtmakam asti
sp022-000088_004	sADanasvIkurvatAm sarvezAm puruzARAm gamanam asyAm pariDAveva anivAryam
sp022-000089_004	yAvad asO sADanapaTapaTikaH na asti tAvat suspazwam asti yad asO kimapi sADanam na sADayati
sp022-000090_004	pratyuta vAvAvacanapramARapuzwAm nirarTakAm kAmapi reKAm pIqayati ataH kasyacinmahApuruzasya SaraRam avaSyameva grahaRIyam
sp022-000091_004	SrIkfzRaH kimapi aparam satyam noktavAn
sp022-000092_004	fziBirbahuDA gItam fzigaRAH yasya gAnam bahuvAram kftavantaH tasyEva gAnam kartum aham AraBe
sp022-000093_004	kfzRaH kadAऽpi na itTam uktavAn yat tajjYAnam aham eva kevalam jAnAmi taTA aham eva upadekzyAmi
sp022-000094_004	pratyuta sa uktavAn yat kasyacittattvadarSinaH sanniDO yAhi nizkapawaBAvena tasya sevAm kftvA tajjYAnam laBasva
sp022-000095_004	SrIkfzRo mahApuruzaSoDitam satyameva samudGAwitavAn
sp022-000096_004	gItA suboDa saMskftaBAzAyAm samulliKitA vidyate
sp022-000097_004	yadi anvayArTameva svIkuryAm tadA gItAyAH aDikAMSaH svayameva bodDum SakyaH kintu janAH samIcInamarTam na gfhRanti
sp022-000098_004	udAharaRArTam paSyantu SrIkfzRena suspazwam kaTitam yat yajYasya prakriyA eva karma samucyate punarapi BavantaH BaRanti yat kfzikaraRamevAsti karma
sp022-000099_004	yajYa vivecanam sa uktavAn yat yajYe bahavaH yogijanAH prARAnAm apAne havanam kurvanti
sp022-000100_004	bahavaH apAnasya prARezu havanam kurvanti bahavaH yoginaH prARApAnO dvO niruDya prARAyAmaparAyaRA Bavanti
sp022-000101_004	bahavaH yoginaH indriyARAm sakalAm pravfttim saMyamAgnO juhvati
sp022-000102_004	anena prakAreRa SvAsapraSvAsayoScintanam yajYaH procyate
sp022-000103_004	manasA sahitendriyARAm saMyamaH yajYaH asti
sp022-000104_004	SAstrakAraH svayam yajYarahasyam vivecitavAn punarBavantaH sAhlAdam sotsAhaYca Gozayanti yat vizRuhetave svAhoccAraRam eva taTAgnO yavatilAdInAm havanam yajYa iti
sp022-000105_004	yogeSvaraH SrIkfzRaH nEtAdfSam kimapi Sabdam kvAऽpi ca noktavAn
sp022-000106_004	kimasti kAraRam yadBavantaH na avabuDyante
sp022-000107_004	lomatvakkartanavat vAkyAnAm rawanam kfte sati kimasti kAraRam yad BavatAm haste kevalam vAk vinyAsa eva lagati
sp022-000108_004	BavantaH svakam kasmAt kAraRAt yaTArTajYAnavaYcitam anuBavanti
sp022-000109_004	vastutaH mAnavaH janma labDvA kramaSaH taruRo Bavati
sp022-000110_005	tadA pEtfkasampattiH nAma gfham ApaRam BUmiH udyAnam padam pratizWAH gAvaH mahizyaH yantropakaraRAni ityAdi
sp022-000111_005	tena uttarADikAritvena anAyAsam eva saNgfhyate
sp022-000112_005	itTameva sahajarUpeRa asO mAnavasamAje nEkAH ruQiparamparAH pUjApadDatIH ca uttarADikArarUpeRa laBate
sp022-000113_005	BAratavarze trayastriMSatkowiparimitAH surAH surANganAH ca prAptamAnyatAkAH ca milanti
sp022-000114_005	viSvasmin tezAm devasamUhAnAm bahUni rUpARi varRitAni santi
sp022-000115_005	SiSuH SanEHSanEH svavfdDivikAsAvasare mAtf pitf BAtf svaprativeSmisanniDO tEH AcaritAm pUjApadDatim paSyati
sp022-000116_005	parivAre samAje ca pracalitAnAm pUjApadDatInAm awalaH saMskAraH tasya mastizke Bavati aNkitaH
sp022-000117_005	uttarADikAre yadi BUtapUjA prApyate tadAsO BUta BUta iti rawati
sp022-000118_005	itTameva kaScit Sivam kaScit kfzRam kaScidanyam kamapi devAdikam saNgfhya tizWati
sp022-000119_005	tatpUrvadurAgraham sa na ujJitum Saknoti
sp022-000120_005	ukta prakAreRa BrAntigrastAH puruzAH kalyARakaram SrIgItAsvarUpam SAstram cetprApnuyuH
sp022-000121_005	tadA te BrAnta mAnasAH suDopamam gItArasam na AsvAdayanti
sp022-000122_005	pEtfkasampadam kaScit samBrAntaH puruzaH kadAcit Saknoti tyaktum
sp022-000123_005	kintu pUrvoktottarADikArarUpeRa prAptam rUQisamUham sAmpradAyikaprapaYcasamUhaYca Cettum na praBavati
sp022-000124_005	pEtfkasampattim parityajya kaScit janaH sahasrADikakroSamitam dUrasTAnam pravrajitum Saknoti iti sugamaH panTAH
sp022-000125_005	kintu manasi mastizke ca aNkitAste rUQigatA BAvAH tyaktagfhasya tasya janasya piRqam na jahAti
sp022-000126_005	yasmin Sirasi te rUQigatA vicArAH santi lukkAyitAH tacCirasaH utkarttanam sarvaTA asamBavam
sp022-000127_005	ataH mAnavaH yaTArTa SAstra sammatajYAnam api tAsu pUrvoktarUQizu rItizu pUjApadDatizu mAnyatAsu ca sammiSrya vilIya vA labDum vAYCanti
sp022-000128_005	yadi rUQyanurUpamarTaH kvacit saNgacCate vArtAkramaH samanvitaH Bavati
sp022-000129_005	tadA janaH tat svIkaroti yat satyametat no cet saNgacCate tarhi tat sarvam alIkam
sp022-000130_005	etasmAt rUQiBrAntadfzwivEzamyAt janaH gItArahasyam nAvabodDum Saknoti
sp022-000131_005	gItAyAH rahasyam rahasyam BUtvA durlaBAyate
sp022-000132_005	ataH gItArahasyasya vAstavikapAradfSvAnaH santajanAH sadguravaH eva santi
sp022-000133_005	ta eva vaktum samarTAH santi yat gItA kim kaTayati
sp022-000134_005	sarve gItArahasyam nAvabodDum Saknuvanti
sp022-000135_005	sarvezAm kfte gItAjYAnasya sulaBopAyaH ayam eva asti
sp022-000136_005	yat kasyacinmahApuruzasya sAnniDyam samprApya saSradDam aDyeyam
sp022-000137_005	SrIkfzRaH api mahApuruzasya sAnniDyaprAptaye balam adadAt
sp022-000138_005	gItAgranTaH kasyacit vyaktiviSezasya vargaviSezasya jAtiviSezasya paTaviSezasya
sp022-000139_006	gItAgranTaH kasyacid vyaktiviSezasya vargaviSezasya jAtiviSezasya paTaviSezasya deSakAlaviSezasya ca
sp022-000140_006	rUQigrasta kasyApi sampradAyaviSezasya api na asti
sp022-000141_006	pratyuta gItA sArvalOkikaH sArvakAlikaH sArvajanInaSca DarmagranTaH asti
sp022-000142_006	iyam gItA sarvezAm BUmaRqalasya deSAnAm mAnavajAtInAm pratyekam narARAm nArIRAm ca kalyARAya varIvarti
sp022-000143_006	kevalam aparopadeSam SrAvam SrAvam taTAnyaprakAreRa praBAvitaH BUtvA
sp022-000144_006	nEtAdfSaH koऽpi nirRayaH svIkarttavyaH yasya praBAvaH svakIyam astitvam api vicAlayet
sp022-000145_006	pUrvAgrahasya BAvanAto mukto BUtvA satyAnveziRAm kfte gItAgranTaH
sp022-000146_006	ArzagranTatvAt prakASastamBarUpeRa vA BAti
sp022-000147_006	hindUnAmAgrahaH asti yadvedAH eva pramARam
sp022-000148_006	vedasyArTaH asti jYAnam paramAtmanaH boDaH
sp022-000149_006	pustakAni tu tasya saNketamAtrARi santi
sp022-000150_006	sa paramAtmA tu hfdayadeSe jAgarti
sp022-000151_006	viSvAmitraScintayan AsIt
sp022-000152_006	tasya Baktim dfzwvA brahmA samAyayO
sp022-000153_006	uvAca ca adyatastvam fziH asi
sp022-000154_006	kintu viSvAmitraH santuzwaH na baBUva punaScintane lagnaH
sp022-000155_006	kiYcit kAlAntaram devagaREH sAkam brahmA punarAgatavAn abravIcca adyatastvam rAjarziH asi
sp022-000156_006	kintu viSvAmitrasya samADAnam na aBavat
sp022-000157_006	viSvAmitraH pUrvavaccintane saMlagnaH
sp022-000158_006	brahmA dEvIsampadBiH sAkam punarAjagAma kaTitavAn ca
sp022-000159_006	adyataH BavAn maharziH asti
sp022-000160_006	viSvAmitraH svABiprAyam prakawayan uktavAn
sp022-000161_006	nahi mAm jitendriyabrahmarziH iti kaTanIyaH BavatA
sp022-000162_006	brahmaRA uktam aDunA tvam nAsi brahmarziH
sp022-000163_006	viSvAmitraH punaH taptum AreBe
sp022-000164_006	tasya SiraH pradeSAttapoDUmo niHsaritum lalAga
sp022-000165_006	tadA devAH brahmARam nivedayAmAsuH
sp022-000166_006	tadA brahmA samuvAca viSvAmitram yat sAmpratam tvam brahmarziH asi
sp022-000167_006	viSvAmitreRaH uktam yadi aham brahmarziH asmi tadA vedA mAm vfRvantu
sp022-000168_006	iti kaTanasamakAlameva sarve vedAH viSvAmitrasya hfdayadeSam AviviSuH
sp022-000169_006	yat tattvam aviditam AsIt sarvam tattattvam jYAtamaBUt
sp022-000170_006	eza eva vedaH na tu veda pustakam
sp022-000171_006	yatra viSvAmitraH sTitiH tatravedanivAsaH
sp022-000172_006	SrIkfzRaH api idam eva taTyam prakASayati
sp022-000173_006	yat saMsAraH ayam anaSvaraH pippalapAdapaH asti
sp022-000174_006	yasya mUlam upari paramAtmapratIkam aDoBAge prakftipratIkAH SAKAH prasftAH santi
sp022-000175_006	yo hyasyAH prakfteH pAram gatvA paramAtmAnam vetti
sp022-000176_006	sa vedavid samucyate
sp022-000177_006	arjuna ahamapi vedavidasmi
sp022-000178_006	ataH prakfteH prasArAvasAnAByAm saha paramAtmanaH samanuBUteH nAma vedaH asti
sp022-000179_006	iyam anuBUtiH paramAtmapradattA asti
sp022-000180_006	ata eva vedAH santi apOruzeyAH iti kaTayanti manIziRaH
sp022-000181_006	mahApuruzAH Bavanti apOruzeyAH tezAm mADyamena paramAtmanaH sandeSAH upadeSA ca sarvasulaBAH Bavanti
sp022-000182_006	te manIziRaH paramAtmasandeSaprasArakAH Bavanti
sp022-000183_006	kevalam SabdajYAnasya ADAreRa jYAnena vA tezAm pravacanasvarUpAyAm vARyAm nihitam yaTArTam parIkzitum na Sakyate
sp022-000184_006	tAn mahApuruzAn sa eva jYAtum samarTaH Bavati
sp022-000185_006	yaH kriyAtmakapaTAcalitvA pUrvoktAm imAm apOruzeyAm sTitim labDavAn asti
sp022-000186_006	yasya puruzaH nAma aham paramAtmani vilInatAm gato Bavet
sp022-000187_006	vastutaH vedaH apOruzeyaH asti
sp022-000188_006	kintu vedam ADArIkftya vaktAraH SatasArdDaSatasaNKyAkAmahApuruzAH Asan
sp022-000189_006	tezAm vacasAm saNkalanam eva vedaH samucyate
sp022-000190_006	kintu yadA SAstram lipibadDam Bavati
sp022-000191_006	tadA sAmAjikavyavasTAyAH niyamAH api tenEva saha lipibadDAH Bavanti
sp022-000192_006	mahApuruzARAm nAmADArIkftya janAH tezAm paripAlanam kartum AraBante
sp022-000193_006	yadyapi DarmeRa sAkam tezAm dUrasTaH api sambanDaH na Bavati
sp022-000194_006	ADunikayuge mantrIRAm agrataH pfzWataH paryawantaH cAwukAritayA ca sAmAnyanetAraH api
sp022-000195_006	sakzamADikArIdvAreRa svakIyam svakIyam kAryam kArayanti
sp022-000196_006	yadyapi mantrigaRAH pUrvoktAn sAmAnyanetfgaRAn jAnanti api nahi
sp022-000197_006	itTameva sAmAjikavyavasTAnirmAtAraH mahApuruzARAm vyAjena jIvikAnirvAhasya vyavasTAm api granTezu lipibadDam kurvantaH dfSyante
sp022-000198_006	tezAm sAmAjikopayogaH tattat samayAnukUlo Bavati
sp022-000199_006	vedAnAm sambanDe api vyAjapUrRA sTitiH parilakzyate
sp022-000200_006	vedAnAm cirantanam satyam upanizatsu saNgrahItam asti
sp022-000201_006	tAsAm upanizadAm sArAMSaH yogeSvaraSrIkfzRasya vARI gItA asti
sp022-000202_006	sArAMSataH gItA apOruzeya veda rasArRavataH samudBUtopanizatsuDAsArasarvasvamasti
sp022-000203_006	anayA rItyA pratyekam mahApuruzAH ye paramatattvam prApnuvanti te svayameva DarmagranTAH santi
sp022-000204_006	tezAm mahApuruzARAm vacasAm saNkalanam saMsAre kutrApi Bavet tadeva saNkalanam SAstram samucyate
sp022-000205_006	kintu katipayaDarmAvalambinAm kaTanam idam asti
sp022-000206_006	yat kurAnanAmakapustake yalliKitamasti tadEva satyamasti
sp022-000207_006	idAnIm kurAnasyAvataraRam na Bavizyati
sp022-000208_006	IsAmasIhopari viSvAsam vinA na svargasamprAptiH
sp022-000209_006	sa IsAmasIha ISvarasyEkamAtramAsIt putraH
sp022-000210_006	sAmpratam etAdfSaH puruzaH asamBavaH
sp022-000211_006	iti tezAm prOQA jawilA ca rUQivAditA
sp022-000212_006	yadi paramAtmatattvasya sAkzAtkAraH Bavet tadA sEvasTitiH punarAgamizyati
sp022-000213_006	gItA sArvaBOmagranTaH asti
sp022-000214_006	DarmARAm nAmaBiH pracalitezu saMsArasya sarvezu DarmagranTezu gItAyAH sTAnam advitIyamasti
sp022-000215_006	iyam gItA kevalam DarmaSAstrameveti na jYeyam
sp022-000216_006	anyezu DarmagranTezu nihitasatyasya mAnadaRqam api asti
sp022-000217_006	gItA tannikazopalamasti yasmin pratyekam DarmagranTezu anusyUtam satyam anAvftam Bavati
sp022-000218_006	parasparaviroDikaTanAnAm samADAnam Bavati
sp022-000219_006	pratyekam DarmagranTezu saMsAre jIvananirvAhasya kalAyAH karmakARqasya ca bAhulyam vidyate
sp022-000220_006	jIvikAnirvAham Akarzakam viDAtum taTA tatra kim karaRIyam kinna karaRIyam etadvizayakam rocakam BayAnakam varRanakOtUhalayutam citraRam DarmagranTAnAm udaram paripUrayati
sp022-000221_006	karmakARqAnAm imAm paramparAm janatA DarmarUpeRa mAnayati
sp022-000222_006	jIvananirvAhasya kalArTam nirmitapUjApadDatizu deSakAlaparisTityanusAreRa parivartanam svABAvikamasti
sp022-000223_006	Darmasya nAma samavalambya samAje kalahasya etadevEkam kAraRamasti
sp022-000224_006	gItAtu uparyuktakzaRikavyavasTAtaH upari calitvA AtmikapUrRatAyAm pratizWApayitum kriyAtmakam anuSIlanam asti
sp022-000225_006	yasyAH gItAyAH ekaH api kaH api SlokaH BOtikajIvanayApanAya na asti
sp022-000226_006	asyAH pratiSlokaH Bavantam AntarikayudDam ArADayitum prArTayate prerayati vA
sp022-000227_006	taTAkaTitaDarmagranTAnAmiva gIteyam svargaprAptinarakAnmukti iti dvandvAtmakajAle na nibaDnAti
sp022-000228_006	pratyuta tasya amaratvasya upalabDim kArayati
sp022-000229_006	yasya paScAj janmamftyorbanDanam sutarAm vyavacCidyate
sp022-000230_006	pratyekam mahApuruzARAm svakIyA svakIyA SElI taTA svIyAH svIyAH kecana viSizwAH SabdAH Bavanti
sp022-000231_006	yogeSvaraH SrIkfzRaH api gItAyAm karma yajYa varRasaNkara yudDa kzetra jYAna ityAdInAm SabdAnAm upari vAramvAram balam dattavAn
sp022-000232_006	etezAm SabdAnAm svakIyam viSizwam tAtparyamasti
sp022-000233_006	svakIyam sOndaryam etezAm SabdAnAm punarAvftyA na kzIyate
sp022-000234_006	hindirUpAntare api tezAm SabdAnAm tattadASayaH taTEva surakzitaH asti
sp022-000235_006	taTA AvaSyakasTalAnAm vyAKyA api prastutA vidyate
sp022-000236_006	gItApratyAkarzaRavarDanAya nimnapraSnAnAm samADAnam mfgyam
sp022-000237_006	SrIkfzRaH nAma ekaH yogeSvaraH AsIt
sp022-000238_006	satyam AtmA eva satyam asti
sp022-000239_006	sanAtanaH AtmA eva sanAtanaH paramAtmA tu sanAtanaH
sp022-000240_006	sanAtanaDarmaH paramAtmanaH prAptO sahAyakavyApAraH
sp022-000241_006	yudDam dEvI taTAsurIsampadAm saNGarzaH yudDam iti bodDavyaH
sp022-000242_006	antaHkaraRasTe anayoH uBayoH saMhAra eva yudDasya pariRAmaH
sp022-000243_006	yudDasTAnam imAni mAnavaSarIrARi samanAMsIndriyARi ca yudDasTAnam
sp022-000244_006	jYAnam paramAtmanaH sAkzAtkAram eva jYAnam jYeyam
sp022-000245_006	yogaH saMsArasya saMyogaviyogAByAm virahitam avyaktabrahmaRaH melanameva yogaH samucyate
sp022-000246_006	svam ASritya karmaRi pravfttirjYAnayogaH asti
sp022-000247_006	nizkAmakarmayogaH svezwe nirBaro BUtvA sasamarpaRam karmaRi pravfttirnizkAmakarmayogaH
sp022-000248_006	SrIkfzRenodGozitam satyam kimasti
sp022-000249_006	SrIkfzRaH tadeva satyam udGozitavAn yasya pratyakzIkaraRam tattvadarSiBiH pUrvameva kftam taTA agre karizyanti
sp022-000250_006	yajYaH sADanAyAH suviDiviSezasya nAma yajYaH
sp022-000251_006	karma yajYasya kAryarUpeRa kriyAnvayanam karma samucyate
sp022-000252_006	varRaH ArADanAyAH ekaH viDiviSezaH eva karme iti bodDavyaH
sp022-000253_006	yasyAH samArADanAyAH catuHSreRizu viBAjanam tA eva catasraH SreRayaH varRanAmnA santi varRitAH
sp022-000254_006	varRasaNkaraH paramAtmanaH prAptimArgataH paricyutiH taTA sADane BrAntyudayo varRasaNkaraH prasamucyate
sp022-000255_006	manuzyasya SreRayaH antaHkaraRasya svaBAvAnusAreRa manuzyARAm SreRIdvaye viBAjanam Bavati
sp022-000256_006	ekA SreRI devatASrayI dvitIyA tu asurIvfttisamASritA
sp022-000257_006	ime mAnavAnAm dve jAtI ye svaBAvadvAreREva nirDArite vidyete
sp022-000258_006	ayam svaBAvaH kzIyate varDate ca
sp022-000259_006	devatAH hfdayapradeSe paramadevatvam arjayitFRAm guRAnAm samUhaH devatvena jYeyaH
sp022-000260_006	Atmavyatiriktam bahizWadevArADanam mUQabudDeH avadAnam
sp022-000261_006	avatAraH vyaktInAm hfdaye Bavati nAnyat
sp022-000262_006	virAw darSanam yoginAm hfdaye paramAtmapradattAnuBUtiH
sp022-000263_006	paramAtmA yadA sADakasya dfzwO praviSati tadEva sADakaH paramAtmanaH virAw darSanam karoti
sp022-000264_006	pUjanIyezwadevaH mAtrEkaparAtparabrahmEva pUjyaH devaH asti
sp022-000265_006	tasya anvezaRasya sTAnam hfdayameva asti
sp022-000266_006	tasya paramAtmanaH prApteH srotaH tasya avyaktasvarUpe sTitim prAptavatAm mahApuruzARAm kfpayA dfzwipaTam AyAti
sp022-000267_006	samprati BagavataH SrIkfzRasya svarUpasya jYAnAya tftIyADyAyaparyantam paWanIyam Bavizyati
sp022-000268_006	trayodaSADyAyADyayanena suspazwam jYAsyati pAWakaH yat SrIkfzRaH AsIt yogISvaraH
sp022-000269_006	dvitIyADyAyataH eva satyam prakASayizyati
sp022-000270_006	satyasanAtanO parasparam eko dvitIyasya pUrakatAm AvahataH vizayaH ayam dvitIyADyAyataH suspazwO Bavizyati
sp022-000271_006	evantu pUrtiparyantam calizyati vizayapravAhaH
sp022-000272_006	caturTADyAyam yAvat yudDam spazwatAm ezyati
sp022-000273_006	ekAdaSADyAyam yAvad aDyayanena saMSayaH nirmUlatAm ezyati
sp022-000274_006	evantu zoqaSADyAyam yAvat samyaganuSIlanIyam
sp022-000275_006	yudDasTalasya mImAMsAhetave trayodaSADyAyasya paWanam mananaYca BUyoBUyaH karaRIyam
