sp027-000001_001	pAyasa prahasanam
sp027-000157_003	hu~ rAmaH nEva AgataH
sp027-000158_003	mayA vfTA pratIkzA kftA iti uktavAn tulasIdAsaH
sp027-000159_003	tadA mArutiH hasan uktavAn yO Bikzuko AgatO tO eva
sp027-000160_003	mAnavasevA eva mADavasevA
sp027-000161_003	rAmalakzmaRO AstAm iti
sp027-000162_003	etat SrutvA nitarAm duHKitaH tulasIdAsaH paScAttApamiSritena svareRa
sp027-000163_003	punaH ekavAram rAmam matsamIpam Anayatu kfpayA iti prArTitavAn
sp027-000164_003	mArutiH tat aNgIkftavAn
sp027-000165_003	anantaradine tulasIdAsaH rAmamandire sTitaH AsIt
sp027-000166_003	tadA tatra dvO anDO AgatO
sp027-000167_003	tO tulasIdAsam spfzwvA AvAm rAmam drazwum icCAvaH
sp027-000168_003	rAmamUrtiH atra kutra asti iti pfzwavantO
sp027-000169_003	Dik BavantO
sp027-000170_003	rAmadarSanArTam aham SucirBUya sTitavAn Asam
sp027-000171_003	BavatoH sparSAt mama SucitA nazwA
sp027-000172_003	anDO BavantO rAmamUrtim kaTam drazwum SaknutaH
sp027-000173_003	nirgacCatAm itaH iti uktvA tO tataH prezitavAn tulasIdAsaH
sp027-000174_003	kiYcitkAlAnantaram mArutiH tatra pratyakzaH jAtaH
sp027-000175_003	kim rAmaH idAnIm dfzwaH iti tulasIdAsam pfzwavAn saH
sp027-000176_003	kim mama upahAsam karoti BavAn iti pfzwavAn tulasIdAsaH
sp027-000177_003	tO anDO eva rAmalakzmaRO AstAm iti uktavAn
sp027-000178_003	tadA tulasIdAsaH hA hanta
sp027-000179_003	tasmin kzaRe karuRASAlinO rAmalakzmaRO tulasIdAsasya purataH pratyakzO jAtO
sp027-000180_003	tadA rAmaH tam uktavAn
sp027-000181_003	Baktavara devaH dInadaridrezu eva vasati
sp027-000182_003	ataH dInasevA eva devasevA
sp027-000183_003	etat samyak avagacCatu BavAn iti
sp027-000184_003	tadA pArSve sTitaH lakzmaRaH pfzwavAn
sp027-000185_003	evam tarhi mandirARi kimarTam
sp027-000186_003	mUrtayaH kimarTam
sp027-000187_003	pUjAdayaH vA kimarTam iti
sp027-000188_003	etat SrutvA rAmaH SAntasvareRa uktavAn
sp027-000189_003	sAmAnyajanAH api devam smarantu iti uddeSena mUrtayaH Bavanti
sp027-000190_003	BagavataH prArTanArTam pUjAmantrAdayaH
sp027-000191_003	sevA anyarItyA na Bavati
sp027-000192_003	mAnavasevA eva mADavasevA iti
sp027-000193_003	etat aNgIkurvan tulasIdAsaH rAmalakzmaRamArutIn BaktyA namaskftavAn
sp027-000194_003	tataH te adfSyAH jAtAH
sp027-000195_004	kzamA eva BUzaRam
sp027-000196_004	parvam kaScana grAmaH AsIt
sp027-000197_004	tasmin kaScana sajjanaH AsIt
sp027-000198_004	kasmiMScit dine yAvat saH devapUjAm samApitavAn tAvatA tasya putraH kroDAnvitaH san vegena tatra AgataH
sp027-000199_004	tam dfzwvA AScaryeRa saH sajjanaH pfzwavAn
sp027-000200_004	vatsa kena kAraRena BavAn kroDapiSAcena grastaH iti
sp027-000201_004	ataH BavAn tam samyak daRqayatu yena saH itaHparam mayi dfzwipAtam api na kuryAt iti
sp027-000202_004	tadA sajjanaH pitA uktavAn
sp027-000203_004	putraH karmakaram ninditum icCan tataH yadA nirgantum udyuktaH tadA pitA uktavAn
sp027-000204_004	idAnIm yadi BavAnapi tam nindati tarhi BavAnapi tattulyaH eva Bavati
sp027-000205_004	ataH gamanAt pUrvam punaH cintayatu iti
sp027-000206_004	etat SrutvA lajjitaH putraH SiraH avanamayya tizWan
sp027-000207_004	tAta tasmin aham kzamAm eva pradarSayAmi iti uktavAn
sp027-000208_004	ezaH tu yogyaH nirRayaH
sp027-000209_004	tantrAma
sp027-000210_004	ekam udAharaRam vadAmi SfRotu
sp027-000211_004	ekasmin mArge dvO aBimuKam AgatO
sp027-000212_004	mArgaH laGuH AsIt
sp027-000213_004	ekaH pArSve apasarati cedeva anyaH agre gantum Saknoti sma
sp027-000214_004	anyasmE mArgasya dAnam apamAnakaram iti cintayan tayoH ekaH kopamiSritasvareRa aparam uktavAn
sp027-000215_004	BavAn apasaratu iti
sp027-000216_004	tadA dvitIyaH SAntasvareRa uktavAn
sp027-000217_004	BavAn eva apasaratu iti
sp027-000218_004	aham mUrKAya mArgam na dadAmi iti uktavAn praTamaH
sp027-000219_004	aham tu mUrKAya mArgam dAtum sidDaH iti vadan dvitIyaH pArSve gatvA sTitavAn
sp027-000220_004	praTamaH svavacanAt svayam mUrKaH jAtaH AsIt
sp027-000221_004	tataH apamAnanam ca prAptavAn
sp027-000222_004	OdAryapradarSanam eva SrezWatAm kalpayati iti putram boDitavAn sajjanaH
sp027-000223_005	sArTakam gItADyayanam
sp027-000224_005	mahAtmA vaKannATaH bIkAnerpradeSasya ratnadurganagare vAsam karoti sma
sp027-000225_005	saH suviKyAtaH mahApuruzaH AsIt
sp027-000226_005	bAlakasya mAtA SyobAI atIva DarmaparAyaRA
sp027-000227_005	sA vaKannATasya darSanArTam putreRa saha gatavatI
sp027-000228_005	mahAtmA ASIrvAdam kftavAn
sp027-000229_005	mahAtmA vaKanATaH svasamIpam darSanArTam AgatAn sarvAnapi gItADyayane prerayati sma
sp027-000230_005	mAtrA saha gataH ezaH bAlakaH api tasya muKAt gItADyayane prerakARi vacanAni SrutavAn
sp027-000231_005	tena atyantam praBAvitaH ca aBavat
sp027-000232_005	gfham prati pratyAgamanAnantaram saH bAlakaH gItADyayanam ArabDavAn eva
sp027-000233_005	gItAyAH tAtparyam samyak jYAtum bahuprayatnam kftavAn
sp027-000234_005	anekAni pustakAni paWitavAn
sp027-000235_005	kadAcit saH gItAyAH maDusUdanakftawIkABAzya granTam prAptavAn
sp027-000236_005	tasya arTam sampUrRatayA jYAtum icCan saH tadarTam mahAtmanaH vaKannATasya samIpameva gatavAn
sp027-000237_005	vaKannATam tadvizaye prArTitavAn ca
sp027-000238_005	saH cintitavAn yat aho yat wIkABAzyam jYAtum vidvAMsaH api kazwam anuBavanti tat kaTam ezaH bAlaH jYAtum Saknoti
sp027-000239_005	tasya jijYAsA tu nitarAm SlAGyA eva
sp027-000240_005	anantaram saH kaTamapi tam bAlaka pratinivartitavAn
sp027-000241_005	saH bAlakaH na santfptaH
sp027-000242_005	saH anyam kaYcit vijYam paRqitam prAptavAn
sp027-000243_005	tasya sakASAt ca gItABAzyArTaboDaSikzAm prAptavAn
sp027-000244_005	gacCatA kAlena tasya jYAnavfdDiH aBavat
sp027-000245_005	gItASAstrapAraNgataH saH mahAn paRqitaH saYjAtaH
sp027-000246_005	aTa punaH kadAcit saH ratnadurgam gatavAn
sp027-000247_005	tatra mahAtmanaH vaKannATasya ASramam gatvA tatra svakIyam gItAvyAKyAnakOSalam pradarSitavAn
sp027-000248_005	mahAtmA vaKannATaH AScaryacakitaH BUtvA tam bahu praSaMsitavAn
sp027-000249_005	prItyA tam AliNgaya ASIrBiH anugfhItavAn
sp027-000250_005	tena tasya yuvakasya utsAhaH parivarDitaH aBavat
sp027-000251_005	saH gItAyAH samagram api BAzyam AtmasAtkftavAn
sp027-000252_005	pariRatavayasi gItA tattvavivecanI nAmakam bfhat granTam racitavAn
sp027-000253_005	gorakzapure aTavA goraKapure viSvaviKyAtam gItA pres nAmakam DArmikamudraRAlayam ca saMsTApitavAn
sp027-000254_005	saH eva gItArADanatatparaH SrI jayadayAla goyandakA
sp027-000255_006	Bavadvastu Bavadgfhe
sp027-000256_006	kaScana brAhmaRaH AsIt
sp027-000257_006	tasya ekaH anujaH AsIt
sp027-000258_006	etena saH brAhmaRaH atIva udvignaH aBavat
sp027-000259_006	budDasya upari kopam kftavAnapi
sp027-000260_006	brAhmaRasya tu DArApravAharUpeRa nindanam AsIteva
sp027-000261_006	yadA brAhmaRaH apaSabdaprayogAnantaram nindanena SrAntaH jAtaH tadA tUzRIm sTitaH
sp027-000262_006	yadi itoऽpi asti kaTayatu iti
sp027-000263_006	tasya IdfSIm daSAm dfzwvA budDaH eva pfzwavAn
sp027-000264_006	banDuvara kadAcit BavataH gfham prati atiTayaH AgacCanti kim iti
sp027-000265_006	tadA brAhmaRaH Am avaSyam mama gfham prati ataTayaH AgacCanti
sp027-000266_006	asmin vizaye koऽpi sandehaH nAsti iti uktavAn
sp027-000267_006	budDaH punarapi pfzwavAn
sp027-000268_006	yadi te BavatA dattam na svIkuryuH tarhi kim Bavati
sp027-000269_006	brAhmaRaH uktavAn mUrKapraSnaH ezaH
sp027-000270_006	yad vastu atiTiBiH na svIkftam tadvastu asmAkam gfhe eva sTAsyati iti
sp027-000271_006	BagavAn budDaH uktavAn
sp027-000272_006	Am atrakaH sandehaH
sp027-000273_006	budDaH uktavAn BoH brAhmaRa SfRotu
sp027-000274_006	kim asmin vizaye koऽpi sandehaH asti iti
sp027-000275_006	etat SrutvA brAhmaRaH niruttaraH jAtaH
sp027-000276_006	anantaram saH api budDasya SizyaH aBavat
sp027-000277_007	parIkzA
sp027-000278_007	viSvaSrutinAmakaH kaScit paRqitaH AsIt
sp027-000279_007	tasya ASramaH jagatprasidDaH AsIt
sp027-000280_007	tataH SAstraSikzaRam prAptum sudUr pradeSataH api CAtrAH AgacCanti sma
sp027-000281_007	guruH viSvaSrutiH tAn pAWayati sma
sp027-000282_007	yadA CAtrARAm SikzaRam pUrRam Bavati tadA saH eva tezAm parIkzAm karoti sma
sp027-000283_007	ekadA tasya sAnniDye aDyayanam kurvatAm trayARAm CAtrARAm SikzaRam pUrRam jAtam
sp027-000284_007	guruH tezAm parIkzAm akftvA eva tAn BavantaH gfham gacCantu iti AdizwavAn
sp027-000285_007	yadA te ASramataH bahiH AgatAH tadA mArge kiYcit dUraparyantam patitAn kaRwakAn dfzwavantaH
sp027-000286_007	praTamaH CAtraH tAn kaRwakAn laNGayitvA agre gatavAn
sp027-000287_007	dvitIyaH tu tAn kaRwakAn dfzwavAn kzaRam yAvat tatrEva sTitavAn
sp027-000288_007	anantaram soऽpi laNGanam kftvA agre gatavAn
sp027-000289_007	tftIyaH mArge sTitAn tAn kaRwakAn dfzwavAn
sp027-000290_007	anantaram saH tAn svIkftya anyatra kziptavAn
sp027-000291_007	agre gatavAn
sp027-000292_007	guruH etat sarvam rahasi sTitvA dfzwavAn
sp027-000293_007	mArgamaDye guruH CAtrEH militavAn
sp027-000294_007	tftIyam CAtram saH BavAn gfham gacCatu
sp027-000295_007	BavataH SikzaRam pUrRam jAtam iti uktavAn
sp027-000296_007	praTamam dvitIyam ca AhUya
sp027-000297_007	guroH etAdfSena vyavahAreRa AScaryacakitO tO parasparam muKam dfzwavantO
sp027-000298_007	tadA punarapi guruH uktavAn
sp027-000299_007	kevalam SAstrARAm aDyayanena jYAnam na Bavati
sp027-000300_007	tena jYAnam siDyati
sp027-000301_007	BavatoH mitreRa jYAtam yat mArge kaRwakAH santi cet janAnAm kazwam Bavati
sp027-000302_007	ataH eva saH tAn mArgAt dUrIkftavAn
sp027-000303_007	tena aham nirRayam kftavAn yat tasya SikzaRam samAptam
sp027-000304_007	guroH vacanena tO SizyO lajjitO jAtO
sp027-000305_007	tataH guruRA saha ASramam prati gatavantO
sp027-000306_008	svargapraveSaH kasya
sp027-000307_008	ekadA trayaH puruzAH svargam prati prasTitAH Asan
sp027-000308_008	tezu praTamaH mahAn paRqitaH
sp027-000309_008	dvitIyaH kaScana purohitaH
sp027-000310_008	antimaH kaScana sAmAnyaH kfzikaSca
sp027-000311_008	te trayaH api svargadvAram gatvA antaH pravezwum udyuktAH Asan
sp027-000312_008	tadA dvArapAlakaH tAn pfzwavAn
sp027-000313_008	BavantaH kIdfSAni satkAryARi kftavantaH yena svargapraveSam icCanti iti
sp027-000314_008	tadA paRqitaH uktavAn
sp027-000315_008	sarvARi SAstrARi api mama muKe eva santi
sp027-000316_008	ataH ahameva svargam gantum arhaH iti
sp027-000317_008	parantu BavAn aDItam ekam api aMSam svajIvane vyavahAram na AnItavAn
sp027-000318_008	tadA purohitaH uktavAn aham bahUn yajYayAgAdIn kftvA puRyam sampAditavAn asmi
sp027-000319_008	ataH ahameva svargam gantum arhaH iti
sp027-000320_008	BavAn svasuKAya svakzemAya kevalam yajYayAgadIn kftavAn
sp027-000321_008	svArTI puruzaH svargam pravezwum na arhati iti uktvA dvArapAlakaH tamapi nirAkftavAn
sp027-000322_008	tataH kfzikaH uktavAn aham tu sADAraRaH kaScana kfzikaH
sp027-000323_008	etadeva mayA kftam uttamam kAryam
sp027-000324_008	aham na jAnAmi yat aham svargam pravezwum arhaH uta na iti
sp027-000325_008	BavAn eva svargam pravezwum arhati
sp027-000326_008	api tu anyezAm duHKanivAraRena laByate
sp027-000327_008	iti vadan dvArapAlakaH tam kfzikam svargasya antaH praveSitavAn
sp027-000328_009	rasahInAni PalAni
sp027-000329_009	kasmiMScit rAjye uttamaH satya paripAlakaH ca mahArAjaH AsIt
sp027-000330_009	ekadA saH mfgayArTam svasenAparivArEH saha vanam gatavAn
sp027-000331_009	mfgayAm kurvantaH te sarve bahudUram gatavantaH
sp027-000332_009	rAjaBawAH jalam anvizyantaH samIpe vidyamAnam upavanam pravizwavantaH
sp027-000333_009	tEH saha mahArAjaH api upavanam pravizwavAn
sp027-000334_009	mantrisenApatItyAdayaH api tam anusftavantaH
sp027-000335_009	tat sundaram upavanamAsIt
sp027-000336_009	sarvatra dAqimavfkzAH dfSyante sma
sp027-000337_009	vfkza bahUni dAqimaPalAni Asan
sp027-000338_009	etezAm Agamanam jYAtvA tatratyaH rakzakaH rAjaparivArasya svAgatam kftavAn
sp027-000339_009	tena mahArAjasya pipasA parihftA aBavat
sp027-000340_009	anantaram mahArAjaH etasmin upavane kati karmakarAH kAryam kurvanti iti prazwavAn
sp027-000341_009	ekasahasram karmakarAH iti rakzakaH uktavAn
sp027-000342_009	mahArAjaH punaH atra kati vfkzAH santi iti pfzwavAn
sp027-000343_009	tadA rakzakaH ekasahasram vfkzAH santi
sp027-000344_009	ekEkam vfkzam ekEkaH karmakaraH pAlayati iti uktavAn
sp027-000345_009	etat SrutvA maharAjaH mantriRam
sp027-000346_009	ete na rAjakozasya mahAn apavyayaH Bavati
sp027-000347_009	ataH adya eva itaH navaSatam karmakarAn udyogAt nizkAsayatu iti AdizwavAn
sp027-000348_009	mantrI api mahArAjasya AjYAm taTEva pAlitavAn
sp027-000349_009	kezAYcana mAsAnam anantaram punaH mahArAjaH mfgayArTam tenEva mArgeRa AgatavAn
sp027-000350_009	tadA mahArAjaH pUrvam pItam dAqimaPalarasam smftavAn
sp027-000351_009	ataH saH punaH upavanam pravizwavAn
sp027-000352_009	pUrvam yaH svAgatam kftavAn AsIt
sp027-000353_009	saH eva rakzakaH idAnImapi Agatya mahArAjasya svAgatam kftavAn
sp027-000354_009	anantaram saH daSa PalAni citvA tezAm sarvezAm nizpIqanam kftavAn
sp027-000355_009	parantu tataH arDacazakamitam kevalam PalarasaH prAptaH
sp027-000356_009	yadA aham pUrvam AgatavAn tadA BavAn ekeneva Palena cazakapUrRam rasam nizkAsya dattavAn AsIt
sp027-000357_009	idAnIm daSaBiH PalEH api cazakapUrRam rasaH na prAptaH
sp027-000358_009	etasya arTaH kA iti
sp027-000359_009	tadA rakzakaH vinayena uktavAn
sp027-000360_009	praBo vfkzARAm uzRatA aDikA jAtA asti iti
sp027-000361_009	tadA mahArAjaH BoH idAnIm GarmakAlaH api na sannihitaH
sp027-000362_009	tadA rakzakaH uktavAn praBo kzantavyaH aham
sp027-000363_009	kintu BavAn atratyAn navaSatam karmakarAn udyogAtnizkAsanena ASrayarahitAn kftavAn Kalu
sp027-000364_009	tezAm jIvanam idAnIm bahu kazwakaramasti
sp027-000365_009	tadA mahArAjaH svadozam jYAtavAn
sp027-000366_009	anu kzaRam mantriRam uktvA nizkAsitAn sarvAnapi karmakarAn punaH tasmin eva udyoge niyejitavAn
sp027-000367_010	satyapUjanam
sp027-000368_010	svAmI vivekAnandaH BAratasya mahAn puruzaH
sp027-000369_010	tasya janma kalakattAnagare aBavat
sp027-000370_010	pUrvam tasya nAma narendraH iti AsIt
sp027-000371_010	ekadA mAtA narendram AhUya bile adya kAlImAtuH utsavaH asti
sp027-000372_010	BavAn ApaRam gatvA ekAm uttamAm mUrtim Anayatu iti uktavatI
sp027-000373_010	astu ityuktvA narendraH mUrtim Anetum ApaRam gatavAn
sp027-000374_010	tatra ekAm mUrtim krItvA gfham prati AgacCan AsIt
sp027-000375_010	tadA eva tena mArgeRa dUrataH vegena AgacCat ekam vAhanam dfzwavAn
sp027-000376_010	vAhanApaGAtAt tasyAH prARarakzaRam ca kftavAn
sp027-000377_010	mAtA narendram mUrtim AnItavAn vA iti pfzwavatI
sp027-000378_010	tadA narendraH mUrtim aham mArge eva kziptvA AgatavAn
sp027-000379_010	gfham na AnItavAn
sp027-000380_010	kfpayA kzantavyaH aham
sp027-000381_010	amba kfpayA mA kupyatu iti uktavAn
sp027-000382_010	anantaram saH mArge pravfttam sarvam mAtaram niveditavAn
sp027-000383_010	etat SrutvA mAtuH mahAn santozaH jAtaH
sp027-000384_010	sA putram narendram AliNgaya bile sADukAryam kftam BavatA
sp027-000385_010	bAlikAyAH prARarakzaRam kurvatA BavatA AdarSakAryam kftam
sp027-000386_010	BavAn devam na kevalam mUrtO api ca mAnave dfzwavAn
sp027-000387_010	evam BavatA mAnavasevA eva ISvarasevA iti matvA kAryam karaRIyam iti ASIrvAdam kftavatI
sp027-000388_011	deSaBakteH pratirUpam
sp027-000389_011	tezu amaraH hutAtmA rAmaprasAd bismillaH api anyatamaH
sp027-000390_011	etasmAt aneke yuvakAH preraRAm prAptavantaH Asan
sp027-000391_011	parantu tezu bahavaH ajYAtAH eva
sp027-000392_011	rAmaprasAdasya tasya ca gAQam mitratvam AsIt
sp027-000393_011	ekadA AryasamAjamandirasya nASam kartum kecana musalmAnajanAH AgatAH
