sp018-000001_001	aTa azwamoऽDyAyaH
sp018-000048_001	tulyapratyayAvfttilakzaRaH vilakzaRapratyayAnantaritaH aByAsaH sa ca aByAso yogaH
sp018-000049_001	tena yuktam tatra eva vyApftam yoginaH cetaH tena
sp018-000050_001	cetasA na anyagAminA na anyatra vizayAntare gantum SIlam asya
sp018-000051_001	paramam niratiSayam puruzam divyam divi sUryamaRqale Bavam yAti gacCati
sp018-000052_001	kim viSizwam ca puruzam yAti iti ucyate
sp018-000053_001	kavim krAntadarSinam sarvajYam purARam cirantanam
sp018-000054_001	anuSAsitAram sarvasya jagataH praSAsitAram
sp018-000055_001	aRoH sUkzmAdapi aRIyAMsam
sp018-000056_001	sUkzmataram anusmaret anucintayet yaH kaScit
sp018-000057_001	sarvasya karmaPalajAtasya DAtAram viDAtAram
sp018-000058_001	vicitratayA prARiByo vivaktAram
sp018-000059_001	acintyarUpam na asya rUpam niyatam vidyamAnam api kenacit cintayitum Sakyate iti acintyarUpaH tam
sp018-000060_001	tamasaH parastAt ajYAnalakzaRAt mohAnDakArAt param tam anucintayan yAti iti pUrveRa sambanDaH
sp018-000061_001	prayARakAle maraRakAle manasA acalena calanavarjitena
sp018-000062_001	BaktyA yuktaH Bajanam BaktiH tayA yuktaH
sp018-000063_001	yogabalena ca eva yogasya balam yogabalam cittasTEryalakzaRam yogabalam tena ca yuktaH iti arTaH
sp018-000064_001	pUrvam hfdayapuRqarIke vaSIkftya cittam tataH UrDvagAminyA nAqyA BUmijayakrameRa
sp018-000065_001	BruvoH maDye prARam AveSya sTApayitvA samyak apramattaH san
sp018-000066_001	saH evam vidvAn yogI kavim purARam ityAdilakzaRam
sp018-000067_001	tam param parataram puruzam upEti pratipadyate divyam dyotanAtmakam
sp018-000068_001	punarapi vakzyamARena upAyena pratipitsitasya brahmaRo vedavidvad anAdiviSezaRaviSezyasya aBiDAnam karoti BagavAn
sp018-000069_002	yat akzaram na kzarati iti akzaram avinASi vedavidaH vedArTajYAH vadanti
sp018-000070_002	tadvA etad akzaram gArgi brAhmaRA aBivadanti iti SruteH
sp018-000071_002	sarvaviSezanivartakatvena aBivadanti
sp018-000072_002	kiYca viSanti praviSanti samyagdarSanaprAptO satyAm yat yatayaH yatanaSIlAH sannyAsinaH
sp018-000073_002	vItarAgAH vItaH vigataH rAgaH yeByaH te vItarAgAH
sp018-000074_002	yacca akzaramicCantaH jYAtum iti vAkyaSezaH
sp018-000075_002	brahmacaryam gurO caranti Acaranti
sp018-000076_002	tat te padam tat akzarAKyam padam padanIyam te tava saNgraheRa saNgrahaH saNkzepaH
sp018-000077_002	tena saNkzepeRa pravakzye kaTayizyAmi
sp018-000078_002	sa yo ha vE tadBagavan manuzyezu prAyaRAntam oNkAram aBiDyAyIta
sp018-000079_002	katamam vAva sa tena lokam jayati iti
sp018-000080_002	tasmE sa hovAca etadvE satyakAma param ca aparam ca brahma yad oNkAraH iti upakramya
sp018-000081_002	yaH punaH etam trimAtreRa omiti etena eva akzareRa param puruzam aBiDyAyIta
sp018-000082_002	sa sAmaBiH unnIyate brahmalokam ityAdinA vacanena
sp018-000083_002	anyatra DarmAd anyatrADarmAt iti ca upakramya
sp018-000084_002	sarve vedA yatpadam Amananti
sp018-000085_002	tapAMsi sarvARi ca yadvadanti
sp018-000086_002	yat icCanto brahmacaryam caranti tatte padam saNgraheRa bravImi om iti etat
sp018-000087_002	parasya brahmaRo vAcakarUpeRa pratimAvat pratIkarUpeRa vA
sp018-000088_002	parabrahmapratipattisADanatvena mandamaDyamabudDInAm vivakzitasya oNkArasya upAsanam kAlAntare muktiPalam uktam yat
sp018-000089_002	tadeva iha api kavim purARam anuSAsitAram
sp018-000090_002	yadakzaram vedavido vadanti iti ca upanyastasya parasya brahmaRaH
sp018-000091_002	pUrvauktarUpeRa pratipattyupAyaBUtasya oNkArasya kAlAntaramuktiPalam upAsanam yogaDAraRAsahitam vaktavyam
sp018-000092_002	prasaktAnuprasaktam ca yatkiYcit iti evam arTaH uttaro granTa AraByate
sp018-000093_002	sarvadvArARi sarvARi ca tAni dvArARi ca sarvadvArARi upalabDO
sp018-000094_002	tAni sarvARi saMyamya saMyamanam kftvA
sp018-000095_002	manaH hfdi hfdayapuRqarIke niruDya niroDam kftvA
sp018-000096_002	tatra vaSIkftena manasA hfdayAt UrDvagAminyA nAqyA UrDvam Aruhya
sp018-000097_002	mUrDni ADAya AtmanaH prARam AsTitaH pravfttaH yogaDAraRAm DArayitum
sp018-000098_002	tatra eva ca DArayan
sp018-000099_002	om iti eka akzaram brahma brahmaRaH aBiDAnaBUtam oNkAram vyAharan uccArayan
sp018-000100_002	tat arTaBUtam mAm ISvaram anusmaran anucintayan yaH prayAti mriyate
sp018-000101_002	saH tyajan parityajan deham SarIram
sp018-000102_002	tyajan deham iti prayARaviSezaRArTam dehatyAgena prayARam AtmanaH
sp018-000103_002	na svarUpanASena iti arTaH
sp018-000104_002	saH evam yAti gacCati paramAm prakfzwAm gatim
sp018-000105_002	ananyacetAH na anyavizaye cetaH yasya saH ayam ananyacetAH
sp018-000106_002	yogI satatam sarvadA yaH mAm parameSvaram smarati nityaSaH
sp018-000107_002	satatam iti nErantaryam ucyate
sp018-000108_002	nityaSaH iti dIrGakAlatvam ucyate
sp018-000109_002	na zaRmAsam saMvatsaram vA
sp018-000110_002	yAvajjIvam nErantaryeRa yaH mAm smarati iti arTaH
sp018-000111_002	tasya yoginaH aham sulaBaH suKena laByaH he pArTa
sp018-000112_002	nityayuktasya sadA samAhitacittasya yoginaH
sp018-000113_002	yataH evam ataH ananyacetAH san mayi sadA samAhitaH Bavet
sp018-000114_002	tava sOlaByena kim syAt iti ucyate
sp018-000115_002	SfRu tat mama sOlaByena yat Bavati
sp018-000116_002	mAm upetya mAm ISvaram upetya madBAv Apadya
sp018-000117_002	punarjanma punarutpattim na Apnuvanti na prApnuvanti
sp018-000118_002	kiMviSizwam punarjanma na prApnuvanti iti tadviSezaRamAha
sp018-000119_002	duHKAlayam duHKAnAm ADyAtmikAdInAm Alayam ASrayam AlIyante yasmin duHKAni iti duHKAlayam janma
sp018-000120_002	na kevalam duHKAlayam aSASvatam anavasTitasvarUpam ca
sp018-000121_002	nApnuvanti IdfSam punarjanma mahAtmAnaH yatayaH saMsidDim mokzAKyAm paramAm prakfzwAm gatAH prAptAH
sp018-000122_002	ye punaH mAm na prApnuvanti te punaH Avartante
sp018-000123_002	kim punaH tvattaH anyat prAptAH punarAvartante iti ucyate
sp018-000124_002	A brahmaBuvanAt Bavanti asmin BUtAni iti Buvanam
sp018-000125_002	brahmaRo Buvanam brahmaBuvanam brahmaloka iti arTaH
sp018-000126_002	A brahmaBuvanAt saha brahmaBuvanena lokAH sarve punarAvartinaH punarAvartanasvaBAvAH he arjuna
sp018-000127_002	mAm ekam upetya tu kOnteya punarjanma punarutpattiH na vidyate
sp018-000128_002	brahmalokasahitAH lokAH kasmAt punarAvartinaH kAlaparicCinnatvAt
sp018-000129_002	sahasrayugaparyantam sahasrARi yugAni paryantaH paryavasAnam yasya ahnaH tat ahaH sahasrayugaparyantam
sp018-000130_002	brahmaRaH prajApateH virAjaH viduH
sp018-000131_002	rAtrim api yugasahasrAntAm ahaH parimARAmeva
sp018-000132_002	ke vidurityAha te ahorAtravidaH kAlasaNKyAvido janAH iti arTaH
sp018-000133_002	yataH evam kAlaparicCinnAH te ataH punarAvartino lokAH
sp018-000134_002	prajApateH ahani yat Bavati rAtrO ca tat ucyate
sp018-000135_002	avyaktAt avyaktam prajApateH svApAvasTA tasmAt avyaktAt vyaktayaH vyajyanta iti vyaktayaH
sp018-000136_002	sTAvarajaNgamalakzaRAH sarvAH prajAH praBavanti
sp018-000137_002	ahnaH AgamaH aharAgamaH tasmin aharAgame kAle brahmaRaH praboDakAle
sp018-000138_002	taTA rAtryAgame brahmaRaH svApakAle pralIyante sarvAH vyaktayaH
sp018-000139_002	tatrEva pUrvokte avyaktasaYjYake
sp018-000140_002	akftAByAgamakftavipraRASadozaparihArArTam banDamokzaSAstrapravfttisAPalyapradarSanArTam avidyAdikleSamUlakarmASayavaSAcca avaSaH BUtagrAmaH BUtvA BUtvA pralIyate
sp018-000141_002	iti ataH saMsAre vErAgyapradarSanArTam ca idam Aha
sp018-000142_002	BUtagrAmaH BUtasamudAyaH sTAvarajaNgamalakzaRaH yaH pUrvasmin kalpe AsIt sa eva ayam na anyaH
sp018-000143_002	BUtvA BUtvA aharAgame pralIyate punaH punaH rAtryAgame
sp018-000144_002	ahnaH kzaye avaSaH asvatantra eva
sp018-000145_002	he pArTa praBavati jAyate avaSa eva aharAgame
sp018-000146_002	yat upanyastam akzaram
sp018-000147_002	tasya prAptyupAyo nirdizwaH omityekAkzaram brahma ityAdinA
sp018-000148_002	aTa idAnIm akzarasya eva svarUpanirdidikzayA idam ucyate
sp018-000149_002	anena yogamArgeRa idam gantavyam iti
sp018-000150_002	paraH vyatiriktaH BinnaH
sp018-000151_002	kutaH tasmAt pUrvoktAt
sp018-000152_002	tuSabdaH akzarasya vivakzitasya avyaktAt vElakzaRyaviSezaRArTaH
sp018-000153_002	BAvaH akzarAKyam param brahma
sp018-000154_002	vyatiriktatve satyapi sAlakzaRyaprasaNgo astIti tadvinivfttyarTam Aha
sp018-000155_002	anyaH iti anyaH vilakzaRaH
sp018-000156_002	sa ca avyaktaH anindriyagocaraH
sp018-000157_002	parastasmAt ityuktam kasmAt punaH paraH
sp018-000158_002	pUrvoktAt BUtagrAmabIjaBUtAt avidyAlakzaRAt avyaktAt
sp018-000159_002	anyaH vilakzaRaH BAvaH iti aBiprAyaH
sp018-000160_002	sanAtanaH cirantanaH yaH saH BAvaH sarvezu BUtezu brahmAdizu naSyatsu na vinaSyati
sp018-000161_002	yoऽsO avyaktaH akzaraH ityuktaH
sp018-000162_002	tameva akzarasaYjYakam avyaktam BAvam AhuH paramAm prakfzwAm gatim
sp018-000163_002	yam param BAvam prApya gatvA na nivartante saMsArAya
sp018-000164_002	tat DAma sTAnam paramam prakfzwam mama vizRoH paramam padamityarTaH
sp018-000165_002	tallabDeH upAyaH ucyate
sp018-000166_002	puruzaH puri SayanAt pUrRatvAdvA sa paraH pArTa
sp018-000167_002	paraH niratiSayaH yasmAt puruzAt na param kiYcit
sp018-000168_002	saH BaktyA laByastu jYAnalakzaRayA ananyayA AtmavizayayA
sp018-000169_002	yasya puruzasya antaHsTAni maDyasTAni BUtAni kAryaBUtAni
sp018-000170_002	kAryam hi kAraRasya antarvarti Bavati
sp018-000171_002	prakftAnAm yoginAm praRavAveSitabrahmabudDInAm
sp018-000172_002	uttaro mArgo vaktavya iti yatra kAle ityAdi vivakzitArTam samarpaRArTam ucyate
sp018-000173_002	yatra kAle prayAtAH iti vyavahitena sambanDaH
sp018-000174_002	yatra yasmin kAle tu anAvfttim apunarjanma Avfttim tadviparItAm ca eva
sp018-000175_002	yoginaH iti yoginaH karmiRaSca ucyante
sp018-000176_002	karmiRastu guRataH karmayogena yoginAm iti viSezaRAt yoginaH
sp018-000177_002	yatra kAle prayAtAH mftAH yoginaH anAvfttim yAnti
sp018-000178_002	yatra kAle ca prayAtAH Avfttim yAnti
sp018-000179_002	tam kAlam vakzyAmi BaratarzaBa
sp018-000180_002	agniH kAlABimAninI devatA
sp018-000181_002	taTA jyotirapi devatA eva kAlABimAninI
sp018-000182_002	aTavA agnijyotizI yaTASrute eva devate
sp018-000183_002	BUyasA tu nirdeSo yatra kAle tam kAlam iti AmravaRavat
sp018-000184_002	taTA ahaH devatA aharaBimAninI SuklaH SuklapakzadevatA zaRmAsA uttarAyaRam
sp018-000185_002	tatrApi devatA eva mArgaBUtA iti sTitaH anyatra ayam nyAyaH
sp018-000186_002	tatra tasmin mArge prayAtAH mftAH gacCanti brahma brahmavido brahma upAsakAH brahma upAsanaparA janAH
sp018-000187_002	krameRa iti vAkyaSezaH
sp018-000188_002	na hi sadyomuktiBAjAm samyagdarSananizWAnAm gatiH AgatiH vA kvacit asti
sp018-000189_002	na tasya prARA utkrAmanti iti SruteH
sp018-000190_002	brahmasaMlInaprARA eva te brahmamayA brahmaBUtA eva te
sp018-000191_002	DUmo rAtriH DUmABimAninI rAtryaBimAninI ca devatA
sp018-000192_002	taTA kfzRaH kfzRapakzadevatA
sp018-000193_002	zaRmAsA dakziRAyanam iti ca pUrvavat devatA eva
sp018-000194_002	tatra candramasi Bavam cAndramasam jyotiH Palam izwAdikArI yogI karmI prApya BuktvA
sp018-000195_002	tatkzayAt iha punaH nivartate
sp018-000196_002	SuklakfzRe SuklA ca kfzRA ca SuklakfzRe
sp018-000197_002	jYAnaprakASakatvAt SuklA tadaBAvAt kfzRA
sp018-000198_002	ete SuklakfzRe hi gatI jagataH iti aDikftAnAm jYAnakarmaRoH
sp018-000199_002	na jagataH sarvasyEva ete gatI samBavataH
sp018-000200_002	SASvate nitye saMsArasya nityatvAt mate aBiprete
sp018-000201_002	tatra ekayA SuklayA yAti anAvfttim
sp018-000202_002	anyayA itarayA Avartate punaH BUyaH
sp018-000203_002	na ete yaTokte sftI mArgO pArTa jAnan saMsArAya ekA anyA mokzAya iti
sp018-000204_002	yogI na muhyati kaScana kaScidapi
sp018-000205_002	tasmAt sarvezu kAlezu yogayuktaH samAhito Bava arjuna
sp018-000206_002	SfRu tasya yogasya mAhAtmyam
sp018-000207_002	iti SrImahABArate SatasAhasryAm saMhitAyAm vEyAsikyAm BIzmaparvaRi SrImadBagavadgItAsu upanizatsu
sp018-000208_002	brahmavidyAyAm yogaSAstre SrIkfzRArjunasaMvAde tArakabrahmayogo nAma azwamoऽDyAyaH
sp018-000209_002	vedezu samyak aDItezu yajYezu ca sAdguRyena anuzWitezu tapaHsu ca sutaptezu dAnezu ca samyagdattezu
sp018-000210_002	etezu yat puRyaPalam pradizwam SAstreRa
sp018-000211_002	atyeti atItya gacCati tat sarvam PalajAtam
sp018-000212_002	idam viditvA saptapraSnanirRayadvAreRa uktam arTam samyak avaDArya anuzWAya yogI
sp018-000213_002	param utkfzwam ESvaram sTAnam upEti ca pratipadyate Adyam AdO Bavam kAraRam brahma ityarTaH
sp018-000214_002	iti SrImatparamahaMsaparivrAjakAcAryasya SrIgovindaBagavatpUjyapAdaSizyasya SrImacCaNkaraBagavataH kftO SrImatBagavadgItABAzye azwamoऽDyAyaH
sp018-000215_003	azwame nAqIdvAreRa DAraRAyogaH saguRaH uktaH
sp018-000216_003	kAlAntare brahmaprAptilakzaRameva anAvfttirUpam nirdizwam
sp018-000217_003	tatra anena eva prakAreRa mokzaprAptiPalam aDigamyate na anyaTA iti
sp018-000218_003	tadASaNkAvyAvivartayizayA SrIBagavAn uvAca
sp018-000219_003	aTa navamaH aDyAyaH rAjavidyArAjaguhyayogaH
sp018-000220_003	anvayaH praTamaH SlokaH
sp018-000221_003	yat jYAtvA tam aSuBAt mokzyase
sp018-000222_003	tat tu idam guhyatamam vijYAnasahitam jYAnam anasUyave te pravakzyAmi
sp018-000223_003	idam brahmajYAnam vakzyamARam uktam ca pUrvezu aDyAyezu
sp018-000224_003	tat budDO sanniDIkftya idam ityAha
sp018-000225_003	tuSabdo viSezanirDAraRArTaH
sp018-000226_003	idam eva tu samyag jYAnam sAkzAt mokzaprAptisADanam
sp018-000227_003	vAsudevaH sarvam iti AtmA eva idam sarvam ekameva advitIyam ityAdiSrutismftiByaH nAnyat
sp018-000228_003	aTa te ye anyaTAto viduH anyarAjAnaH te kzayyalokA Bavanti ityAdiSrutiByaSca
sp018-000229_003	te tuByam guhyatamam gopyatamam pravakzyAmi kaTayizyAmi anasUyave asUyArahitAya
sp018-000230_003	kim tat jYAnam
sp018-000231_003	kim viSizwam vijYAnasahitam anuBavayuktam
sp018-000232_003	yat jYAtvA prApya mokzyase aSuBAt saMsArabanDanAt
sp018-000233_003	anvayaH idam rAjavidyA rAjaguhyam uttamam pavitram avyayam
sp018-000234_003	pratyakza avagamam kartum susuKam Darmyam ca asti
sp018-000235_003	BAzyam rAjavidyA vidyAnAm rAjA dIptyatiSayavattvAt
sp018-000236_003	dIpyate hi iyam atiSayena brahmavidyA sarvavidyAnAm
sp018-000237_003	taTA rAjaguhyam guhyAnAm rAjA
sp018-000238_003	pavitram pAvanam idam uktam sarvezAm pAvanAnAm SudDikAraRam brahmajYAnam utkfzwatamam
sp018-000239_003	samUlam karma kzaRamAtrAt eva BasmIkaroti
sp018-000240_003	iti ataH kim tasya pAvanatvam vaktavyam
sp018-000241_003	kiYca pratyakzAvagamam pratyakzeRa suKAderiva avagamo yasya tat pratyakzAvagamam
sp018-000242_003	na taTA AtmajYAnam DarmaviroDi kintu Darmyam DarmAd anapetam
sp018-000243_003	evam api syAt duHKasampAdyam iti ata Aha
sp018-000244_003	susuKam kartum yaTA ratnavivekavijYAnam
sp018-000245_003	tatra alpAyAsAnAm anyezAm karmaRAm suKasampAdyAnAm alpaPalatvam duzkarARAm ca mahAPalatvam dfzwam iti
sp018-000246_003	idam tu suKasampAdyatvAt PalakzayAt vyeti iti prApte Aha avyayam iti
sp018-000247_003	na asya PalataH karmavat vyayaH asti iti avyayam
sp018-000248_003	ataH SradDeyam AtmajYAnam
sp018-000249_003	anvayaH he parantapa asya Darmasya aSraddaDAnAH puruzAH mAm aprApya mftyusaMsAravartmani nivartante
sp018-000250_003	BAzyam
sp018-000251_003	aSraddaDAnAH SradDAvirahitAH AtmajYAnasya Darmasya asya svarUpe tatPale ca nAstikAH pApakAriRaH
sp018-000252_003	asurARAm upanizadam dehamAtrAtmadarSanam eva pratipannAH
sp018-000253_003	asutfpaH pApAH puruzAH aSraddaDAnAH
sp018-000254_003	parantapa aprApya mAm parameSvaram matprAptO nEva ASaNkA iti
sp018-000255_003	matprAptimArgaBedaBaktimAtram api aprApya ityarTaH
sp018-000256_003	nivartante niScayena vartante
sp018-000257_003	kva mftyusaMsAravartmani mftyuyuktaH saMsAraH mftyusaMsAraH
sp018-000258_003	tasminneva vartante ityarTaH
sp018-000259_003	stutyA arjunam aBimuKIkftya Aha
sp018-000260_003	caturTaH SlokaH
sp018-000261_003	avyaktamUrtinA mayA idam sarvam jagat tatam
sp018-000262_003	sarvaBUtAni matsTAni santi aham ca tezu na avasTitaH asmi
sp018-000263_003	BAzyam
sp018-000264_003	mayA mama yaH paro BAvaH tena tatam vyAptam sarvam idam jagat
sp018-000265_003	avyaktamUrtinA na vyaktA mUrtiH svarUpam yasya mama saH aham avyaktamUrtiH
sp018-000266_003	tena mayA avyaktamUrtinA karaRa agocarasvarUpeRa iti arTaH
sp018-000267_003	tasmin mayi avyaktamUrtO sTitAni matsTAni sarvaBUtAni brahmAdIni stambaparyantAni
sp018-000268_003	na hi nirAtmakam kiYcit BUtam vyavahArAya avakalpate
sp018-000269_003	ataH matsTAni mayA AtmanA Atmavattvena sTitAni
sp018-000270_003	ataH mayi sTitAni iti ucyante
sp018-000271_003	tezAm BUtAnAm ahameva AtmA iti ataH tezu sTitaH iti mUQabudDInAm avaBAsate
sp018-000272_003	ataH bravImi na ca aham tezu BUtezu avasTitaH
sp018-000273_003	mUrtavat saMSlezABAvena AkASasyApi antaratamo hi aham
sp018-000274_003	na hi asaMsargi vastu kvacit ADeyaBAvena avasTitam Bavati
sp018-000275_003	ata eva asaMsargitvAt mama
sp018-000276_003	BUtAni ca matsTAni na santi
sp018-000277_003	me ESvaram yogam paSya
sp018-000278_003	aham BUtaBft api BUtasTaH na mama AtmA ca BUtaBAvanaH asti
sp018-000279_003	na ca matsTAni BUtAni brahmAdIni
sp018-000280_003	paSya me yogam yuktim Gawanam me mama ESvaram ISvarasya imam ESvaram
sp018-000281_003	yogam AtmanaH yATAtmyam iti arTaH
sp018-000282_003	taTA ca SrutiH asaMsargitvAt asaNgatAm darSayati
sp018-000283_003	asaNgo na hi sajjate iti
sp018-000284_003	idam ca AScaryam anyat paSya
sp018-000285_003	BUtaBft asaNgaH api san BUtAni biBarti
sp018-000286_003	na ca BUtasTaH yaTA uktena nyAyena darSitatvAt
sp018-000287_003	kaTam punarucyate asO mama AtmA iti
sp018-000288_003	viBajya dehAdisaNGAtam tasmin ahaNkAram aDyAropya
sp018-000289_003	lokabudDim anusaran vyapadiSati mama AtmA iti
sp018-000290_003	na punaH AtmanaH AtmA anyaH iti lokavat ajAnan
sp018-000291_003	taTA BUtaBAvanaH BUtAni BAvayati utpAdayati varDayati iti vA BUtaBAvanaH
sp018-000292_003	yaTA uktena Slokadvayena uktam arTam dfzwAntena upapAdayan Aha
sp018-000293_003	yaTA sarvatragaH mahAn vAyuH nityam AkASasTitaH asti
sp018-000294_003	taTA sarvARi BUtAni matsTAni santi iti tvam upaDAraya
sp018-000295_003	BAzyam
sp018-000296_003	yaTA loke AkASasTitaH AkASe sTitaH nityam sadA vAyuH sarvatra gacCati iti sarvatragaH mahAn parimARataH
sp018-000297_003	taTA AkASavat sarvagate mayi asaMSlezeREva sTitAni iti evam upaDAraya vijAnIhi
sp018-000298_003	evam vAyuH AkASe iva mayi sTitAni sarvaBUtAni sTitikAle tAni
sp018-000299_003	saptamaH SlokaH anvayaH
sp018-000300_003	he kOnteya sarvaBUtAni kalpakzaye mAmikAm prakftim yAnti
sp018-000301_003	punaH kalpAdO tAni visfjAmi
sp018-000302_003	sarvaBUtAni kOnteya prakftim triguRAtmikAm aparAm nikfzwAm yAnti
sp018-000303_003	mAmikAm madIyAm kalpakzaye pralayakAle
sp018-000304_003	punaH BUyaH tAni BUtAni utpattikAle kalpAdO visfjAmi utpAdayAmi aham pUrvavat
sp018-000305_003	evam avidyAlakzaRAm
sp018-000306_003	aham svAm prakftim avazwaBya prakfteH vaSAt avaSam imam kftsnam BUtagrAm punaH punaH visfjAmi
sp018-000307_003	prakftim svAm svIyAm avazwaBya vaSIkftya visfjAmi punaH punaH
sp018-000308_003	prakftito jAtam BUtagrAmam BUtasamudAyam imam vartamAnam kftsnam samagram avaSam asvatantram
sp018-000309_003	avidyAdidozEH paravaSIkftam prakfteH vaSAt svaBAvavaSAt
sp018-000310_003	tarhi tasya te parameSvarasya BUtagrAmam imam vizamam vidaDataH
sp018-000311_003	tannimittAByAm DarmADarmAByAm sambanDaH syAditi idam Aha BagavAn
sp018-000312_003	he DanaYjaya tezu karmasu asaktam udAsInavat AsInam mAm tAni karmARi ca na nibaDnanti
sp018-000313_003	na ca mAm ISvaram tAni BUtagrAmasya vizamasarganimittAni karmARi nibaDnanti DanaYjaya
sp018-000314_003	tatra karmaRAm asambanDitve kAraRam Aha
sp018-000315_003	udAsInavat AsInam yaTA udAsInaH upekzakaH kaScit tadvat AsInam
sp018-000316_003	AtmanaH avikriyatvAt asaktam PalAsaNgarahitam aBimAnavarjitam aham karomi iti tezu karmasu
sp018-000317_003	ataH anyasyApi kartftva aBimAna aBAvaH PalAsaNga aBAvaSca asambanDakAraRam
sp018-000318_003	anyaTA karmaBiH baDyate mUQaH koSakAravat ityaBiprAyaH
sp018-000319_003	tatra BUtagrAmam imam visfjAmi
sp018-000320_003	udAsInavad AsInam iti ca virudDam ucyate iti tatparihArArTam Aha
sp018-000321_003	he kOnteya mayA aDyakzeRa prakftiH sacarAcaram sUyate
sp018-000322_003	anena hetunA jagad viparivartate
sp018-000323_003	mayA aDyakzeRa sarvato dfSimAtrasvarUpeRa avikriyAtmanA aDyakzeRa mayA
sp018-000324_003	mama mAyA triguRAtmikA avidyAlakzaRA prakftiH sUyate utpAdayati sacarAcaram jagat
sp018-000325_003	taTA ca mantravarRaH
sp018-000326_003	eko devaH sarvaBUtezu gUQaH sarvavyApI sarvaBUtAntarAtmA
sp018-000327_003	karmADyakzaH sarvaBUtADivAsaH sAkzI cetA kevalo nirguRaSca iti
sp018-000328_003	hetunA nimittena anena aDyakzatvena kOnteya jagat sacarAcaram vyakta avyaktAtmakam viparivartate sarva avasTAsu
sp018-000329_003	aham idam Bokzye paSyAmi idam SfRomi idam suKam anuBavAmi duHKam anuBavAmi
sp018-000330_003	tadarTam idam karizye idam jYAsyAmi iti AdyAH avagatinizWA avagati avasAnEva
sp018-000331_003	yo asya aDyakzaH parame vyoman ityAdayaH ca mantrAH etamarTam darSayanti
