sp010-000001_SR_01	samarTaH svAmI rAmadAsaH
sp010-000137_SR_05	aTa janapadasya pArSvavarttinoऽpi janA samavAyan
sp010-000138_SR_05	aTa pratyaham catuzpaYcaSataprAyA janAH sevAmakurvan
sp010-000139_SR_05	gulmAH kaRwakinaH kzupA utpAwitAH
sp010-000140_SR_05	idAnIm avASizyanta baMhIyasyaH SilAH
sp010-000141_SR_05	tAH sprazwumapi biByati lokA etAH pretADivAsA iti badDasaMskArAH
sp010-000142_SR_06	Bakzizyanti pretA asmAniti Bayam tezAm manasi
sp010-000143_SR_06	svAminA te saYjYApitA atrApi samADAnamasti vajrANgavIro jayatIti GozaH
sp010-000144_SR_06	smarantu BavantastulasIdAsavacanam AyAnti BUtA na hi tasya pArSve
sp010-000145_SR_06	pretASca vo yasya muKe hanUmAn iti
sp010-000146_SR_06	aTa svAmipAdena sindUravatIstAH SilAH sAzwANgam praRatAH
sp010-000147_SR_06	proktam ca he BUtapretapiSAcAH aham BavadByo daDyodana nEvedyam nivedayAmi
sp010-000148_SR_06	prArTayAmi ca tyajantu sTAnamidamatraBagavantaH pUjyAH ujJitaprEtayoniSalyA BaveyuratraBagavantaH sarveऽpi
sp010-000149_SR_06	vakzyAmo vayamekEkaSoऽtraBagavatAmapasaraRe jayatu SrIrAma iti
sp010-000150_SR_06	idam SrutvA sarveऽpi Bavizyanti Bagavanto muktA iti
sp010-000151_SR_06	svAminA svayam jayatu SrIrAma ityuktvA bfhadAkAra ekaH prastara udasTApi paryatyAji ca nadyAm
sp010-000152_SR_06	etad dfzwvA sarveऽpi nirBayA jAtAH
sp010-000153_SR_06	sarvamapi kzetram anudGAtadozam saMvfttam
sp010-000154_SR_06	SilpinaH samAgatAH
sp010-000155_SR_06	svayam BagavAn viSvakarmA prakawitaH
sp010-000156_SR_06	SuklasUtram prAyoji mandirasya mAnacitram niramAyi
sp010-000157_SR_06	BUmiraKanyata
sp010-000158_SR_06	BittikA udatizWan
sp010-000159_SR_06	ekam sundaram saBAgAramapi nirmitam
sp010-000160_SR_06	vitardikA Cat kAryamapi prApUri
sp010-000161_SR_06	SiKaramapi niramIyata
sp010-000162_SR_06	tatra kalaSoऽpyasTApi
sp010-000163_SR_06	idAnImavASizyata BagavAnarcAvatAraH BagavanmUrttiH
sp010-000164_SR_06	kadA BavitrI pratizWA kuta Anezyate mUrttiH ityetajjijYAsavaH prazwumupaprayayuH svAminam
sp010-000165_SR_06	kintu tadAnIm svAmipAdAstatra nAsannupasTitAH gatA Asannanyatra kvApi
sp010-000166_SR_06	mUrtirAyAtA
sp010-000167_SR_06	katicid dinAni gatAni yezu svAmino kasyacid vfkzasya tale
sp010-000168_SR_06	nizaRRAH santo Bagavantam Ahvayanta Asan
sp010-000169_SR_06	tasya BajanamaBUt
sp010-000170_SR_06	Bagavannehi tvarayA caraRadarSanam dadyAH
sp010-000171_SR_06	raGukulamukuwamaRirBavasi tvam tvamasi patirjAnakyAH
sp010-000172_SR_06	patitapAvanaH patitodDartA pIqAgnim naH praSamaya
sp010-000173_SR_07	duHKamagnamidamasti jagatyA maRqalameva samastam
sp010-000174_SR_07	antaryAmI Bavati BavA~stat kimiti na tadidam vettA
sp010-000175_SR_07	tvadfte trAtA nAsti kaScanApyanyastvam parameSaH
sp010-000176_SR_07	dayasva varzaya karuRADArAm caraRayugam paridarSaya
sp010-000177_SR_07	evam gAyan svAmI DyAne majjati
sp010-000178_SR_07	ekasmin dine dfzwavantaH praBum aSfRva~ScemAn SabdAn bahoH kAlAdasmIha pratIkzamARaH patitaH
sp010-000179_SR_07	tvAmevAsmi pratIkzamARaH mAmudDara naya ca mandiram
sp010-000180_SR_07	asmyaham aNgApurasya pArSve kfzRAyAH pAtitoऽsmi gaBIre nIre
sp010-000181_SR_07	tatra yaH sarvoccaH pippalo varttate tasyEva samakzam gavezaya mAm iti
sp010-000182_SR_07	kimavASizyatedAnIm
sp010-000183_SR_07	svAmI JawityevotTitaH dvitrEH SizyEH saha pracalitoऽNgApuram
sp010-000184_SR_07	prApya tat puram nadyAmiyAya
sp010-000185_SR_07	plavanadakzaH svAmI jalastamBinIm vidyAm apyajAnAt
sp010-000186_SR_07	tricaturEreva brUqitEH gotA sa mUrttimavApat
sp010-000187_SR_07	mUrtim rajjvA badDvA bahirAninAya
sp010-000188_SR_07	mUrtiraBirUpAऽBUt
sp010-000189_SR_07	tAm dfzwvA sarve mudamAvahan
sp010-000190_SR_07	idAnIm yAvat aNgApuragrAme vfttamidam prAsarat
sp010-000191_SR_07	kaScana sannyAsI samAgatoऽsti sa hi nadIjale magnAm mUrtim bahirAnayati
sp010-000192_SR_07	grAmasya BUyAMso bAlA vfdDASca tamuddeSamIyuH
sp010-000193_SR_07	yadA mUrttirbahirAyAtA svAmI ca tAm netumiyeza tadA eko grAmIRaH prAvocat mUrttiriyamasmadgrAmIyA
sp010-000194_SR_07	grAmAntaram kimitImAm ninIzati BavAn
sp010-000195_SR_07	nedam kzamam iti
sp010-000196_SR_07	svAmI tam BartsayannAcukroSa evam gate itaH pUrvam kva gatA AsannatraBavantaH
sp010-000197_SR_07	kena vAऽऽkzepi praBoriyam mUrttinadIvAriRi
sp010-000198_SR_07	kena kAraRena kziptA
sp010-000199_SR_07	kim BagavadArADanamevameva kriyate
sp010-000200_SR_07	Agatezu daSasu viMSatO vA yavanezu rAjapuruzezu Bavanto BItapalAyitA aBUvan
sp010-000201_SR_07	nAcintayan mandirasya rakzAm atrowyanta yavanEstAni svEram
sp010-000202_SR_07	adadurBavantoऽvasaram yavaneByo mandiragatA mUrtIH KaRqayitum
sp010-000203_SR_07	yavanA AkrAmakA yOzmAkIRAH putrIrvaDUScApi haranti BavantaSca hastO mfdnantaH sarvamidam sahante
sp010-000204_SR_07	kAtarAH BIravaH Bavanti BavantaH
sp010-000205_SR_07	AgatA ime mUrtAvaDikAraGozaRAH
sp010-000206_SR_07	cAPalagrAme mandiram nirmIyate
sp010-000207_SR_07	mUrttimimAm tatrEva sTApayizyAmyaham
sp010-000208_SR_07	virodDum SaktA agre AyAntu
sp010-000209_SR_07	evam nirBatsitAste svAminam virodDam nASaknuvan
sp010-000210_SR_07	svAmina ugrAm muKamudrAm daRqadfQam SarIram ca dfzwvAऽpi nodasahata kaScanApi virodDum
sp010-000211_SR_08	aTa tezvevEkaH svAminamupetyovAca nayantu svAmino mUrttimimAm
sp010-000212_SR_08	uttame kArye bADAkalaNko mA paptadasmAkam grAme
sp010-000213_SR_08	sannyAsinA mUrttiH skanDa Aropya cAPalam nItA
sp010-000214_SR_08	katipaye kavayo vfttamidam kavitayopanibabanDuH
sp010-000215_SR_08	camatkAramatra te darSayAmAsuH yadAऽNgApuravAsino mUrtim netum nAdadan
sp010-000216_SR_08	tadA svAminA proktam yAdfSIcCA praBoH taTEva Bavizyati sidDiH
sp010-000217_SR_08	yadi teऽtrEvANgapure nivasitum icCavastarhi teऽNgApuram pratyeva pravarttizyante
sp010-000218_SR_08	aTa yadi cAPale tadA taTA mahyam tu sarve grAmAH samAnAH
sp010-000219_SR_08	tarhi utTApyatAmiyam mUrtiH
sp010-000220_SR_08	evamuktvA skanDaDftAm mUrtim svAmino BUmO sTApayAmAsuH
sp010-000221_SR_08	aNgApura vAsizu katipayErmUrtiH spfzwA kintu sarveऽpyaBajyanta tAm utTApayitum
sp010-000222_SR_08	lajjayAऽvanatAnyaBUvan tezAm muKAni
sp010-000223_SR_08	te svAminaH pAdAn spfzwvA procuH aparAdDAH smo vayam kzantavyAH
sp010-000224_SR_08	yatrApi ninIzanti tatra nayantu mUrttimimAm iti
sp010-000225_SR_08	yAdfSI praBoricCetyuktvA svAminA anAyAsameva mUrtirutTApitA
sp010-000226_SR_08	skanDe cAropitA prAcalacca sa cAPalam grAmam prati
sp010-000227_SR_08	navayugAramBaH
sp010-000228_SR_08	AgatAH AgatAH svAminaH tezAm skanDe mUrttirapi dfSyata iti bruvARAH cAPalavAsinaH prAhfzyan sameऽpi
sp010-000229_SR_08	mandirasya sammuKe bfhadAkAro dIpastamBa udasTApi paritaH puzpakzupA ropitAH ropitASca Palino drumAH
sp010-000230_SR_08	agre pfzWe ca sTApito vIro hanUmAn
sp010-000231_SR_08	SuBe muhUrte BagavAn rAmacandroऽpi pratyasTApi
sp010-000232_SR_08	rAtrindivam pravarttitAni BajanakIrtanAni
sp010-000233_SR_08	pAresahasram janAH prasAdamagfhRan
sp010-000234_SR_08	sarvatrAdfSyatAnandotsAhayoH parIvAhaH
sp010-000235_SR_08	janezUtpanna AtmaviSvAsaH
sp010-000236_SR_08	sarve kaTayanti rAmaH praBurAyAtaH navam yugamAnItam
sp010-000237_SR_08	vastutaH kAryamidam navayugAramBakamAsIt
sp010-000238_SR_08	yadA sarvatrEva mUrttayo Bajyante sma tadA svAmiBirBagavato rAmasya mandiram niramAyi
sp010-000239_SR_08	yadA vivAhA api pracCAdyAkriyanta tadAऽneka utsavA gItaDvAnaninAdanABiH samapAdyanta
sp010-000240_SR_08	yadA catvAraH zaqapi vA janAH samavetum biByati sma tadA pAresahasram janAH samavayanti gAyanti
sp010-000241_SR_08	yaTecCamAtmano jyotiH projjvAlayitum prayatnezu saPalA BUtvA gfham pratyAvarttanta
sp010-000242_SR_09	idamAsIt krAnterbIjasya ropaRam
sp010-000243_SR_09	nAsIdiyam kevalA rAmasya mUrtiH
sp010-000244_SR_09	tatrAsInnihito BAratAnAmitihAsaH AyatiSca projjvalA
sp010-000245_SR_09	cAPalagrAmagatA rAmamUrttiriyamAsIt BAratavAsinAm DarmasaMskftinItiSradDAऽsmitASAkANkzARAm nirdeSikA
sp010-000246_SR_09	tayA rAmamUrtyA tadarTamanuzWitena mahatotsavena ca BIrutA jaqatA akarmaRyatAऽgatvaratA
sp010-000247_SR_09	ityevampraBftInAm ca duzpravfttInAmanvasTIyata palAyanam pratizWAmavApitA ca janahfdaye Bagavato rAmasya mUrtiH
sp010-000248_SR_09	PalataH samAjaH SOryeRa DEryeRa parAkrameRa anyAyapratIkAreRa ca paryapUri
sp010-000249_SR_09	yena sannyAsinA nitAntam mahattvapUrRam kAryamidamanuzWitam sa evABiDIyate rAmadAsa iti
sp010-000250_SR_09	samarTo rAmadAsa iti rAzwragurU rAmadAsa iti CatrapatiSivAjImArgadarSako rAmadAsa iti
sp010-000251_SR_09	AsIdasO Wosara kulIyasya sUryAjipantasya kanizWaH putro nArAyaRanAma
sp010-000252_SR_09	hanUmadavatAraH
sp010-000253_SR_09	AsInmahArAzwrasya bIqanAmni maRqale jilA jAbanAmnA grAmaH
sp010-000254_SR_09	tatra nivasati parameSvaraBakto WosarA padopADikaH parivAraH
sp010-000255_SR_09	tatra sUryAjIpantaH samaDikam prasidDaH
sp010-000256_SR_09	tasya DarmapatnyA nAma rARUbAIti
sp010-000257_SR_09	uBAvapi pratyaham Bagavantam sUryam SrIrAmam cArcataH
sp010-000258_SR_09	tO yISusaMvatsarasya paYcADikazoqaSaSatatame varze putramApatuH
sp010-000259_SR_09	tam tO gaNgADara iti nAmaDeyenAhvayataH
sp010-000260_SR_09	sa eva paScAt SrezWa iti nAmnA prasidDaH
sp010-000261_SR_09	rARUbAI aharniSam japati SrIrAma jaya rAma jaya jaya rAma iti
sp010-000262_SR_09	azwADikazoqaSaSata I varze cEtraSuklanavamyAm dvitIyam putramApa
sp010-000263_SR_09	tasminneva tiTO rAmanavamI mahatollAsena samBAvitA
sp010-000264_SR_09	sUryAjI yadA sAyaNkAle gfham pratyAvarttata soऽSfRot adyEva tasyA api gfhe dvitIyaH putro jAtaH
sp010-000265_SR_09	soऽpi ca tasminneva maDyAhnakAle yasminnagfhyata janirBagavatA dASaraTinA SrIrAmeRa
sp010-000266_SR_09	gfhe mahAnAnandaH samudiyAya
sp010-000267_SR_09	jyotirvido janmapatrikAm nirmamuH
sp010-000268_SR_09	jAtakasya vizaye BavizyavARIm cakruH
sp010-000269_SR_09	asO digantarAlezu rAmaDvajam prasArayizyati BavizyatyasO mahAn kaviH saNgrAhakaSca
sp010-000270_SR_09	svakIyayA vARyAऽsO rAzwre navam cEtanyam jAgarayizyati
sp010-000271_SR_10	Wosarakulasya nAma projjvalayizyatyezaH
sp010-000272_SR_10	nAsO rocizyate gfhabanDanam viSvamAtre BramizyatyezaH
sp010-000273_SR_10	varDApanaSatAni BavatoH
sp010-000274_SR_10	sUryAjIpantastamimam nArAyaRa nAmnAऽऽhvayat
sp010-000275_SR_10	krameRa nArAyaRoऽvarData
sp010-000276_SR_10	gfhANgane sa nftyati kUrdati tattAScezwASca kurvARo janakO nandayati
sp010-000277_SR_10	kadAcidasO pizwa AwA pAtramaDomuKam Datte kadAcit jalapUrRAm gargarikAm recayati jalena
sp010-000278_SR_10	kadAciccullIm nirvApayati kadAcicca vatsam mocayati
sp010-000279_SR_10	tasya cApalam pratyaham varDamAnamavarttata
sp010-000280_SR_10	pitfByAm vyacAri pEWanamasO netavyaH tatra varttateऽsya mAtAmahasya gfham
sp010-000281_SR_10	atrEva ekanATa svAmino BaktipIWamapyasti
sp010-000282_SR_10	ekanATasvAmI asya mAtAmahasya suhfdAsIt
sp010-000283_SR_10	ekanATasvAminaH pIWe ya uttarADikArI koऽpi satpuruza eva
sp010-000284_SR_10	te kadAcidimam SAntam kuryuH
sp010-000285_SR_10	pIWADikAryapi bAlakamimam dfzwvA vismito jAtaH
sp010-000286_SR_10	kaTayAmAsa ca tatpitarO BavantO BAgyAtiSayavantO staH
sp010-000287_SR_10	asya bAlakasya muKam parito dfSyate praBAmaRqalam
sp010-000288_SR_10	avaSyamasO BAgavatamaMSam biBarti
sp010-000289_SR_10	pitarO bAlakasya cezwAH prakASayataH
sp010-000290_SR_10	tAH SrutvA pIWAsIno mahAtmA hasati
sp010-000291_SR_10	kaTayati ca etat sarvam na kiYcit agreऽsO tAdfSam cezwizyate yatrAdButAScamatkArA Bavizyanti
sp010-000292_SR_10	evam manvAtAm yat atraBavatorgfhe sAkzAd BagavAn hanUmAnevAऽऽgataH
sp010-000293_SR_10	pIWADipo bAlakam nArAyaRam mastakespfSat ayojayaccASIrBiH BAgavatam prasAdam prASayacca svahastena
sp010-000294_SR_10	sUryAjIpantaH tatpatnI rARUbAI putrAByAm saha jAbam pratyAjagmatuH
sp010-000295_SR_10	nArAyaRaH zaqvarzadeSIyo jAtaH
sp010-000296_SR_10	sUryAjIpantastasya yajYopavItasaMskAram kArayAmAsa
sp010-000297_SR_10	tam sa sUryAjI eva svayam Sikzayati
sp010-000298_SR_10	tasya DAraRASaktiratitIvrAऽBUt
sp010-000299_SR_10	ekaSrutaH sa AsIt ekabArameva Sruto vizayastasya kaRWasTitoऽjAyata
sp010-000300_SR_10	alpenEva kAlena sa rUpAvalim samAsacakram amarakoSam ca kaRWasTitaYcakre sampUrRena dinena
sp010-000301_SR_10	sADyam pAWam sa svalpenEva kAlena pUrayati tataH param yaTAkAmam vicarati
sp010-000302_SR_10	nadyAm plavate parvataSiKarARyArohati Aruhya sa tatrEva badDAsanastizWati
sp010-000303_SR_10	tasya manasi nEkaviDA praSnA udatizWan
sp010-000304_SR_11	sa jijYAsate jalam kaTam varzati pravfzwe tasmin sarvatra haritimA kimiti samutpadyate
sp010-000305_SR_11	vfkzAH kzupAH tfRagulmAdikam kaTam utpadyante AkASasTitAstArAH svam sTAnam kaTam na tyajanti
sp010-000306_SR_11	candraH pratyaham kena hetunA kzIyate varDate ca tArAH kaTam na patanti tatra ko nu hetuH
sp010-000307_SR_11	sUrya iyantamuzRimAnam kasmAt srotasa ADatte mftyorUrDvam janaH kutra yAti
sp010-000308_SR_11	lokAH kaTayanti yad yo mftaH sa BagavadDAma prapanna iti
