sp002-000001_KS_04	mUrcCitA ratiH ityuktam
sp002-000093_KS_04	meKalAguREH banDam smarasi uta smarasi vA
sp002-000094_KS_04	vikalpe kim kimuta ca ityamaraH
sp002-000095_KS_04	cyutakeSarEH Brazwa kiYjalkEH dUzite IkzaRe yezu tAni
sp002-000096_KS_04	avataMsotpalatAqanAni
sp002-000097_KS_04	saDUlikzepatAqanAnItyarTaH
sp002-000098_KS_04	smarasi vA
sp002-000099_KS_04	apakArasmaraRAt idam adarSanamiti BAvaH
sp002-000100_KS_04	hfdaya iti
sp002-000101_KS_04	hfdaye vasasIti smaravAkyAnuvAdaH
sp002-000102_KS_04	ityevam rUpam matpriyam yadavocaH uktavAnasi
sp002-000103_KS_04	braYo luNi vaca um iti umAgamaH
sp002-000104_KS_04	tatkEtavam avEmi miTyA iti manye
sp002-000105_KS_04	idam vacanam upacArapadam parasya raYjanArTam yadasatyaBAzaRam sa upacAraH tasya padam sTAnam
sp002-000106_KS_04	kEtavasTAnamiti yAvat
sp002-000107_KS_04	na cettvam anaNgaH aSarIraH
sp002-000108_KS_04	kaTam ratiH akzatA avinazwA
sp002-000109_KS_04	ASrayanASe api ASritam avinazwamiti viroDAditi BAvaH
sp002-000110_KS_04	paraloketi
sp002-000111_KS_04	paralokam prati navapravAsinaH aciraprozitasya
sp002-000112_KS_04	anena anugamanakAla anatipAtaH sUcyate
sp002-000113_KS_04	tava padavIm mArgam aham pratipatsye
sp002-000114_KS_04	tvAm anugamizyAmItyarTaH
sp002-000115_KS_04	ataH me nAsti vicAraH iti BAvaH
sp002-000116_KS_04	kintu viDinA dEvena ezaH janaH lokaH vaYcitaH pratAritaH
sp002-000117_KS_04	dehinAm suKam tvadaDInam tvayi aDInam Kalu
sp002-000118_KS_04	aDiSabdasya SORqAditvAt saptamI SORqEH iti samAsaH
sp002-000119_KS_04	aDyuttarapadAt iti KapratyayaH
sp002-000120_KS_04	evam anyatrApi suKapradABAve kutaH suKamiti BAvaH
sp002-000121_KS_04	rajanIti
sp002-000122_KS_04	he priya rajanItimireRa avaguRWite Avfte puramArge GanaSabdaviklavAH
sp002-000123_KS_04	garjitaBItAH priyAH kAminAm vasatim prApayitum tvadfte tvAm vinA
sp002-000124_KS_04	anyArAditararte ityAdinA paYcamI
sp002-000125_KS_04	kaH ISvaraH SaktaH
sp002-000126_KS_04	na kaScit ityarTaH
sp002-000127_KS_04	na hi kAmAnDAnAm BItiH asti iti BAvaH
sp002-000128_KS_04	nayanAnIti
sp002-000129_KS_04	aruRAni nayanAni GUrRayan BrAmayan
sp002-000130_KS_04	taTA pade pade pratipadam
sp002-000131_KS_04	vIpsAyAm dviruktiH
sp002-000132_KS_04	vacanAni sKalayan viparyAsayan pramadAnAm vAruRImadaH madyamadaH aDunA
sp002-000133_KS_04	tvayi asati viqambanA anukftimAtram
sp002-000134_KS_04	madanABAve madasya nizPalatvAditi BAvaH
sp002-000135_KS_04	avagamyeti
sp002-000136_KS_04	he anaNga aSarIra priyabanDoH priyasaKasya tava vapuH SarIram kaTIkftam
sp002-000137_KS_04	akaTA kaTA sampadyamAnam kftam
sp002-000138_KS_04	SabdamAtra avaSizwam avagamya jYAtvA nizPalodayaH
sp002-000139_KS_04	uddIpyABAvAt uddIpanavEPalyamiti BAvaH
sp002-000140_KS_04	niSAkaraH candraH bahule kfzRapakze gate api tanutAm kArSyam duHKam yaTA taTA kfcCrAt mokzyati
sp002-000141_KS_04	vfTA vfdDiriti duHKAyizyate ityarTaH
sp002-000142_KS_04	hariteti
sp002-000143_KS_04	haritam ca aruRam ca
sp002-000144_KS_04	varRo varRena iti tatpuruzaH
sp002-000145_KS_04	haritAruRam cAru banDanam vfntam puNKaSca yasya saH taToktaH
sp002-000146_KS_04	kalena maDureRa puMskokilaSabdena puruzakokilanAdena sUcitaH anumApitaSca
sp002-000147_KS_04	cUtacarvaRakAryatvAt kalaSabdasya iti BAvaH
sp002-000148_KS_04	navacUtaprasavaH navacUtakusumam samprati kasya bARatAm Saratvam gamizyati vada
sp002-000149_KS_04	anyasya puzpabARasya aBAvAt iti BAvaH
sp002-000150_KS_04	alIti
sp002-000151_KS_04	tvayA anekaSaH bahuSaH DanuzaH kArmukasya guRakftye mOrvIkArye guRavatkarmaRi ca
sp002-000152_KS_04	niyojitA aDikftA iyam
sp002-000153_KS_04	alipaNktiH karuRasvanEH dInasvanEH virutEH kUjitEH
sp002-000154_KS_04	guruSokAm durBaraduHKAm
sp002-000155_KS_04	gurustu gIzpatO SrezWe gurO pitari durBare iti SabdArRavaH
sp002-000156_KS_04	mAm anuroditIva upasargAt sakarmakatvam
sp002-000157_KS_04	rudAdiByaH sArvaDAtuke iti iqAgamaH
sp002-000158_KS_04	pratipadyeti
sp002-000159_KS_04	tAvat punarapi manoharam vapuH SarIram pratipadya prApya utTitaH san
sp002-000160_KS_04	maDurAlApezu priyoktizu nisargapaRqitAm svaBAvapragalBAm kokilAm ratidUtipadezu
sp002-000161_KS_04	suratadUtIsTAnezu AdiSA AjYApayA
sp002-000162_KS_04	pragalBAnAmeva dOtyADikAraH iti BAvaH
sp002-000163_KS_04	NIbantasyApi dUtISabdasya CandoBaNgaBayAdat hrasvaH
sp002-000164_KS_04	api mAzam mazam kuryAt CandoBaNge tyajedgiram iti kecit
sp002-000165_KS_04	uRAdayo bahulam iti bahulagrahaRAt hrasvaH iti vallaBaH
sp002-000166_KS_04	Siraseti
sp002-000167_KS_04	he smara SirasA praRipatya yAcitAni savepaTUni sakampAni
sp002-000168_KS_04	wvito aTuc iti aTucpratyayaH
sp002-000169_KS_04	sAtvikAntaropalakzaRametat
sp002-000170_KS_04	stamBapralayaromAYcAH svedo vEvarRyavepaTU
sp002-000171_KS_04	aSruvESvaryamityazwO sAtvikAH parikIrtitAH iti
sp002-000172_KS_04	upagUQAni AliNganAni ca
sp002-000173_KS_04	napuMsake BAve ktaH
sp002-000174_KS_04	tAni anuBUtaprakArARi te rahaH ekAnte suratAni ca saMsmftya me SAntirnAsti
sp002-000175_KS_04	atra samAnakartfkatvam durGawam samAnakriyApekzAstIti kecit
sp002-000176_KS_04	racitamiti
sp002-000177_KS_04	he ratipaRqita ratikuSala tvayA mama aNgezu avayavezu svayam racitam ftuH asya prAptaH Artavam vAsantam
sp002-000178_KS_04	ftoraR iti aRpratyayaH
sp002-000179_KS_04	kusumaprasADanam puzpABaraRamidam Driyate avatizWate
sp002-000180_KS_04	DfY avasTAne iti DAtoH tOdAdikAtkartari law
sp002-000181_KS_04	tava tatprasADakam cAru sundaram vapustu na dfSyate
sp002-000182_KS_04	vibuDEriti
sp002-000183_KS_04	dAruREH krUrEH
sp002-000184_KS_04	prARAntike karmaRi niyogAditi BAvaH
sp002-000185_KS_04	vibuDErdevEH
sp002-000186_KS_04	anaBijYatvam ca Dvanyate
sp002-000187_KS_04	yasya maccaraRasya parikarmaRi prasADane
sp002-000188_KS_04	parikarma prasADanam ityamaraH
sp002-000189_KS_04	AsamApte sati smftaH asi
sp002-000190_KS_04	tamimam dakziRetaram vAmam me caraRam
sp002-000191_KS_04	nirmitarAgam racitalAkzArAgam kuru ehi AgacCa
sp002-000192_KS_04	ahamiti
sp002-000193_KS_04	aham pataNgavartmanA SalaBamArgeRa
sp002-000194_KS_04	agnipraveSena ityarTaH
sp002-000195_KS_04	pataNgaH SalaBe cAgnO mArjAre arke Sare Kage
sp002-000196_KS_04	iti vEjayantI
sp002-000197_KS_04	etya Agatya punaH te aNkASrayaRI utsaNgavartinI BavAmi sampratyeva BavizyAmi
sp002-000198_KS_04	vartamAnasAmIpye vartamAnavadvA iti law
sp002-000199_KS_04	he priya divi svarge caturEH surakAminIjanEH apsarogaREH yAvat na viloByase viloBayizyase
sp002-000200_KS_04	yAvatpurAnipAtayorlaw iti law
sp002-000201_KS_04	madaneneti
sp002-000202_KS_04	he ramaRa tvAm anuyAmi yadyapi anugamizyAmyeva
sp002-000203_KS_04	vartamAnasAmIpye vartamAnavadvA iti law
sp002-000204_KS_04	yadyapi iti avaDAraRe iti keSavaH
sp002-000205_KS_04	kintu ratiH madanena vinAkftA
sp002-000206_KS_04	viyojitA satI ityarTaH
sp002-000207_KS_04	supsupeti samAsaH
sp002-000208_KS_04	kzaRamAtram jIvitA kila iti idam vacanIyam nindA me mama vyavasTitam sTiramaBUt
sp002-000209_KS_04	kriyatAmiti
sp002-000210_KS_04	paraloke antaritasya vyavahitasya
sp002-000211_KS_04	mftasya ityarTaH
sp002-000212_KS_04	te tava mayA antyamaRqanam kaTam kena prakAreRa kriyatAm
sp002-000213_KS_04	kriyatAmityatra kAmacAre low boDyaH
sp002-000214_KS_04	drutadagDasya te yaTecCamaRqanamapi na samBavatItyarTaH
sp002-000215_KS_04	kutaH
sp002-000216_KS_04	aNgena ca jIvitena ca samam sahEva atarkitAm avicAritAm gatim gatoऽsi
sp002-000217_KS_04	iha mftaSarIramapi nAsti kasya maRqanamiti BAvaH
sp002-000218_KS_04	fjutAmiti
sp002-000219_KS_04	Saram fjutAm Arjavam nayataH
sp002-000220_KS_04	utsaNge nizaRRam aNkagatam Danuryasya tasya
sp002-000221_KS_04	DanuzaSca iti anaNAdeSaH
sp002-000222_KS_04	te tava maDunA vasantena saha
sp002-000223_KS_04	maDurdEtye vasante ca cEtre ca iti viSvaH
sp002-000224_KS_04	sasmitAm kaTAm AlApam taTA yat nayanopAntavilokitam apANgavIkzaRam
sp002-000225_KS_04	te iti anuzaNgaH
sp002-000226_KS_04	tacca smarAmi
sp002-000227_KS_04	kveti
sp002-000228_KS_04	hfdayam gacCatIti hfdayaNgamo hfdyaH
sp002-000229_KS_04	KacprakaraRe gameH supi upasaNKyAnam iti KacpratyayaH
sp002-000230_KS_04	arurdvizat ajantasya mum iti mumAgamaH
sp002-000231_KS_04	te tava saKA kusumEH Ayojitam Aracitam kArmukam yena saH
sp002-000232_KS_04	kArmukanirmAtA maDurvasantaH kva nu kva vA
sp002-000233_KS_04	gata iti SezaH
sp002-000234_KS_04	aTavA saH api ugraruzA tIvrakopena pinAkinA ISvareRa suhfdA madanena gatAm prAptAm gatim
sp002-000235_KS_04	BasmatAm ityarTaH
sp002-000236_KS_04	na gamitaH Kalu na prApitaH kim
sp002-000237_KS_04	jijYAsAnunaye Kalu ityamaraH
sp002-000238_KS_04	aTeti
sp002-000239_KS_04	aTa tEH paridevitAkzarEH vilApavacanEH hfdaye digDaSarEH
sp002-000240_KS_04	vizaliptamuKEH SarEH iva AhataH san
sp002-000241_KS_04	vizAkte digDaliptakO ityamaraH
sp002-000242_KS_04	maDurvasantaH AturAm ApannAm ratim aByupapattum anugrahItum
sp002-000243_KS_04	ASvAsayitum ityarTaH
sp002-000244_KS_04	aByupapattiH anugrahaH iti amaraH
sp002-000245_KS_04	AtmAnam puraH adarSayat
sp002-000246_KS_04	AviraBUt ityarTaH
sp002-000247_KS_04	tamiti
sp002-000248_KS_04	sA ratiH tam maDum avekzya dfzwvA BfSam ruroda
sp002-000249_KS_04	stanO sambADya stanasambADam
sp002-000250_KS_04	parikliSyamAne ca iti Ramul
sp002-000251_KS_04	uraH jaGAna tAqitavatI ca
sp002-000252_KS_04	taTAhi
sp002-000253_KS_04	svajanasya agrataH duHKam vivftam apasAritam dvAram kapAwam yasya tadiva
sp002-000254_KS_04	upajAyate AvirBavati
sp002-000255_KS_04	ucCfNKalam pravartate iti utprekzABiprAyaH
sp002-000256_KS_04	itIti
sp002-000257_KS_04	duHKamasyAH saYjAtam duHKitA
sp002-000258_KS_04	saYjAtaduHKA ityarTaH
sp002-000259_KS_04	tArakAditvAt itac
sp002-000260_KS_04	sA ratiH enam vasantam ityuvAca ca
sp002-000261_KS_04	cakAraH pUrvoktasamuccayArTaH
sp002-000262_KS_04	he vasanta paSya suhfdaH
sp002-000263_KS_04	tvatsaKasya kim sTitam kim upasTitam tadidam kapotakarburam pArAvataSabalam
sp002-000264_KS_04	kaRaSaH cUrRIBUtam
sp002-000265_KS_04	alpArTAt CaspratyayaH
sp002-000266_KS_04	Basma pavanErvikIryate vikzipyate
sp002-000267_KS_04	paSya BasmIBUtaste suhft ityarTaH
sp002-000268_KS_04	ayIti
sp002-000269_KS_04	ayi smara samprati darSanam dehi
sp002-000270_KS_04	ezaH mADavaH vasantaH paryutsuKaH tvaddarSanotkaRWitaH
sp002-000271_KS_04	tvAm api anAdftavataH asya kaH mADavaH iti ASaNkya Aha
sp002-000272_KS_04	nfRAm puruzARAm dayitAsu prema anavasTitam asTiram
sp002-000273_KS_04	calamityarTaH
sp002-000274_KS_04	suhfjjane prema tu na calam Kalu
sp002-000275_KS_04	amuneti
sp002-000276_KS_04	nanu madana pArSvavartinA sahacareRa amunA vasantena
sp002-000277_KS_04	sasurAsuram surAsurasahitam jagat visatanduguRasya mfRAlasUtramOrvIkasya
sp002-000278_KS_04	pelavAni komalAni puzpARyeva patriRaH bARAH yasya tasya tava DanuzaH AjYAm kAritam
sp002-000279_KS_04	jagadAjYA kAritA ityarTaH
sp002-000280_KS_04	hfkroranyatarasyAmiti jagataH karmatvam
sp002-000281_KS_04	gata iti
sp002-000282_KS_04	saH te saKA anilAhataH vAyutAqitaH dIpaH iva gataH eva na nivartate
sp002-000283_KS_04	aham asya dIpAyamAnasya daSA vartiriva
sp002-000284_KS_04	tizWAmIti SezaH
sp002-000285_KS_04	daSA vartAvavasTAyAm vastrAnte syuH daSA api
sp002-000286_KS_04	iti viSvaH
sp002-000287_KS_04	kutaH
sp002-000288_KS_04	soQum aSakyaduHKaprakarzeRa DUmitAm saYjAtaDUmAm mAm paSya
sp002-000289_KS_04	DUmavattvAt nazwadIpadaSAsAmyam DUmaSca vyasanameva ityarTaH
sp002-000290_KS_04	vartirapi dIpe nazwe DUmitA Bavati
sp002-000291_KS_04	viDineti
sp002-000292_KS_04	nanu vasanta kAmavaDe madanavaDe mAm vimuYcatA varjayatA
sp002-000293_KS_04	amArayatA ityarTaH
sp002-000294_KS_04	viDinA dEvena
sp002-000295_KS_04	viSasati hinastIti viSaso GAtukaH
sp002-000296_KS_04	viSasasya karma vESasam
sp002-000297_KS_04	yuvAditvAt aRpratyayaH
sp002-000298_KS_04	arDavESasam arDavaDaH kftam
sp002-000299_KS_04	arDo vA eza Atmano yatpatnI iti SruteH
sp002-000300_KS_04	patyuH svasya ca ASrayASrayiBUtayoH
sp002-000301_KS_04	ekapadArTatvABiprAyeRa arDoktiH
sp002-000302_KS_04	taTA ca ekadeSavaDe deSAntarasyApi vaDaniyamanAt mAmapi viDiH aGnanneva hatavAn iti tAtparyam
sp002-000303_KS_04	etadeva upapAdayati
sp002-000304_KS_04	anapAyinI anapAyitvena viSvaste saMSrayadrume ASrayavfkze gajaBagne sati vallarI latA patanAya BavatIti SezaH
sp002-000305_KS_04	patitumeva sA alamityarTaH
sp002-000306_KS_04	tumarTAcca BAvavacanAt iti caturTI
sp002-000307_KS_04	taditi
sp002-000308_KS_04	tattasmAtkAraRAt uktaprakAreRa
sp002-000309_KS_04	anyaTApi maraRasya avaSyamBAvAt ityarTaH
sp002-000310_KS_04	anantaram BavatA idam vakzyamARam banDujanaprayojanam banDukftyam kriyatAm
sp002-000311_KS_04	prArTanAyAm low
sp002-000312_KS_04	tadeva upadiSati
sp002-000313_KS_04	nanu vasanta viDurAm vivaSAm mAm jvalanAtisarjanAt agnidAnAt patyurantikam prApaya
sp002-000314_KS_04	agnipraveSanam kArayA ityarTaH
sp002-000315_KS_04	SaSineti
sp002-000316_KS_04	kOmudI candrikA SaSinA saha yAti
sp002-000317_KS_04	SaSini astamite svayam naSyati ityarTaH
sp002-000318_KS_04	taqitsOdAminI meGena saha pralIyate praRaSyati
sp002-000319_KS_04	kartari law
sp002-000320_KS_04	pramadAH striyaH pativartmagacCantIti pativartmagAH
sp002-000321_KS_04	patimArgAnugAminyaH ityetat vicetanEH
sp002-000322_KS_04	avivekiBiH api ityarTaH
sp002-000323_KS_04	nATastu pfTagjanEH iti papAWa
sp002-000324_KS_04	pratipannam jYAtam
sp002-000325_KS_04	alavaRA yavAgUH anudarAkanyA iti vat alpatvABiprAyeRa vicetanErapi iti nirdeSaH
sp002-000326_KS_04	pativartmagAH ityatra smftiH
sp002-000327_KS_04	ArtA Arte mudite hfzwA prozite malinA kfSA
sp002-000328_KS_04	mfte mriyeta yA patyO sA strI jYeyA pativratA iti
sp002-000329_KS_04	amuneti
sp002-000330_KS_04	amunA purovartinA suBagena SoBanena priyagAtraBasmanEva
sp002-000331_KS_04	evakAro maRqanAntaranivfttyarTaH
sp002-000332_KS_04	kazAyitastanI raYjitastanI
sp002-000333_KS_04	rAge kvATe kazAyaH astrI niryAse sOraBe rase iti vEjayantI
sp002-000334_KS_04	navapallavasaMstare yaTA navapallavatalpe iva viBAvasO vahnO tanum SarIram racayizyAmi
sp002-000335_KS_04	niDAsyAmi ityarTaH
sp002-000336_KS_04	kusumeti
sp002-000337_KS_04	he sOmya sADo tvam AvayoH ratipaYcabARayoH bahuSaH bahuvAram kusumAstaraRe puzpaSayane sahAyatAm gataH
sp002-000338_KS_04	samprati praRipAtAYjalinA yAcitaH
sp002-000339_KS_04	aYjalipUrvakam prArTitaH san ityarTaH
sp002-000340_KS_04	ASu me citAm kAzWacayam kuru kuruzva
sp002-000341_KS_04	yaTA iha taTA amutra upakartavyam mitreRa ityarTaH
sp002-000342_KS_04	tadanviti
sp002-000343_KS_04	taccitAkaraRAm anu anantaram
sp002-000344_KS_04	mayyarpitam madarpitam jvalanam agnim dakziRavAtavIjanEH malayamAruta saYcAraREH
sp002-000345_KS_04	tvarayeH
sp002-000346_KS_04	tvaritam jvalaya ityarTaH
sp002-000347_KS_04	tvarAhetumAha te tava viditam Kalu matibudDipUjArTeByaSca iti vartamAne ktaH
sp002-000348_KS_04	tadyogAt kartari zazWI
sp002-000349_KS_04	yaTA yena prakAreRa smaraH mAm vinA kzaRamapi notsahate na hfzyati
sp002-000350_KS_04	taTA tvayA jYAtameva ityarTaH
sp002-000351_KS_04	itIti
sp002-000352_KS_04	api ca ityevam viDAya kftvA nO AvAByAm eka eva salilasya aYjalirdIyatAm
sp002-000353_KS_04	tamaYjalim saH te bAnDavaH saKA smaraH paratra paraloke mayA sahitaH aviBajya pAsyati
sp002-000354_KS_04	paraloketi
sp002-000355_KS_04	kiYca he mADava vasanta paralokaviDO
sp002-000356_KS_04	piRqodakAdikarmaRi smaramuddiSya vilolAH pallavAH yAsu tAH sahakAramaYjarIH cUtavallarIH
sp002-000357_KS_04	hi yasmAtkAraRAt te saKA smaraH priyAH cUtaprasavAH yasya saH taToktaH
sp002-000358_KS_04	itIti
sp002-000359_KS_04	iti dehasya vimuktaye SarIrasya visargAya sTitAm
sp002-000360_KS_04	kftaniScayAm iti yAvat
sp002-000361_KS_04	ratim AkASaBavA sarasvatI aSarIrA vAk
sp002-000362_KS_04	hradaSozaviklavAm hradasya jalADArasya SozeRa viklavAm SaParIm prozWIm prozWI tu SaParI dvayoH ityamaraH
sp002-000363_KS_04	praTamA vfzwiH varzam iva anvakampayat anukampitavatI
sp002-000364_KS_04	sadayam uvAca ityarTaH
sp002-000365_KS_04	kfpA dayAnukampA syAt ityamaraH
sp002-000366_KS_04	kusumeti
sp002-000367_KS_04	he kusumAyuDapatni rate tava BartA cirAt ciram durlaBo na Bavizyati
sp002-000368_KS_04	kintu acirameva sulaBo Bavizyati ityarTaH
sp002-000369_KS_04	kiYca SrfRu
sp002-000370_KS_04	tatkarma iti SezaH
sp002-000371_KS_04	yena karmaRA saH te BartA haralocanasyA arcirjvAlA
sp002-000372_KS_04	jvAlA BAso na puMsi arciH ityamaraH
sp002-000373_KS_04	tasmin SalaBatvam pataNgatvam gataH
sp002-000374_KS_04	samO pataNgaSalaBO ityamaraH
sp002-000375_KS_04	aBilAzeti
sp002-000376_KS_04	udIritendriyaH preritendriyaH smareRa iti SezaH
sp002-000377_KS_04	prajApatiH brahmA svasutAyAm sarasvatyAm aBilAzam anurAgam akarot
sp002-000378_KS_04	aTa tena prajApatinA vikriyAm indriyavikAram nigfhya nirudya aBiSaptaH san
sp002-000379_KS_04	etat Palam dAhAtmakam svakarmaPalam anvaBUt
sp002-000380_KS_04	pariRezyatIti
sp002-000381_KS_04	itIti ca
sp002-000382_KS_04	DarmeRa DarmAKyaprajApatinA yAcitaH prArTitaH saH BagavAnbrahmA
sp002-000383_KS_04	tapasA kAraRena tasyAm pArvatyAm pravaRIkftaH
sp002-000384_KS_04	aBimuKIkftaH haraH SivaH yadA pArvatIm
sp002-000385_KS_04	pariRezyati udvakzyati tadA upalabDasuKaH prAptAnandaH san
sp002-000386_KS_04	smaram kAmam svena vapuzA niyojayizyati saNgamayizyati
sp002-000387_KS_04	ityevam smaraSApasya avaDidAm avasAnadAyinIm sarasvatIm vAcam ca Aha
sp002-000388_KS_04	evam SApAvaDim api uktavAn ityarTaH
sp002-000389_KS_04	nanu taTA krudDasya kaTamIdfSI SAntiH ata Aha
sp002-000390_KS_04	vaSinaH jitendriyASca ambuDarASca aSaneH amftasya ca iti
sp002-000391_KS_04	uBayoH yonayaH praBavAH
sp002-000392_KS_04	vaSipakze aSani amftaSabdO kopaprasAdaparO
sp002-000393_KS_04	anyatra
sp002-000394_KS_04	vEdyutAgni udakaparO
sp002-000395_KS_04	yugmakam
sp002-000396_KS_04	taditi
