sp003-000001_RV_03	rAjYI sudakziRA garBamADatta ityuktam
sp003-000129_RV_03	AsanAdutTitayA ityarTaH
sp003-000130_RV_03	upacArasya aYjalO aYjalikaraRe KinnahastayA pAriplavanetrayA taralAkzyA
sp003-000131_RV_03	caYcalam taralam cEva pAriplavapariplave ityamaraH
sp003-000132_RV_03	tayA sudakziRayA nananda
sp003-000133_RV_03	surendramAtrASrita ityatra manuH azwABiSca surendrARAm mAtrABirnirmito nfpaH iti
sp003-000134_RV_03	kumAreti
sp003-000135_RV_03	aTa
sp003-000136_RV_03	kumAraBftyA bAlacikitsA
sp003-000137_RV_03	saYjYAyAm samajanizada ityAdinA kyap
sp003-000138_RV_03	tasyAm kuSalEH kftiBiH
sp003-000139_RV_03	kftI kfSalaH ityamaraH
sp003-000140_RV_03	AptEH hitEH BizagBiH vEdyEH
sp003-000141_RV_03	BizagvEdyO cikitsake ityamaraH
sp003-000142_RV_03	garBasya BarmaRi
sp003-000143_RV_03	BaraRe pozaRe Barma iti hEmaH
sp003-000144_RV_03	mftirBarma iti SASvataH
sp003-000145_RV_03	BfYo manicpratyayaH
sp003-000146_RV_03	garBakarmaRi iti pAWe garBADAnapratItO OcityaBaNgaH
sp003-000147_RV_03	anuzWite kfte sati
sp003-000148_RV_03	kAle daSame mAsi
sp003-000149_RV_03	anyatra grIzmAvasAne
sp003-000150_RV_03	prasavasya garBamocanasya unmuKIm
sp003-000151_RV_03	AsannaprasavAm ityarTaH
sp003-000152_RV_03	syAdutpAde Pale puzpe prasavo garBamocane ityamaraH
sp003-000153_RV_03	priyAm BAryAm
sp003-000154_RV_03	aBrARi asyAH saYjAtAni aBritA tAm
sp003-000155_RV_03	tadasya saYjAtam tArakAdiByaH itac itItacpratyuyaH
sp003-000156_RV_03	divam iva
sp003-000157_RV_03	patiH BartA pratItaH hfzwaH san
sp003-000158_RV_03	KyAte hfzwe pratItaH ityamaraH
sp003-000159_RV_03	dadarSa dfzwavAn
sp003-000160_RV_03	grahEriti
sp003-000161_RV_03	tataH SacyA indrARyA samA
sp003-000162_RV_03	pulomajA SacIndrARI ityamaraH
sp003-000163_RV_03	sA sudakziRA samaye prasUtikAle sati
sp003-000164_RV_03	daSame mAsi ityarTaH
sp003-000165_RV_03	daSame mAsi jAyate iti SruteH
sp003-000166_RV_03	uccasaMSrayEH uccasaMsTEH tuNgasTAnagEH asUryagEH anastamitEH kEScit yaTAsamBavam
sp003-000167_RV_03	paYcaBirgrahEH sUcitA BAgyasampat yasya tam putram
sp003-000168_RV_03	trIRi praBAvamantrotsAhAtmakAni sADanAni utpAdakAni yasyAH sA trisADanA SaktiH
sp003-000169_RV_03	SaktayastisraH praBAvotsAhamantrajAH ityamaraH
sp003-000170_RV_03	akzayam arTam iva
sp003-000171_RV_03	asUta
sp003-000172_RV_03	zUN prARigarBavimocane ityAtmanepadizu paWyate
sp003-000173_RV_03	asmAdDAtoH kartari laN
sp003-000174_RV_03	atredam anusanDeyam ajavfzaBamfgANganAkulIrA JazavaRijO ca divAkarAdituNgAH
sp003-000175_RV_03	daSaSiKimanuyuktiTIndriyAMSEstrinavakaviMSatiBiSca teऽstanIcAH iti
sp003-000176_RV_03	sUryAdInAm saptAnAm grahARAm mezavfzaBAdayaH rASayaH SlokoktakramaviSizwAH uccasTAnAni
sp003-000177_RV_03	svasvatuNgApekzayA saptamasTAnAni ca nIcAni
sp003-000178_RV_03	tatra uccezvapi daSamAdayaH rASiH triMSAMSAH yaTAkramam uccezu paramoccAH nIcezu paramanIcAH iti jAtakaSlokArTaH
sp003-000179_RV_03	atrA aMSaH triMSo BAgaH
sp003-000180_RV_03	yaTAha nAradaH triMSadBAgAtmakam lagnam iti
sp003-000181_RV_03	sUryapratyAsattiH grahARAm astamayo nAma
sp003-000182_RV_03	taduktam laGujAtake raviRAstamayo yogo viyogastUdayo Bavet iti
sp003-000183_RV_03	te ca svoccasTAH Palanti nAstagAH nApi nIcagAH
sp003-000184_RV_03	taduktam rAjamfgANke svocce pUrRam svarkzakeऽrDam suhradBe pAdam dviqBeऽlpam SuBam KecarendraH
sp003-000185_RV_03	nIcasTAyI nAstago vA na kiYcit pAdam nUnam svatrikoRe dadAti
sp003-000186_RV_03	iti
sp003-000187_RV_03	tadidamAha kaviH uccasaMsTEH asUryagEH iti
sp003-000188_RV_03	evam sati yasya janmakAle paYcapraBftayaH grahAH svoccasTAH sa eva tuNgo Bavati
sp003-000189_RV_03	taduktam kUwasTIye suKinaH prakfzwakAryAH rAjapratirUpakASca rAjAnaH
sp003-000190_RV_03	ekadvitricaturBijAyante ataH param divyAH iti
sp003-000191_RV_03	tadidam Aha paYcaBiriti
sp003-000192_RV_03	diSa iti
sp003-000193_RV_03	tatkzaRam tasminkzaRe
sp003-000194_RV_03	kAlADvanoratyantasaMyoge iti dvitIyA
sp003-000195_RV_03	diSaH praseduH prasannA baBUvuH
sp003-000196_RV_03	marutaH vAtAH suKAH manoharAH vavuH
sp003-000197_RV_03	agniH pradakziRArciH san haviH Adade svIcakAra
sp003-000198_RV_03	itTam sarvam SuBaSaMsi SuBasUcakam baBUva
sp003-000199_RV_03	taTAhi
sp003-000200_RV_03	tAdfSAm raGuprakArARAm BavaH janma lokAByudayAya
sp003-000201_RV_03	BavatIti SezaH
sp003-000202_RV_03	tataH devAH api santuzwAH ityarTaH
sp003-000203_RV_03	arizwa SayyAmiti
sp003-000204_RV_03	arizwam sUtikAgfham ityamaraH
sp003-000205_RV_03	arizwe sUtikAgfhe SayyAm talpam paritaH aBitaH
sp003-000206_RV_03	aBitaHparitaHsamayAnikazAhApratiyogeऽpi iti dvitIyA
sp003-000207_RV_03	visAriRA
sp003-000208_RV_03	sujanmanaH SoBanotpatteH
sp003-000209_RV_03	janurjananajanmAni janirutpattirudBavaH ityamaraH
sp003-000210_RV_03	tasya SiSoH nijena nEsargikeRa tejasA sahasA hatatvizaH kzIRakAntayaH niSITadIpAH arDarAtradIpAH
sp003-000211_RV_03	arDarAtraniSITO dvO ityamaraH
sp003-000212_RV_03	AleKyasamarpitAH citrArpitAH iva baBUvuH
sp003-000213_RV_03	niSITaSabdaH dIpAnAm praBADikyasamBAvanArTaH
sp003-000214_RV_03	janAyeti
sp003-000215_RV_03	BUpateH dilIpasya amftasammitAkzaram amftasamAnAkzaram
sp003-000216_RV_03	sarUpasamasammitAH ityAha daRqI
sp003-000217_RV_03	kumArajanma putrotpattim SaMsate kaTayate SudDAntacarAya antaHpuracAriRe janAya trayameva adeyam AsIt
sp003-000218_RV_03	tat kim
sp003-000219_RV_03	SaSipraBam ujjvalam Catram
sp003-000220_RV_03	uBe cAmare ca
sp003-000221_RV_03	CatrAdInAm rAjYaH praDAnANgatvAt iti BAvaH
sp003-000222_RV_03	nivAteti
sp003-000223_RV_03	nivAtaH nirvAtapradeSaH
sp003-000224_RV_03	nivAtAvASrayAvAtO ityamaraH
sp003-000225_RV_03	tatra yatpadmam tadvatsTimitena nizpandena cakzuzA netreRa kAntam sundaram
sp003-000226_RV_03	sutAnanam putramuKam pibataH tfzRayA paSyataH nfpasya
sp003-000227_RV_03	guruH utkawaH praharzaH indudarSanAt guruH mahodaDeH pUraH jalOGa iva
sp003-000228_RV_03	Atmani SarIre na prabaBUva sTAtum na SaSAka
sp003-000229_RV_03	antarna mAti sma iti yAvat
sp003-000230_RV_03	nahi alpADAre aDikam mIyate iti BAvaH
sp003-000231_RV_03	yadvA harzaH AtmAni svasminvizaye na prabaBUva
sp003-000232_RV_03	AtmAnam niyantum na SaSAka
sp003-000233_RV_03	kintu bahiH nirjagAma ityarTaH
sp003-000234_RV_03	sa iti
sp003-000235_RV_03	saH dilIpasUnuH
sp003-000236_RV_03	tapasvinA puroDasA purohitena
sp003-000237_RV_03	puroDAstu purohitaH ityamaraH
sp003-000238_RV_03	vasizWena
sp003-000239_RV_03	tapasvitvAt tadanuzWitam karma savIryam syAditi BAvaH
sp003-000240_RV_03	tapovanAt etya Agatya
sp003-000241_RV_03	aKile samagre jAtakarmaRi jAtasya kartavyasaMskAraviSeze kfte sati
sp003-000242_RV_03	prayuktaH saMskAraH SARolleKanAdiH yasya saH taToktaH
sp003-000243_RV_03	AkarodBavaH KanipraBavaH
sp003-000244_RV_03	KaniH striyAm AkaraH syAt ityamaraH
sp003-000245_RV_03	maRiriva
sp003-000246_RV_03	aDikam baBO
sp003-000247_RV_03	vasizWamantrapraBAvAt tejizWaH aBUdityarTaH
sp003-000248_RV_03	atra manuH prANnABivarDanAt puMso jAtakarma viDIyate iti
sp003-000249_RV_03	suKeti
sp003-000250_RV_03	suKaH suKakaraH SravaH SravaRam yezAm te suKaSravAH
sp003-000251_RV_03	SrutisuKAH ityarTaH
sp003-000252_RV_03	maNgalatUryanisvanAH maNgalavAdyaDvanayaH vArayozitAm veSyAnAm
sp003-000253_RV_03	vArastrI gaRikA veSyA rUpAjIvA ityamaraH
sp003-000254_RV_03	pramodanftyEH harzanartanEH saha mAgaDIpateH dilIpasya sadmani kevalam gfhe eva na vyajfmBanta
sp003-000255_RV_03	kintu dyOH okaH yezAm te divOkasaH devAH
sp003-000256_RV_03	pfzodarAditvAtsADuH
sp003-000257_RV_03	tezAm paTi AkASe api vyajfmBanta
sp003-000258_RV_03	asya devAMSatvAt devopakAritvAcca devadunduBayoऽpi neduriti BAvaH
sp003-000259_RV_03	neti
sp003-000260_RV_03	rakzituH samyakpAlanaSIlasya tasya dilIpasya
sp003-000261_RV_03	ata eva cOrAdyaBAvAt
sp003-000262_RV_03	saMyataH badDaH na baBUva nABUt
sp003-000263_RV_03	kim tena ata Aha visarjayediti
sp003-000264_RV_03	sutajanmanA harzitaH tozitaH san
sp003-000265_RV_03	yam badDam visarjayet vimocayet
sp003-000266_RV_03	kintu sa rAjA tadA pitFRAm fRABiDAnAt banDanAt kevalam ekam yaTA taTA
sp003-000267_RV_03	svayameva
sp003-000268_RV_03	eka evetyarTaH
sp003-000269_RV_03	kevalaH kftsna ekaSca kevalaScAvaDIritaH iti SASvataH
sp003-000270_RV_03	mumuce
sp003-000271_RV_03	karmakartari liw
sp003-000272_RV_03	svayameva muktaH ityarTaH
sp003-000273_RV_03	asminnarTe eza vA anfRo yaH putrI iti SrutiH pramARam
sp003-000274_RV_03	Srutasyeti
sp003-000275_RV_03	arTavit SabdArTajYaH pArTivaH pfTivISvaraH dilIpaH
sp003-000276_RV_03	ayamarBakaH bAlakaH Srutasya SAstrasya antam pAram yAyAt
sp003-000277_RV_03	taTA yuDi parezAm SatrURAm antam pAram ca yAyAt
sp003-000278_RV_03	yAtum SaknuyAdityarTaH
sp003-000279_RV_03	Saki liN ca iti SakyArTe liN
sp003-000280_RV_03	iti hetoH DAtoH aGivaGilaGi gatyarTAH iti lagiDAtoH gamanAKyam arTam arTavittvAt avekzya Alocya
sp003-000281_RV_03	AtmasamBavam putram nAmnA raGum cakAra
sp003-000282_RV_03	laNGibaMhyoH nalopaSca ityupratyaye vAlamUlalaGvalamaNgulInAm vA lo ratvamApadyate iti vEkalpike rePAdeSe raGuriti rUpam sidDam
sp003-000283_RV_03	atra SaNKaH ASOce tu vyatikrAnte nAmakarma viDIyate iti
sp003-000284_RV_03	pituriti
sp003-000285_RV_03	saH raGuH samagrasampadaH pUrRalakzmIkasya pituH dilIpasya prayatnAt SuBEH manoharEH SarIrAvayavEH
sp003-000286_RV_03	haridaSvadIDiteH sUryasya raSmeH
sp003-000287_RV_03	BAsvat vivasvatsaptASva haridaSvozRaraSmayaH ityamaraH
sp003-000288_RV_03	anupraveSAt bAlacandramAH iva
sp003-000289_RV_03	dine dine pratidinam
sp003-000290_RV_03	nityavIpsayoH iti dvirvacanam
sp003-000291_RV_03	vfdDim pupoza
sp003-000292_RV_03	atra varAhasaMhitAvacanam salilamaye SaSini raverdIDitayo mUrcCitAH tamo nESam
sp003-000293_RV_03	kzapayanti darpaRodaranihitA iva mandirasyAntaH iti
sp003-000294_RV_03	umeti
sp003-000295_RV_03	umAvfzANkO pArvatIvfzaBaDvajO SarajanmanA kArtikeyena
sp003-000296_RV_03	kArtikeyo mahAsenaH SarajanmA zaqAnanaH ityamaraH
sp003-000297_RV_03	yaTA nanandatuH
sp003-000298_RV_03	SacIpurandarO jayantena jayantAKyena sutena jayantaH pAkaSAsaniH ityamaraH
sp003-000299_RV_03	yaTA nanandatuH
sp003-000300_RV_03	taTA tatsamO tAByAm umAvfzANkAByAm SacIpurandarAByAm ca samO samAnO
sp003-000301_RV_03	sA mAgaDI nfpaSca tatsadfSena tAByAm kumArajayantAByAm sadfSena sutena nanandatuH
sp003-000302_RV_03	mAgaDI prAk vyAKyAtA
sp003-000303_RV_03	raTANgeti
sp003-000304_RV_03	raTANganAmnI ca raTANganAmA ca raTANganAmAnO cakravAkO
sp003-000305_RV_03	pumAnstriyA ityekaSezaH
sp003-000306_RV_03	tayoriva tayoH dampatyoH BAvabanDanam hfdayAkarzakam parasparASrayam anyonyavizayam
sp003-000307_RV_03	yatprema baBUva tadekena kevalena tAByAm anyena vA
sp003-000308_RV_03	eke muKyAnyakevalAH ityamaraH
sp003-000309_RV_03	sutena viBaktamapi kftaviBAgamapi parasparasya upari paryacIyata vavfDe
sp003-000310_RV_03	karmakartari liw
sp003-000311_RV_03	akftrimatvAt svayameva upacitamityarTaH
sp003-000312_RV_03	yadekADAram vastu tadADAradvaye viBajyamAnam hIyate
sp003-000313_RV_03	atra tu tayoH prAk ekEkakartfkam ekEkavizayam prema samprati dvitIyavizayalABeऽpi nAhIyata
sp003-000314_RV_03	pratyuta upacitameva aBUt iti BAvaH
sp003-000315_RV_03	uvAceti
sp003-000316_RV_03	saH arBakaH SiSuH
sp003-000317_RV_03	potaH pAkoऽrBako qimBaH pfTukaH SAvakaH SiSuH ityamaraH
sp003-000318_RV_03	DAtryA upamAtrA
sp003-000319_RV_03	DAtrI jananyAmalakI vasumatyupamAtfzu iti viSvaH
sp003-000320_RV_03	praTamam uditam upadizwam vacaH uvAca
sp003-000321_RV_03	tadIyAm aNgulim avalambya yayO ca
sp003-000322_RV_03	praRipAtasya SikzayA upadeSena namraH aBUcca
sp003-000323_RV_03	iti yat tena pituH mudam tatAna
sp003-000324_RV_03	tamiti
sp003-000325_RV_03	SarIrayogajEH suKEH tvaci tvagindriye amftam niziYcantam varzantamiva tam putram aNkamAropya
sp003-000326_RV_03	mudAvirBAvAt upAntayoH prAntayoH sammIlitalocanaH san
sp003-000327_RV_03	nfpaH cirAt sutasparSarasajYatAm yayO
sp003-000328_RV_03	rasaH svAdaH
sp003-000329_RV_03	amaMsteti
sp003-000330_RV_03	sTiteH aBettA maryAdApAlakaH sa nfpaH parArDyajanmanA utkfzwajanmanA anena raGuRA anvayam vaMSam
sp003-000331_RV_03	prajAnAm patiH brahmA
sp003-000332_RV_03	guRAH sattvAdayaH
sp003-000333_RV_03	tezu agryeRa muKyena satvena vartate vyApriyate iti guRAgryavartI
sp003-000334_RV_03	tena svasya mUrtiBedena avatAraviSezeRa vizRunA AtmanaH sargam sfzwimiva
sp003-000335_RV_03	sTitimantam pratizWAvantam amaMsta manyate sma
sp003-000336_RV_03	manyateH anudAttatvAt iwpratizeDaH
sp003-000337_RV_03	atra upamAnopameyayoH itaretaraviSezaRAni itaretaratra yojyAni
sp003-000338_RV_03	tatra raGupakze guRAH vidyAvinayAdayaH
sp003-000339_RV_03	guRoऽpraDAne rUpAdO mOrvyAm sUde vfkodare
sp003-000340_RV_03	stambe sattvAdisanDyAdividyAdiharitAdizu iti viSvaH
sp003-000341_RV_03	Sezam sugamam
sp003-000342_RV_03	sa iti
sp003-000343_RV_03	cUqA kAryA dvijAtInAm sarvezAmeva DarmataH
sp003-000344_RV_03	praTameऽbde tftIye vA kartavyA SruticodanAt
sp003-000345_RV_03	iti manusmaraRAt tftIye varze vfttacUlaH nizpannacUqAkarmA san
sp003-000346_RV_03	qalayoraBedaH
sp003-000347_RV_03	saH raGuH
sp003-000348_RV_03	prApte tu paYcame varze vidyAramBam ca kArayet iti vacanAt paYcame varze calakAkapakzakEH caYcalaSiKaRqakEH
sp003-000349_RV_03	bAlAnAm tu SiKA proktA kAkapakzaH SiKaRqakaH iti halAyuDaH
sp003-000350_RV_03	savayoBiH snigDEH
sp003-000351_RV_03	snigDo vayasyaH savayAH ityamaraH
sp003-000352_RV_03	amAtyaputrEH ranvitaH san
sp003-000353_RV_03	lipeH paYcASadvarRAtmikAyAH mAtfkAyAH yaTAvat grahaRena samyak boDena upAyaBUtena vANmayam SabdajAtam
sp003-000354_RV_03	nadyAH muKam dvAram
sp003-000355_RV_03	muKam tu vadane muKyAramBe dvArAByupAyayoH iti yAdavaH
sp003-000356_RV_03	tena kaScinmakarAdiH samudramiva
sp003-000357_RV_03	AviSat pravizwaH
sp003-000358_RV_03	jYAtavAn ityarTaH
sp003-000359_RV_03	aTeti
sp003-000360_RV_03	garBAzwameऽbde kurvIta brAhmaRasyopanAyanam
sp003-000361_RV_03	garBAdekAdaSe rAjYo garBAcca dvAdaSe viSaH
sp003-000362_RV_03	iti manusmaraRAt aTa garBEkAdaSe abde viDivat upanItam gurupriyam enam raGum vipaScitaH vidvAMsaH guravaH vininyuH SikzitavantaH
sp003-000363_RV_03	te guravaH atra asminraGO avanDyayatnASca baBUvuH
sp003-000364_RV_03	taTAhi
sp003-000365_RV_03	kriyA SikzA
sp003-000366_RV_03	kriyA tu nizkftO SikzAcikitsopAyakarmasu iti yAdavaH
sp003-000367_RV_03	vastuni pAtraBUte upahitA prayuktA prasIdati Palati
sp003-000368_RV_03	kriyA hi dravyam vinayati nAdravyam iti kOwilyaH
sp003-000369_RV_03	Diya iti
sp003-000370_RV_03	atra kAmandakaH SuSrUzA SravaRam cEva grahaRam DAraRam taTA
sp003-000371_RV_03	UhApohoऽrTavijYAnam tattvajYAnam ca DIguRAH iti
sp003-000372_RV_03	AnvIkzikI trayI vArtA daRqanItiSca SASvatI
